,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New Jersey (Million cubic feet)",140219,143197,149924,136625,135843,129406,147508,134138,136347,124901,136481,145907,148845,146674,151755,150911,158266,168641,181506,195542,171660,176640,198462,195569,216873,194432,222619,216925,196658,209399,219878,214995,209836,243760,232471,231065,197205,228051,220432,226016,219141,213630,191371,226195,247742,237104,215510,221608,247585,239055,
"Natural gas consumed by (delivered to) the commercial sector, New Jersey (Million cubic feet)",55953,60230,62917,61846,58210,53346,90463,53896,48005,52314,60481,74627,78750,79624,83906,83467,85775,94459,101325,117385,115591,121240,130891,128942,132008,138965,150432,168760,146653,163759,158543,131417,146176,159647,168768,169857,152501,168778,168574,180404,181480,191808,174641,171797,202201,163223,153096,148948,167351,155507,
"Natural gas consumed by the industrial sector, New Jersey (Million cubic feet)",79847,82486,82647,77954,65419,52361,73046,51339,43217,52083,62882,88799,81603,81214,84868,81242,69715,79779,77518,84771,90376,100768,174569,188889,190558,208930,195550,192955,198872,197205,88368,86097,80483,77451,77024,74857,65632,63075,53981,48465,49269,49865,54785,61468,61494,55368,60910,54298,64167,65061,
"Natural gas consumed by the electric power sector, New Jersey (Million cubic feet)",45891,39984,25071,24461,15033,8601,10016,7185,770,30727,79514,80125,65504,96886,95323,61362,36877,75138,51066,69230,66191,95732,116906,127644,145261,152071,128692,134807,134563,140935,135350,128378,160363,130131,140664,125098,130664,157375,169853,164088,199059,199594,226469,217032,249676,283447,326982,275653,285296,292372,
"Residential carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",,,,,,,,,,,7.477966,8.000521,8.138733,8.008639,8.216355,8.184097,8.61497,9.166547,9.871034,10.634784,9.329378,9.605856,10.800056,10.783714,11.993406,10.673197,12.25105,11.912601,10.82165,11.553301,12.086096,11.844954,11.567945,13.433736,12.817483,12.751798,10.842342,12.525034,12.086362,12.338805,11.929792,11.629332,10.436565,12.571353,13.735204,13.179647,11.936901,12.245638,13.662251,,
"Commercial carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",,,,,,,,,,,3.313813,4.092048,4.305973,4.347622,4.542871,4.52653,4.66904,5.134347,5.510465,6.38415,6.282175,6.59314,7.122911,7.109912,7.300279,7.628328,8.278485,9.267567,8.069972,9.035179,8.714664,7.240272,8.058512,8.798228,9.305184,9.373893,8.384492,9.269636,9.242949,9.84875,9.879576,10.441393,9.524202,9.548025,11.210343,9.072902,8.479835,8.230575,9.234778,,
"Industrial carbon dioxide emissions, natural gas, New Jersey (million metric tons CO2)",,,,,,,,,,,3.445394,4.869116,4.46196,4.434423,4.59492,4.405879,3.794825,4.336427,4.215777,4.610359,4.911774,5.479852,9.499796,10.415342,10.538115,11.469047,10.761431,10.596265,10.943468,10.88049,4.857338,4.743425,4.436864,4.268356,4.246762,4.131151,3.60849,3.464229,2.959819,2.64583,2.682121,2.714485,2.987727,3.416213,3.409315,3.077658,3.373767,3.000408,3.540896,,
"Natural Gas Citygate Price in New Jersey, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.94,3.92,3.31,2.99,3.03,3.17,3.23,3.14,3.29,3.54,3.33,3.34,3.84,4.19,3.71,4.48,5.34,6.41,5.33,7.16,7.82,9.7,10.85,10.21,11.42,9.15,8.41,7.53,6.74,6.21,6.21,4.87,3.93,4.27,4.68,4.83,
"New Jersey Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.89,1.95,2.02,2.08,2.25,2.69,3.14,3.42,3.53,4.3,5.06,5.87,7.03,7.43,7.3,7.49,7.35,6.6,6.32,6.51,6.6,6.73,6.94,6.99,7.11,7.27,7.16,7.93,7.33,7.46,7.28,7.63,7.23,8.51,11.59,10.47,14.91,14.48,15.21,14.54,12.84,11.78,11.09,10.89,9.69,8.32,8.3,9.14,9.09,9.73,9.9
"New Jersey Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.42,1.46,1.49,1.55,1.86,2.33,2.77,3.1,3.37,3.99,4.6,5.48,6.36,6.69,6.53,6.63,6.33,5.54,5.24,5.3,5.2,5.21,5.54,5.6,6.03,5.76,6.14,5.88,3.7,3.99,5.92,7.91,6.26,8.74,10.97,10.99,12.98,12.1,13.38,10.2,10.11,9.51,8.5,9.55,10.08,8.5,7.93,9.14,9.01,9.05,8.8
