,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
72,51013101702,3193,131006,1030,0.007862235317466375,850.4,176.5,3.1
73,51013101703,1378,128939,1123,0.0087095448235212,960.9,161.0,1.2
74,51013101801,1904,182031,1199,0.006586790162115244,929.6,267.8,1.7
75,51013101802,3558,140826,1077,0.0076477355033871585,824.4,249.8,3.3
76,51013101803,2335,129218,1242,0.009611664009658098,891.3,336.8,13.5
77,51013101900,1198,196355,1793,0.009131420131903949,1194.8,581.4,17.0
78,51013102001,1451,104970,939,0.008945412975135753,804.8,133.0,1.5
79,51013102002,580,108722,1262,0.011607586321075771,974.2,284.4,3.3
80,51013102003,2355,77871,925,0.011878619768591645,745.7,176.5,3.1
81,51013102100,919,149390,1839,0.012310060914385166,1286.0,536.1,17.4
82,51013102200,3148,63067,1229,0.019487212012621498,994.6,232.1,2.3
83,51013102301,588,171503,1723,0.01004647149029463,1174.6,541.4,6.7
84,51013102302,1546,144460,1762,0.012197147999446213,1239.3,504.4,18.0
85,51013102400,1479,136699,1596,0.011675286578541175,1134.7,452.8,8.9
86,51013102500,2478,140880,1238,0.008787620670073822,924.9,310.3,3.2
87,51013102600,1393,133886,1516,0.011323065891878165,1033.2,473.5,9.8
88,51013102701,1599,63430,1070,0.01686898943717484,775.9,292.2,1.6
89,51013102702,818,131935,1352,0.010247470345245764,1060.6,279.6,11.8
90,51013102801,3568,106503,1332,0.012506689952395707,1064.1,262.1,5.4
91,51013102802,514,175941,1928,0.010958218948397474,1428.9,490.9,8.0
92,51013102901,1690,124108,1182,0.00952396299996777,1142.1,33.5,6.8
93,51013102902,2372,118989,1188,0.009984116178806445,1063.5,114.8,9.4
94,51013103000,1710,149855,1470,0.009809482499749759,1398.3,64.0,7.3
95,51013103100,2463,112881,1586,0.014050194452565092,1189.0,386.5,10.8
96,51013103200,2749,109774,1224,0.011150181281542078,987.8,234.5,1.5
97,51013103300,1185,89555,1271,0.014192395734464854,955.3,302.1,14.0
98,51013103401,58,98343,1022,0.010392198733005908,882.7,139.1,0.5
99,51013103402,3725,128661,1094,0.00850296515649653,944.9,146.4,2.4
