,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
72,16005001200,1127,56504,1545,0.02734319694180943,1164.2,311.1,70.2
73,16005001300,1015,40788,1507,0.03694714131607336,1120.2,303.9,82.7
74,16005001400,1715,51817,1390,0.02682517320570469,986.5,322.4,81.1
75,16005001500,2070,52963,1564,0.02953004927968582,1127.7,327.7,108.9
76,16005001601,1232,33904,1163,0.03430273714016045,857.2,221.0,84.3
77,16005001602,1401,58900,1622,0.027538200339558574,1210.7,332.3,79.3
78,16005001603,1213,50774,1225,0.02412652144798519,837.7,309.2,78.5
79,16005001700,1305,100427,1579,0.0157228633733956,1074.1,455.5,49.7
80,16005001900,1884,77452,3049,0.039366317202912775,1576.4,1112.8,359.9
81,16005940000,700,58783,2419,0.04115135328241158,1535.2,494.5,388.8
82,16005981800,112,89352,1822,0.02039126152744203,1230.2,497.6,94.6
83,16007950100,1287,59331,2225,0.037501474777097976,1470.7,586.9,167.8
84,16007950200,1063,70936,3953,0.055726288485395285,2376.9,1240.3,336.1
85,16009940000,1752,54818,2714,0.049509285271261264,1844.2,368.2,501.6
86,16009950100,1594,61256,2676,0.043685516520830615,1932.4,230.2,513.2
87,16011940000,914,50296,2152,0.0427867027198982,1641.9,256.7,253.7
88,16011950100,2392,65873,2274,0.03452097217372824,1382.8,739.0,152.4
89,16011950200,1283,64312,2515,0.039106232118422686,1484.1,807.4,223.7
90,16011950300,1854,60159,2591,0.04306919995345667,1557.0,731.3,302.3
91,16011950400,2503,64121,1711,0.026683925702967827,1164.7,438.2,108.3
92,16011950500,2609,55186,1953,0.035389410357699415,1397.9,435.0,120.5
93,16011950600,1699,66812,2719,0.040696282105011077,1529.0,962.7,227.2
94,16011950700,1518,76281,2648,0.034713755718986376,1565.4,869.6,213.3
95,16013960100,1841,68294,2587,0.03788034087914019,1767.0,685.1,134.5
96,16013960200,3379,74365,1857,0.02497142472937538,1476.0,328.1,53.4
97,16013960300,1580,68717,2976,0.04330806059635898,2576.1,325.8,74.2
98,16013960500,1390,75531,3152,0.04173120970197667,2736.6,311.5,103.9
99,16015950200,3110,73071,3459,0.04733752104117913,2413.4,560.7,484.8
100,16017950100,998,44645,3603,0.08070332624034046,2435.8,667.9,499.6
101,16017950200,3635,72073,1763,0.02446131006063297,991.6,477.6,294.1
102,16017950300,1496,52510,1444,0.027499523900209485,921.1,420.1,102.9
103,16017950400,3019,67058,1777,0.02649944823883802,1101.4,527.3,148.4
104,16017950500,1396,45818,2019,0.04406565105417085,1030.1,434.3,554.1
105,16017950600,911,59538,3781,0.06350566025059626,2668.8,646.3,466.1
106,16017950700,1994,54342,2610,0.048029148724743294,1741.1,395.9,472.8
107,16017950800,2399,74097,2260,0.030500560076656275,1158.2,659.6,442.4
108,16017950900,1736,68342,2372,0.034707793157940946,1347.6,761.2,263.3
109,16019970100,1869,108399,2574,0.02374560650928514,1334.8,1130.5,109.1
110,16019970300,1982,77499,2274,0.02934231409437541,1363.9,756.9,152.9
111,16019970401,976,100968,1601,0.01585650899294826,1050.5,511.4,39.3
112,16019970402,1563,87253,1835,0.02103079550273343,1122.0,633.2,80.2
113,16019970403,3516,63235,1617,0.025571281726891753,1161.2,411.0,44.4
114,16019970501,2814,79976,1314,0.01642992897869361,930.0,364.4,19.4
115,16019970502,1926,71473,1570,0.0219663369384243,1123.1,376.3,70.7
116,16019970503,1797,86754,1533,0.017670654955391107,1062.1,430.8,40.0
117,16019970601,1000,57985,1657,0.028576355954126068,1266.3,311.3,79.4
118,16019970602,2485,48134,1374,0.02854531100677276,1060.1,268.0,46.0
119,16019970603,887,84816,1492,0.017591020562158083,1133.6,309.8,48.3
120,16019970700,1891,42173,1465,0.034737865458942925,1184.1,226.3,54.6
121,16019970800,1562,54318,1418,0.02610552671306013,1098.9,266.4,52.9
122,16019970900,1793,101406,1615,0.01592607932469479,1195.7,351.2,68.5
123,16019971000,1814,61708,1565,0.025361379399753678,1215.7,290.7,58.3
124,16019971100,1657,40958,1274,0.03110503442550906,950.5,261.8,61.9
125,16019971200,1769,42945,1374,0.031994411456514146,1138.7,196.9,38.7
126,16019971301,2374,66902,1480,0.02212190965890407,1119.7,301.9,58.1
127,16019971302,1868,87811,1552,0.017674323262461423,1249.5,260.9,41.4
128,16019971400,2881,114898,1652,0.014377970025587912,1176.8,425.6,49.9
129,16019971500,576,73849,2347,0.031781066771384855,1348.0,852.5,146.1
130,16021970100,2384,63999,2998,0.046844481945030395,2470.0,217.3,310.2
131,16021970200,2221,56225,3105,0.05522454424188528,2647.7,202.7,254.3
132,16023970100,1050,59014,2989,0.050648998542718676,1781.6,761.5,446.0
133,16025970100,357,60985,3996,0.06552430925637452,3123.9,601.1,270.7
134,16027020100,499,28321,885,0.031248896578510647,636.9,229.4,18.5
135,16027020200,1552,30704,1372,0.04468473163105784,1027.2,308.0,36.4
136,16027020300,1707,42775,1476,0.03450613676212741,1097.1,365.0,13.7
137,16027020401,3304,51512,1573,0.03053657400217425,1151.8,385.2,35.8
138,16027020402,2194,51045,1538,0.030130277206386523,1110.3,388.1,40.0
139,16027020501,1282,59287,1536,0.025907871877477357,1052.3,455.6,28.2
140,16027020503,1200,49821,1342,0.02693643242809257,908.7,412.1,21.7
141,16027020504,2092,36591,1195,0.032658303954524334,926.6,235.8,33.0
142,16027020601,1702,55757,1608,0.02883942823322632,1127.0,451.3,29.4
143,16027020602,2606,48616,1497,0.03079233174263617,1113.6,360.0,23.6
144,16027020700,1351,81465,1755,0.021542993923770945,1247.3,389.5,117.9
145,16027020901,4572,64413,1668,0.02589539378696847,1174.5,425.9,67.8
146,16027020902,5186,71657,1741,0.024296300431220955,1190.7,479.0,70.9
147,16027021001,4318,60482,1568,0.025925068615455838,1121.1,401.5,45.3
148,16027021002,4153,51392,1625,0.031619707347447075,1169.9,375.3,79.4
149,16027021100,6203,67657,1495,0.022096752738075882,1014.6,449.6,31.0
150,16027021200,2511,58041,1707,0.029410244482348684,1344.9,301.9,59.9
151,16027021300,834,33020,1473,0.04460932768019382,1197.7,246.4,28.6
152,16027021500,1566,42269,1576,0.037285007925429985,1175.9,294.5,105.6
153,16027021600,1624,44910,1508,0.03357826764640392,1136.2,291.5,80.3
154,16027021700,3866,50756,1552,0.030577665694696193,1195.3,304.6,52.4
155,16027021800,2461,77004,2075,0.02694665212196769,1506.5,380.4,188.6
156,16027021901,1855,55351,1534,0.02771404310671894,1084.8,404.6,44.5
157,16027021903,3527,94701,2202,0.02325213038933063,1597.1,369.0,235.6
158,16027021904,1310,45781,2078,0.0453900089556803,1579.1,261.0,237.6
159,16027022100,1853,58979,2041,0.034605537564217775,1538.7,246.2,256.0
160,16027022200,1771,63335,2309,0.03645693534380674,1706.6,294.2,308.1
161,16027022300,2157,65505,2604,0.03975269063430272,1829.1,418.8,356.3
162,16027022400,1591,79365,2386,0.030063630063630064,1705.0,430.0,251.3
163,16029960100,1593,75414,2103,0.0278860688996738,1258.9,683.7,160.4
164,16029960200,1025,74276,2036,0.0274112768592816,1162.8,748.7,124.2
165,16031950100,981,63939,2251,0.035205430175636154,1852.6,244.0,154.3
166,16031950200,1086,79016,2137,0.027045155411562216,1762.9,227.5,146.3
167,16031950300,1753,60042,1795,0.02989573964891243,1412.7,248.0,134.1
168,16031950400,1524,38461,1528,0.039728556199786796,1252.1,211.3,64.1
169,16031950500,1745,78154,1896,0.024259794764183534,1441.3,342.8,112.3
170,16031950600,815,70650,2410,0.03411181882519462,1774.0,446.7,189.5
171,16033950100,305,46095,3810,0.08265538561666125,2198.8,1181.0,430.5
172,16035940000,2285,53025,1962,0.037001414427157,978.1,539.8,444.2
173,16035970100,1422,54773,2492,0.04549686889525861,1197.4,654.4,639.9
174,16037960200,1761,51936,2533,0.04877156500308071,1648.7,473.3,411.4
175,16039960100,1147,48989,3097,0.06321827348996714,2503.6,404.8,189.1
176,16039960200,3480,69209,1869,0.02700515828866188,1269.1,483.7,116.0
177,16039960300,1658,47464,1561,0.03288808360020226,1155.9,316.7,88.3
178,16039960400,2990,54540,2054,0.03766043270993766,1442.4,516.5,94.7
179,16039960500,1010,47767,1033,0.021625808612640525,892.9,133.6,7.0
180,16041970100,2037,62566,2626,0.041971677908129015,1228.2,1134.1,263.2
181,16041970200,2257,75760,2563,0.03383051742344245,1180.5,1185.5,197.1
182,16043970100,446,81546,5516,0.06764280283520957,3433.7,1758.9,323.9
183,16043970200,1336,52992,3005,0.05670667270531401,1696.8,890.5,418.1
184,16043970300,2527,64514,2450,0.03797625321635614,1431.3,834.9,183.5
185,16045960100,1689,60640,2300,0.0379287598944591,1491.8,410.0,397.8
186,16045960200,2251,45367,1928,0.04249785086075782,1390.4,346.6,191.3
187,16045960300,2643,51083,2011,0.039367304191218214,1477.4,331.9,201.8
188,16047960100,2816,61246,2007,0.032769486986905266,1633.3,219.3,154.8
189,16047960200,2603,57225,2163,0.03779816513761468,1667.9,360.0,134.8
190,16049940000,1813,50055,1869,0.037338927180101886,933.2,429.7,506.1
191,16049960100,968,50809,2356,0.04636973764490543,1298.8,519.8,537.1
192,16049960200,2450,47662,1964,0.041206831438042886,1105.5,385.7,472.8
193,16049960300,662,59038,2231,0.037789220502049525,1243.3,260.8,726.9
194,16049960400,573,47654,3098,0.06501028245267973,2269.3,361.3,467.8
195,16051960100,1193,62367,3306,0.05300880273221415,1770.1,1234.1,301.7
196,16051960200,1380,74963,2725,0.03635126662486827,1378.3,1028.5,318.1
197,16051960300,2591,67833,1838,0.027095956245485237,1199.5,490.9,147.5
198,16051960400,3483,76443,2429,0.031775309707886924,1349.6,942.3,137.4
199,16053970100,1103,59666,2372,0.03975463412999028,1762.8,314.6,294.5
200,16053970200,1330,65369,2133,0.032630145787758726,1684.0,315.3,133.7
201,16053970300,1985,54479,1626,0.029846362818700782,1292.8,257.9,74.9
202,16053970400,1024,41932,1771,0.04223504721930745,1434.5,255.2,80.9
203,16053970500,2386,68664,2113,0.03077303972969824,1633.3,344.5,134.9
204,16055000100,2580,77006,2506,0.032542918733605174,1825.8,397.5,283.0
205,16055000200,3659,76357,2417,0.03165394135442723,1630.9,548.2,237.9
206,16055000301,2445,86766,2005,0.02310812991263859,1364.7,523.7,116.3
207,16055000302,2534,72348,2090,0.02888815171117377,1501.8,465.1,123.0
208,16055000401,2390,60251,1820,0.0302069675192113,1188.8,515.9,115.4
209,16055000402,3063,70377,1783,0.02533498159910198,1258.3,477.1,47.4
210,16055000500,4965,55819,1818,0.03256955516938677,1276.1,459.4,82.0
211,16055000601,1655,82296,2195,0.02667201322056965,1433.3,700.9,61.1
212,16055000602,2371,52925,1728,0.03264997638167218,1257.9,394.3,76.3
213,16055000700,7438,76135,1842,0.024193866158796873,1259.6,517.6,65.1
