,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
73,35001003202,2237,47109,1317,0.027956441444310004,879.5,405.8,32.0
74,35001003400,1694,28360,854,0.030112834978843442,618.5,222.4,13.4
75,35001003501,2552,70898,1326,0.018702925329346386,925.2,367.9,33.3
76,35001003502,2220,123171,1596,0.01295759553791071,1125.4,429.6,40.9
77,35001003600,2658,77426,1510,0.019502492702709685,1014.5,449.4,46.0
78,35001003707,2130,68056,1234,0.01813212648407194,923.4,294.2,16.1
79,35001003712,2045,80252,1432,0.017843792055026664,1008.2,402.0,21.7
80,35001003714,3576,47360,1046,0.02208614864864865,807.9,227.8,10.8
81,35001003715,1832,107625,1505,0.013983739837398375,1089.3,390.7,25.4
82,35001003717,2364,85544,1365,0.01595670064528196,976.4,368.5,19.8
83,35001003718,1036,77356,1421,0.018369615802264854,1017.7,384.8,18.1
84,35001003719,2550,79376,1286,0.016201370691392863,943.7,327.6,14.6
85,35001003721,2804,153454,1753,0.011423618804332243,1271.9,462.6,19.0
86,35001003722,2265,134915,1812,0.013430678575399325,1307.2,486.7,18.6
87,35001003723,2963,63345,1274,0.02011208461599179,909.2,337.7,27.1
88,35001003724,1447,91739,1400,0.015260685204765694,1012.2,365.3,22.0
89,35001003725,1879,75204,1219,0.016209244189138876,894.6,309.6,15.1
90,35001003726,1041,130137,1582,0.012156419773008445,1106.1,461.3,15.1
91,35001003728,1949,64300,1299,0.02020217729393468,967.4,321.1,10.9
92,35001003729,795,156033,1894,0.012138457890318075,1357.7,521.3,15.3
93,35001003730,1721,148366,1777,0.011977137619131068,1265.5,494.3,16.9
94,35001003731,1358,167032,2005,0.012003687916087935,1448.7,528.3,28.4
95,35001003732,2612,146511,1774,0.012108305860993372,1291.6,467.3,15.4
96,35001003733,1368,28645,850,0.02967359050445104,664.7,182.1,2.9
97,35001003735,2816,82771,1518,0.018339756678063573,1065.0,442.1,11.2
98,35001003736,911,46708,1213,0.025969855271045644,859.0,334.3,19.8
99,35001003737,1130,132591,1586,0.01196159618676984,1136.7,432.6,17.1
100,35001003738,2166,72403,1301,0.01796886869328619,958.9,326.7,15.6
101,35001003803,1397,106818,2856,0.026737066786496656,1321.8,1321.2,212.7
102,35001003804,2304,90476,3268,0.03612007604226535,1396.5,1624.9,246.7
103,35001003805,1020,82323,2538,0.03082978025582158,1269.4,1057.7,210.9
104,35001003806,1583,98786,2900,0.029356386532504605,1226.5,1347.3,325.7
105,35001003807,1890,70878,2839,0.040054741950957984,1316.3,1206.8,316.2
106,35001004001,1698,51766,1422,0.027469767801259513,965.0,416.7,40.6
107,35001004300,1935,41904,1404,0.03350515463917526,990.1,373.6,39.9
108,35001004401,1052,55061,1674,0.030402644339913912,1164.2,434.7,75.0
109,35001004402,1461,57747,1451,0.02512684641626405,975.5,410.0,65.2
110,35001004501,1032,37969,1425,0.03753061708235666,960.3,393.1,71.4
111,35001004502,1307,47156,1546,0.032784799389261175,1093.1,403.3,49.7
112,35001004602,1458,54997,1616,0.02938342091386803,1112.5,440.5,63.2
113,35001004603,1415,56964,1526,0.026788849097675725,1040.8,434.2,51.0
114,35001004604,1732,59603,1574,0.026408066708051608,1067.8,457.3,48.4
115,35001004712,2098,61508,1373,0.022322299538271445,941.1,411.8,20.5
116,35001004713,2054,56017,1390,0.02481389578163772,931.9,431.0,26.7
117,35001004715,1685,37992,1506,0.03963992419456728,907.0,520.3,79.0
118,35001004716,1169,49020,1013,0.020665034679722562,762.9,232.3,17.8
119,35001004717,3024,66422,1380,0.02077624883321791,1023.5,347.0,9.3
120,35001004720,1573,72356,1349,0.018643927248604125,978.9,341.6,28.2
121,35001004722,2185,63540,1228,0.01932640856153604,882.6,327.5,17.7
122,35001004723,2437,112124,1591,0.01418964717634048,1154.8,421.0,15.3
123,35001004724,1104,100320,1569,0.015639952153110048,1105.8,438.5,24.3
124,35001004725,1429,88744,1491,0.016801135851437842,1044.6,431.4,15.3
125,35001004726,947,67401,1426,0.021156956128247355,970.0,430.2,25.4
126,35001004727,676,79898,1549,0.019387218703847405,1101.7,403.6,44.0
127,35001004728,2036,87219,1477,0.016934383563214438,1042.8,400.6,33.2
128,35001004729,1659,85189,1476,0.017326180610172676,1130.2,328.8,16.9
129,35001004733,2040,54579,1488,0.027263233111636344,1041.2,426.0,20.6
130,35001004734,2036,44878,1539,0.03429297205757832,1024.6,472.3,41.8
131,35001004735,668,47795,1500,0.03138403598702793,992.4,441.3,66.2
132,35001004736,473,32571,1183,0.03632065334192994,693.2,392.3,97.4
133,35001004737,2204,60801,1282,0.021085179520073685,885.2,383.1,13.7
134,35001004738,2030,51784,1408,0.027189865595550748,1008.3,381.9,18.2
135,35001004739,2035,51993,1516,0.029157771238435944,1044.6,446.2,25.4
136,35001004740,2456,52623,1404,0.02668034889687019,988.2,403.5,12.3
137,35001004741,2822,40044,1117,0.027894316252122665,725.8,377.1,14.4
138,35001004742,2545,68343,1351,0.01976793526769384,943.3,388.8,19.2
139,35001004743,1299,83983,1514,0.018027457937916005,1077.6,422.1,14.4
140,35001004744,1995,98235,1524,0.015513818903649413,1104.5,402.3,16.9
141,35001004745,2196,99033,1580,0.015954277866973635,1139.4,416.8,23.4
142,35001004746,3001,77794,1458,0.0187418052806129,1040.4,402.4,15.4
143,35001004747,1862,69805,1387,0.019869636845498174,964.1,395.0,27.9
144,35001004748,3237,85089,1506,0.017699115044247787,1073.0,418.1,14.6
145,35001004749,1977,41391,1119,0.027034862651301006,807.0,303.7,7.9
146,35001004750,2367,73978,1428,0.01930303603774095,1016.5,394.7,17.0
147,35001004751,1455,88864,1412,0.015889449045732806,997.6,387.5,26.6
