,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
72,13021010300,324,56268,3658,0.06501030781261108,2922.7,728.1,6.8
73,13021010400,730,24829,3284,0.13226469048290307,2623.3,656.4,4.5
74,13021010500,453,16353,2017,0.12334128294502537,1589.9,426.4,1.0
75,13021010800,842,55638,2024,0.03637801502570186,1536.4,486.9,1.1
76,13021011000,2126,51350,2352,0.0458033106134372,1872.3,474.4,4.9
77,13021011100,809,17420,2848,0.1634902411021814,2333.5,510.9,3.9
78,13021011500,416,21764,2725,0.1252067634625988,2136.9,586.9,1.7
79,13021011701,844,44071,2843,0.06450954142179664,2200.9,637.4,4.8
80,13021011702,1614,46614,2711,0.05815849315656241,1995.2,709.2,6.3
81,13021011800,1508,81312,2576,0.03168044077134986,1829.4,739.7,6.5
82,13021011900,1011,48278,2247,0.046542938812709725,1698.2,545.3,3.8
83,13021012000,1852,68244,2594,0.03801066760447805,1831.8,753.6,8.7
84,13021012101,835,83885,2454,0.029254336293735472,1774.4,669.5,10.0
85,13021012102,2255,55384,2173,0.03923515816842409,1631.3,537.6,4.1
86,13021012200,806,58877,3058,0.05193878764203339,2445.6,608.7,3.9
87,13021012300,1056,36296,2735,0.07535265594004849,2064.0,666.0,5.1
88,13021012400,1518,30755,2567,0.0834661030726711,1959.8,602.3,5.4
89,13021012500,1042,26446,2551,0.0964607123950692,1997.7,549.6,3.6
90,13021012600,1648,34894,2465,0.07064251733822434,1877.3,582.9,4.3
91,13021012700,683,20386,2559,0.12552732267242225,1994.1,562.2,2.8
92,13021012800,1089,33195,2833,0.08534417834011146,2204.5,625.6,2.7
93,13021012900,499,30341,3310,0.10909330608747239,2701.1,605.3,3.8
94,13021013101,1654,33984,3047,0.08965983992467043,2424.4,617.3,5.4
95,13021013102,1545,43116,2395,0.055547824473513314,1873.7,518.2,3.3
96,13021013201,2456,40366,2173,0.05383243323589159,1810.8,358.4,3.5
97,13021013202,935,31196,2776,0.0889857674060777,2254.1,517.5,4.1
98,13021013302,1549,46293,2657,0.057395286544401965,1956.2,693.8,6.9
99,13021013407,2038,66913,1928,0.02881353399189993,1504.9,419.4,4.1
100,13021013408,1807,116236,2546,0.02190371313534533,1693.9,840.2,11.7
101,13021013409,1417,84962,2568,0.03022527718274052,2077.3,484.3,6.1
102,13021013410,2408,108075,2317,0.02143881563728892,1641.5,666.9,8.5
103,13021013411,1892,110580,1681,0.01520166395369868,1421.4,256.0,3.4
104,13021013502,553,46234,2472,0.05346714539083791,2075.5,393.2,3.5
105,13021013503,855,59389,2229,0.03753220293320312,1783.1,441.6,4.2
106,13021013504,3302,69831,2686,0.03846429236299065,2187.3,494.4,4.5
107,13021013603,1218,80806,2693,0.03332673316337896,2223.4,463.8,5.9
108,13021013604,1828,67285,2757,0.040974957271308614,2157.5,590.8,8.4
109,13021013605,2163,77035,2584,0.033543194651781655,2188.4,391.9,3.8
110,13021013606,2527,88710,2576,0.02903843986021869,2143.9,427.4,4.6
111,13021013700,1191,48698,1736,0.0356482812435829,1442.5,291.8,1.9
112,13021013800,498,23703,3330,0.14048854575370207,2650.1,675.2,4.3
113,13021013900,597,35812,3051,0.08519490673517256,2567.8,477.1,5.9
114,13023790100,1636,56439,2432,0.043090770566452274,2024.1,394.8,12.9
115,13023790200,717,41977,3048,0.0726111918431522,2483.2,554.5,10.2
116,13023790300,1815,53323,2036,0.03818239783958142,1714.7,314.6,6.7
117,13025960100,2422,45923,2540,0.05530997539359363,2389.0,144.0,6.8
118,13025960200,2337,46614,2314,0.04964173853348779,2153.0,154.1,7.3
119,13025960300,1805,59566,2317,0.03889802907699023,2184.3,128.2,4.4
120,13027960200,603,47673,2146,0.04501499800725778,2075.4,63.7,6.5
121,13027960300,2181,57691,2124,0.03681683451491567,1989.6,129.9,4.9
122,13027960400,1460,44492,2219,0.04987413467589679,2084.4,127.4,6.8
123,13027960500,1028,55405,2650,0.0478296182654995,2321.8,321.2,7.1
124,13027960600,1078,46469,2347,0.05050678947255159,2100.5,240.2,6.0
125,13029920101,1912,60706,2044,0.03367047738279577,1809.6,228.1,6.2
126,13029920102,1834,60348,2308,0.038244846556638165,2103.8,199.4,4.7
127,13029920301,780,71844,2504,0.034853293246478484,2287.2,205.4,11.9
128,13029920303,2224,61318,2225,0.03628624547441208,2087.5,133.4,4.5
129,13029920305,1488,116284,2531,0.021765677135289464,2330.1,196.3,4.1
130,13029920306,4398,103915,2448,0.023557715440504258,2306.8,138.0,3.3
131,13031110100,1496,47412,2076,0.043786383194128066,1921.5,149.6,4.8
132,13031110200,3347,55796,1782,0.03193777331708366,1700.0,78.1,3.8
133,13031110300,3324,74614,1859,0.024914895327954538,1755.1,100.2,3.3
134,13031110401,1674,43737,1591,0.03637652330978348,1532.8,56.5,1.6
135,13031110403,2718,25058,1408,0.056189640035118525,1394.5,13.7,0.2
136,13031110404,587,23604,1241,0.05257583460430436,1221.2,20.1,0.0
137,13031110500,1961,56707,1916,0.033787715802281904,1818.0,93.7,4.2
138,13031110601,2774,61636,1648,0.026737620870919594,1613.1,32.8,2.3
139,13031110602,1761,50771,1841,0.03626085757617538,1696.8,140.3,3.6
140,13031110700,3759,74145,1996,0.02692022388562951,1864.3,127.6,4.1
141,13031110800,940,54529,2285,0.04190430779951952,2183.6,97.3,4.3
142,13031110900,2614,59190,2144,0.03622233485386045,2020.4,118.9,4.3
143,13033950100,1892,64387,2945,0.045739046701974,2551.4,379.1,14.8
144,13033950200,876,60148,2854,0.04744962426015828,2606.5,238.4,9.5
145,13033950400,1949,45969,2186,0.047553786247253586,2049.5,127.8,8.9
146,13033950500,1770,65249,2637,0.04041441248141734,2362.9,263.2,10.8
147,13033950700,998,49487,3037,0.06136965263604583,2593.1,434.7,8.9
148,13033950900,699,50097,2817,0.05623091203066052,2209.4,591.3,16.1
149,13035150100,3195,68621,2580,0.03759781990935719,1979.5,585.0,15.2
150,13035150200,2939,49672,2484,0.05000805282654212,1828.9,641.3,13.4
151,13035150300,2023,58234,2580,0.04430401483669334,1845.8,722.0,12.5
152,13037950100,621,52283,3542,0.06774668630338733,3146.7,383.2,11.6
153,13037950200,1232,37872,1985,0.0524133924799324,1809.2,161.5,14.6
154,13039010100,1214,76620,2478,0.032341425215348475,2166.5,308.0,3.9
155,13039010200,1878,75325,2259,0.029990043146365747,2021.6,233.4,3.8
156,13039010301,3073,62864,1911,0.030398956477475186,1746.1,161.7,3.3
157,13039010302,1712,62737,2180,0.034748234694040196,1991.3,183.4,4.8
158,13039010401,4347,77709,1947,0.02505501293286492,1763.2,181.9,2.3
159,13039010402,1975,101018,2052,0.020313211506860163,1901.9,146.7,2.9
160,13039010403,1594,101801,2054,0.020176619090185755,1765.9,285.1,3.3
161,13039010500,529,55164,1858,0.03368138641142774,1732.0,122.4,3.5
162,13039010601,2594,53533,2105,0.039321539984682345,1915.1,186.3,3.9
163,13039010602,411,77369,2061,0.026638576173919785,2042.5,13.3,4.8
164,13043950100,1800,43777,2149,0.04908970463942253,2012.0,127.0,9.7
165,13043950200,1194,49439,2238,0.045267905904245634,2069.6,157.7,10.3
166,13043950300,971,48746,2132,0.043736922003856725,1901.4,223.3,7.3
167,13045910101,2147,59254,2217,0.037415195598609376,1802.9,401.6,12.0
168,13045910103,1837,76806,2251,0.029307606176600786,1777.2,454.3,19.2
169,13045910104,3335,65274,2267,0.03473052057480774,1780.4,473.2,13.7
170,13045910200,4386,66479,2376,0.03574060981663382,1797.7,562.5,16.2
171,13045910300,2379,60598,2633,0.043450278887091985,1834.2,778.9,19.6
172,13045910400,1318,56896,2758,0.048474409448818895,1743.4,998.8,15.6
173,13045910501,2176,57078,2007,0.03516240933459477,1701.6,300.6,5.3
174,13045910502,1157,25638,1982,0.07730712224042437,1554.4,425.0,2.5
175,13045910600,2278,75776,2214,0.029217694256756757,1541.1,656.0,16.7
176,13045910701,3217,71314,2129,0.029853885632554616,1609.9,507.4,12.0
177,13045910702,3174,73758,2421,0.03282355812250874,2086.2,318.1,16.3
178,13045910703,3188,61312,2185,0.03563739561586639,1584.8,586.8,13.6
179,13045910800,1482,57228,2605,0.04551967568323199,1871.8,711.9,21.1
180,13045910900,1502,64078,2569,0.04009176316364431,1788.4,759.1,21.8
181,13045911000,2340,76881,2397,0.031178054395754478,1705.1,678.6,13.7
182,13045911100,3032,71696,2219,0.030950122740459718,1602.3,603.1,13.7
