,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Louisiana (Million cubic feet)",86148,79893,82847,93072,91844,96221,95457,94350,81978,87808,73093,81458,68495,68304,69529,60679,58129,61377,59707,57705,53392,54593,55221,56609,52981,52603,56626,52709,47574,45104,49744,49003,49147,47330,42736,41155,33435,37150,37225,36512,45516,39412,31834,38820,44518,36858,31383,29074,37838,36019,
"Natural gas consumed by (delivered to) the commercial sector, Louisiana (Million cubic feet)",70321,67515,66331,59518,58097,50662,43567,44563,65300,115743,39996,39507,33729,34906,33088,30228,27985,27845,27475,27156,24937,25452,28445,25157,24184,23833,25746,25613,24042,24559,25687,24604,25540,25161,24700,25085,22240,23863,22869,23672,27009,25925,26294,28875,31277,30270,28931,28322,34848,32980,
"Natural gas consumed by the industrial sector, Louisiana (Million cubic feet)",1281278,1298759,1327652,1412503,1438570,1224489,1458372,1618868,1651968,1315799,1181644,1166071,1018906,966107,1141661,968129,1038538,1113106,1051626,1158789,1168095,1120187,1153178,1195958,1166331,1212667,1212305,1231900,1117082,1055172,1105778,946831,981801,955184,992049,920530,997780,1045879,973434,945579,1058485,1097015,1132986,1106812,1115976,1109590,1202818,1241531,1318255,1363555,
"Natural gas consumed by the electric power sector, Louisiana (Million cubic feet)",331750,361631,383398,364568,343617,356130,365843,349986,369183,401399,424991,415912,372632,296490,300857,285039,267862,246912,250323,262484,285802,271224,260355,244684,278817,324646,253966,279258,320034,322360,304791,243017,323804,236408,245361,285022,195927,224419,236543,222486,270528,293245,322632,267629,264668,342506,330541,279290,300919,341847,
"Residential carbon dioxide emissions, natural gas, Louisiana (million metric tons CO2)",,,,,,,,,,,4.021855,4.47655,3.80602,3.769464,3.838756,3.342358,3.204676,3.384803,3.298904,3.191624,2.950004,3.036327,3.059619,3.11172,2.920027,2.88363,3.137506,3.173744,2.71873,2.495998,2.807706,2.662065,2.691459,2.591288,2.341497,2.279951,1.841544,2.038596,2.045547,1.992915,2.473343,2.129482,1.712988,2.095261,2.423575,2.002252,1.70227,1.574722,2.049526,,
"Commercial carbon dioxide emissions, natural gas, Louisiana (million metric tons CO2)",,,,,,,,,,,2.200737,2.171132,1.874227,1.926328,1.826794,1.665024,1.542835,1.535566,1.518057,1.501981,1.377776,1.415605,1.576101,1.382816,1.33289,1.306467,1.426535,1.542251,1.373955,1.359047,1.44988,1.336604,1.398627,1.377563,1.353316,1.389713,1.224972,1.309492,1.2567,1.292089,1.467707,1.400749,1.414862,1.558487,1.702695,1.644385,1.569257,1.533974,1.88765,,
"Industrial carbon dioxide emissions, natural gas, Louisiana (million metric tons CO2)",,,,,,,,,,,64.17444,63.242636,55.904424,52.626981,62.284128,52.613291,56.552155,60.64081,57.30794,63.186389,63.652891,61.403081,62.952384,64.785377,63.23749,65.397717,66.030809,73.022366,62.651304,57.205921,61.169125,50.227773,52.554664,51.028015,53.029835,49.754575,53.926201,56.082544,51.991245,50.510162,56.149387,57.928474,59.693845,58.641985,59.495209,59.072467,63.999641,66.109522,69.832169,,
"Natural Gas Citygate Price in Louisiana, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.78,3.55,2.95,2.38,3.09,2.98,2.97,2.56,2.48,2.72,2.54,2.21,3.13,3.04,2.33,2.7,4.61,5.55,4.07,5.78,6.56,8.56,7.67,7.22,9.58,5.96,5.43,5.67,3.48,4.12,4.9,3.32,3.65,4.02,4,3.59,
"Louisiana Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.77,0.84,0.91,0.97,1.12,1.37,1.57,1.97,2.47,2.71,3.4,4.15,5.32,6.12,5.96,5.67,5.77,5.56,5.74,5.97,6.09,5.77,5.6,6.09,6.24,6.01,6.76,7.16,6.68,6.83,8.34,10.47,8.06,10.29,11.2,13.26,14.66,14.2,15.49,13.15,11.73,11.37,11.54,10.8,10.89,10.77,11.35,13.04,11.65,11.51,
"Louisiana Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.38,0.41,0.46,0.51,0.6,0.8,1.1,1.4,1.44,2.28,2.69,3.69,4.93,5.71,5.54,5.28,5.25,4.97,5.14,5.19,5.26,4.9,4.79,5.33,5.42,5.15,6.09,6.22,5.64,5.73,7.41,8.58,6.74,8.81,9.56,11.41,11.84,11.83,13.52,10.46,9.88,9.36,8.44,8.59,9.01,8.01,7.92,8.99,8.71,8.41,
