,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Arizona (Million cubic feet)",29518,26298,29449,29255,27606,28634,25412,28426,28206,27084,30320,31353,28386,28161,29684,26893,27709,31057,36100,32940,34740,36249,35305,35810,38206,35767,36055,38321,38453,34732,37812,38592,34974,39692,32397,34516,35120,32821,35125,42085,
"Natural gas consumed by (delivered to) the commercial sector, Arizona (Million cubic feet)",27487,26742,26085,24612,25309,25360,24081,27669,28299,28600,28401,27597,27089,27568,29187,28210,28987,30132,31788,31301,32138,31121,31705,32292,33159,31888,32792,32694,32516,32196,31945,32633,31530,32890,30456,30536,34010,31212,31812,34687,
"Natural gas consumed by the industrial sector, Arizona (Million cubic feet)",37807,47264,29723,29738,29161,16509,8492,17763,24190,20720,18450,19249,19815,21213,25930,27721,27037,27914,28203,27066,21256,21268,17213,15295,20738,16998,18470,19375,20204,17965,19264,21741,22669,22157,22499,20407,19768,19254,19172,18629,
"Natural gas consumed by the electric power sector, Arizona (Million cubic feet)",49699,57911,31286,19209,25366,41731,30607,26665,25328,50807,24278,23282,30939,20480,26147,22183,22554,26692,42267,54685,95881,129086,145346,170140,240321,217485,248146,280156,283817,261904,224430,180966,228818,222985,205697,248369,255498,223952,284653,356307,
"Total energy consumption per capita in the residential sector, Arizona (Million Btu)",56.2,53.5,53.7,56,55.5,58.3,55,55.9,57,59.3,59.5,58.4,57.8,56.6,58.3,55.8,59,59.3,60.4,60.6,64.3,64.5,61.8,62.7,63,62.9,63.5,63.9,61.4,58.9,58.8,60.5,57.8,58.7,56.1,56.4,56.5,56.9,56.9,56.6,
"Electricity consumed by (i.e., sold to) the residential sector, Arizona (Million kilowatthours)",9637,9530,9503,10427,11110,12249,12540,13821,14731,15248,15378,15641,16230,16705,18212,18036,19746,20683,21611,22517,24844,26200,26413,27742,28921,30544,32367,34437,33236,32847,32448,33079,32923,33104,32346,33167,33691,34251,34660,34720,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Arizona (Kilowatthours)",3520,3391,3289,3512,3622,3848,3790,4021,4167,4209,4174,4129,4145,4109,4290,4069,4305,4366,4425,4482,4814,4968,4895,5034,5117,5231,5369,5583,5292,5178,5064,5110,5022,4989,4804,4854,4851,4860,4838,4761,
"Distillate fuel oil consumed by the residential sector, Arizona (Billion Btu)",12,6,0,3,4,68,63,96,34,40,55,29,35,46,32,34,56,42,26,21,23,38,55,55,29,19,20,13,12,19,16,18,22,12,12,6,6,7,5,2,
"Propane consumed by the residential sector, Arizona (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4574,5306,3118,3967,4084,3508,4014,3934,4986,5545,
"Distillate fuel oil consumed by the commercial sector, Arizona (Billion Btu)",1633,349,134,1255,1472,2696,2252,2616,2632,2206,2655,1757,1499,1447,2277,2062,3443,3810,6527,5499,5047,4456,4841,2857,2014,2751,2661,3705,7086,5016,6928,6727,6606,5861,5910,6277,5001,5026,4533,3941,
"Electricity consumed by (i.e., sold to) the commercial sector, Arizona (Million kilowatthours)",9122,9263,9289,9544,11169,12295,13088,14324,14924,15778,16058,15802,16366,16714,17766,18562,19555,20520,21683,22688,24311,24697,25162,25425,26106,27468,28626,30475,30162,29386,28943,29512,29692,30039,29290,29284,29564,29681,29684,29415,
"Total energy consumption per capita in the commercial sector, Arizona (Million Btu)",50.5,48.6,47.8,46.6,50.5,53.2,52.7,55.8,55.9,58.6,58.7,55.3,55.1,53.8,54.5,54.9,56.7,56.6,58.3,58.9,61,59.3,57.7,56.4,55.5,55.3,55.3,55.4,54.5,52.5,52.1,53.7,52.4,52.8,50.8,50.9,50.7,50.4,49.1,47.6,
