,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Kentucky (Million cubic feet)",86473,84197,85881,80233,76129,79156,96351,94646,84436,77438,74235,70538,67590,63049,66895,60086,59372,59094,64027,65086,56064,59465,61911,66909,62533,66149,70232,66033,55545,59220,64662,56947,59104,61886,56443,56142,47379,51534,55025,51821,54391,50696,43065,54208,57590,49426,45502,43253,51476,48777,
"Natural gas consumed by (delivered to) the commercial sector, Kentucky (Million cubic feet)",42461,42352,42843,45797,42320,38497,57203,50170,46647,40509,39359,36379,35260,34111,36138,33758,32666,33298,35718,36148,31806,33700,35419,37817,36744,38610,40972,38627,32464,35798,38669,35255,35942,38212,36989,36894,32590,34386,37167,35438,36818,34592,30771,37422,39967,35435,33520,32796,38472,37395,
"Natural gas consumed by the industrial sector, Kentucky (Million cubic feet)",74841,73696,79520,76697,74715,66074,71680,54855,57538,74001,65861,66084,64846,61192,67224,63232,54564,57784,63078,66348,71557,74069,76431,79283,85854,93411,96907,98181,95543,101006,103745,97351,107089,105086,116953,115581,112271,112608,110555,98613,107895,109720,112290,116635,121725,122877,120853,118993,123296,126661,
"Natural gas consumed by the electric power sector, Kentucky (Million cubic feet)",8533,8910,10014,8067,5463,272,135,721,1208,934,1902,2589,1522,1196,1767,1121,437,336,452,328,283,227,269,269,350,866,1836,2194,5782,5686,4202,4433,13712,3667,4833,17181,12287,19376,9584,8399,19284,15575,31194,14536,26793,51723,66359,81208,112656,112369,
"Residential carbon dioxide emissions, natural gas, Kentucky (million metric tons CO2)",,,,,,,,,,,3.973573,3.794401,3.636026,3.412021,3.627219,3.28373,3.269935,3.251419,3.522857,3.58801,3.093628,3.303361,3.475477,3.720493,3.523705,3.847563,3.909799,3.679692,3.048265,3.243619,3.569281,3.134057,3.251259,3.405707,3.100101,3.064288,2.586831,2.808077,3.022904,2.84978,2.974357,2.764146,2.356406,2.947033,3.13618,2.678301,2.484538,2.400496,2.870313,,
"Commercial carbon dioxide emissions, natural gas, Kentucky (million metric tons CO2)",,,,,,,,,,,2.106774,1.956942,1.896829,1.846001,1.959489,1.844886,1.799099,1.8321,1.965272,1.992755,1.755115,1.872104,1.988299,2.102848,2.070536,2.245783,2.280853,2.152509,1.78159,1.960762,2.134523,1.940176,1.977104,2.102848,2.031593,2.013713,1.779361,1.873696,2.041833,1.948824,2.013394,1.886058,1.6837,2.034458,2.176491,1.920121,1.830296,1.820162,2.14524,,
"Industrial carbon dioxide emissions, natural gas, Kentucky (million metric tons CO2)",,,,,,,,,,,3.52535,3.55485,3.488423,3.311532,3.645099,3.455634,3.00513,3.179368,3.470649,3.65762,3.94853,4.114651,4.290587,4.408531,4.837866,5.433268,5.394749,5.47115,5.243272,5.532325,5.726618,5.357662,5.890829,5.783071,6.423624,6.308544,6.129796,6.136057,6.073556,5.423028,5.90022,5.982351,6.144227,6.340855,6.628741,6.658452,6.598976,6.604016,6.86357,,
"Natural Gas Citygate Price in Kentucky, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.94,3.76,3.32,2.98,2.94,3.01,3.07,2.83,3.02,3.21,3.13,2.8,3.41,3.83,3.23,3.27,4.93,6.32,4.45,6.11,7.28,9.69,9.07,8.22,10.14,5.98,5.69,5.18,4.17,4.47,5.16,3.96,3.35,3.92,3.92,3.37,2.81
"Kentucky Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.83,0.88,0.93,0.99,1.1,1.23,1.32,1.79,1.94,2.35,3.03,3.49,4.46,5.3,5.2,5.31,4.93,4.53,4.48,4.68,4.93,4.87,5.01,5.25,5.46,5.05,5.54,6.37,6.03,5.72,7.41,9.54,7.52,9.17,10.97,13.09,14.14,12.05,13.84,11.97,10.02,10.44,10.19,9.8,10.62,10.87,10.14,11.62,10.56,10.85,11.19
"Kentucky Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.67,0.71,0.75,0.81,0.91,1.06,1.15,1.66,1.83,2.2,2.92,3.39,4.39,5.16,5.04,5.1,4.73,4.26,4.21,4.35,4.52,4.44,4.47,4.82,4.98,4.6,5.09,5.79,5.43,5.14,6.68,9.2,7.05,8.62,10.18,12.27,13.22,11.29,13.25,10.89,8.61,8.79,8.28,8.32,9.06,8.75,7.89,9.06,8.43,8.6,8.68
