,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Montana (Million cubic feet)",24794,25379,23787,24923,21590,24097,23525,21596,22944,22579,19296,17245,19989,16967,18443,19371,16822,15359,16900,18195,16850,18413,16673,20360,18714,19640,22175,21002,19172,19676,20116,20147,21710,20436,19907,19834,19449,19722,21585,21765,20875,21710,19069,20813,21379,18912,19100,21481,22619,23932,
"Natural gas consumed by (delivered to) the commercial sector, Montana (Million cubic feet)",18564,18109,19151,19143,16602,18654,17831,16706,17766,17396,14265,13725,15987,13534,14256,14820,12536,10989,12041,13141,12164,12846,11557,13880,12981,13489,14823,13911,12952,12088,13533,13245,14704,15119,13407,13136,13181,13223,14340,23575,20459,22336,19205,20971,21549,19502,21314,23374,26308,27790,
"Natural gas consumed by the industrial sector, Montana (Million cubic feet)",41196,42948,39116,42179,38885,33946,30841,30232,29478,25207,20142,17326,13586,13768,11924,10358,9315,9949,10354,11669,11686,11553,14089,15069,16183,20373,20504,21043,23416,24068,26419,23963,25229,24249,25021,27212,33111,32066,32655,24757,22543,22603,22776,23842,25391,25575,24647,26706,28671,27708,
"Natural gas consumed by the electric power sector, Montana (Million cubic feet)",2529,1075,1218,2322,1111,1059,709,953,909,2320,4182,2069,337,335,360,468,407,478,286,336,418,268,220,270,632,388,470,420,522,291,192,161,116,259,195,213,544,1000,513,656,705,4681,5370,7273,5662,6558,5363,4688,5129,5495,
"Residential carbon dioxide emissions, natural gas, Montana (million metric tons CO2)",,,,,,,,,,,1.033279,0.922602,1.071108,0.906155,0.982079,1.0267,0.890715,0.829329,0.917933,0.983299,0.91788,1.004999,0.904563,1.099334,1.01646,1.07323,1.211708,1.148836,1.043572,1.068986,1.092914,1.09249,1.176107,1.109468,1.083682,1.094506,1.049514,1.063733,1.163533,1.167406,1.120769,1.170271,1.037046,1.141939,1.163108,1.036409,1.047816,1.186878,1.251766,,
"Commercial carbon dioxide emissions, natural gas, Montana (million metric tons CO2)",,,,,,,,,,,0.763857,0.734304,0.856653,0.722844,0.759135,0.785504,0.663792,0.593333,0.65403,0.710163,0.662678,0.701144,0.627024,0.749425,0.70507,0.737116,0.809963,0.760939,0.705017,0.656735,0.735259,0.718228,0.79654,0.820787,0.729848,0.72486,0.711225,0.713241,0.772983,1.2645,1.098432,1.204015,1.04442,1.150587,1.17234,1.068773,1.169263,1.291505,1.455928,,
"Industrial carbon dioxide emissions, natural gas, Montana (million metric tons CO2)",,,,,,,,,,,1.078589,0.926953,0.727991,0.735312,0.634982,0.548977,0.493215,0.537199,0.562401,0.630632,0.636574,0.630578,0.764387,0.813677,0.87899,1.113341,1.120451,1.151064,1.27458,1.307582,1.435395,1.299411,1.366687,1.316495,1.362071,1.50161,1.786736,1.729594,1.760261,1.327902,1.210329,1.218393,1.238661,1.308112,1.381383,1.401598,1.352149,1.475612,1.586607,,
"Natural Gas Citygate Price in Montana, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.21,4.14,3.94,3.85,3.69,3.43,3.3,3.69,3.45,3.29,3.49,3.01,3.03,3.16,2.43,2.57,3.55,3.93,2.98,5.04,6.47,7.62,7.25,6.42,7.71,5.63,5.17,5.11,4.23,4.21,5.03,3.71,3.05,3.28,3.02,2.66,2.92
"Montana Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.91,0.93,0.97,1.09,1.12,1.3,1.36,1.82,1.89,2.21,3.05,3.75,4.45,4.62,4.86,4.81,4.45,4.41,4.3,4.37,4.59,4.52,4.8,4.92,5.23,5.15,4.86,5.05,5.25,5.16,6.03,7.26,5.3,7.08,9.19,10.7,11.26,9.91,11.45,9.5,8.64,8.8,8.05,8.19,9.11,8.21,7.27,7.62,7.32,7.09,
"Montana Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.62,0.65,0.66,0.77,0.9,1.09,1.19,1.6,1.66,1.99,3.14,4.18,4.87,5.06,5.24,5.09,4.48,4.34,4.3,4.36,4.64,4.35,4.46,4.67,4.91,4.92,4.64,4.83,5.13,5.13,5.9,7.35,5.37,7.08,9.15,10.72,11.12,9.76,11.32,9.41,8.54,8.66,7.98,8.09,8.77,8.08,7.13,7.42,7.09,6.89,
