,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",CA,664711,679109,671941,660911,653293,618011,584989,560260,515804,490306
8,"Household Income: $100,000 to $124,999",CA,1104395,1102795,1107333,1125929,1155255,1189913,1228401,1272738,1297651,1344893
9,"Household Income: $125,000 to $149,999",CA,665489,665286,694066,702554,752039,779628,805397,863160,878474,939786
10,"Household Income: $15,000 to $19,999",CA,614842,641871,624661,613266,580490,560177,526006,482569,456076,408350
11,"Household Income: $150,000 to $199,999",CA,752779,771568,794583,828664,899240,963189,1019268,1097134,1166279,1241231
12,"Household Income: $20,000 to $24,999",CA,647956,660842,644200,623813,607361,610409,581059,545801,520133,462991
13,"Household Income: $200,000 or more",CA,743938,804390,856436,970047,1036335,1147892,1308270,1441373,1614482,1802741
14,"Household Income: $25,000 to $29,999",CA,571891,575820,560192,574180,560566,535174,495728,471499,458689,433367
15,"Household Income: $30,000 to $34,999",CA,584917,595505,590116,580199,578127,568347,539507,517269,485094,464508
16,"Household Income: $35,000 to $39,999",CA,556070,539446,542578,535785,532267,509526,498105,476861,458942,441513
17,"Household Income: $40,000 to $44,999",CA,561523,546398,554131,529795,520927,524715,515009,497501,477566,451639
18,"Household Income: $45,000 to $49,999",CA,496565,502188,488326,485867,474230,476840,457955,441583,425951,413466
19,"Household Income: $50,000 to $59,999",CA,929799,914099,923272,912734,904003,910215,890403,870473,840945,832613
20,"Household Income: $60,000 to $74,999",CA,1238774,1198278,1205800,1208211,1206668,1208675,1219707,1205037,1203718,1183466
21,"Household Income: $75,000 to $99,999",CA,1530962,1488173,1500192,1511289,1541329,1578811,1574447,1602652,1601641,1645318
22,"Household Income: Less than $10,000",CA,741864,782975,794831,787348,756518,714835,699927,659187,670677,601685
23,Household Income: Total:,CA,12406475,12468743,12552658,12650592,12758648,12896357,12944178,13005097,13072122,13157873
24,Median Household Income,CA,57708.0,57287.0,58328.0,60190.0,61933.0,64500.0,67739.0,71805.0,75277.0,80440.0
