,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Wisconsin (Million cubic feet)",123233,111408,118145,112316,112952,116184,110780,103154,121335,127009,114050,124081,123405,130134,128175,136012,147893,135819,115946,127607,135095,125277,137234,142067,135169,131215,120567,131160,140576,133176,123618,129445,112554,142985,150409,126854,125449,131018,144521,151591,
"Natural gas consumed by (delivered to) the commercial sector, Wisconsin (Million cubic feet)",77107,68075,69694,68020,70230,72803,55275,57750,66939,70090,66339,71516,71314,77079,78609,84888,93816,88729,81316,81689,81139,76095,85811,87131,82187,86086,86342,89016,97137,91459,82204,87040,76949,99434,107003,90175,88679,90470,100026,101576,
"Natural gas consumed by the industrial sector, Wisconsin (Million cubic feet)",129532,129591,115882,112495,116981,115267,107274,112877,121819,127439,121896,128798,130267,134073,135106,146070,149517,155677,141980,145703,151923,132982,137706,137605,141084,130570,118396,121111,127818,119711,121408,126856,124338,136034,141661,136709,144801,154920,164613,162622,
"Natural gas consumed by the electric power sector, Wisconsin (Million cubic feet)",13739,7427,4318,3514,1942,1317,1783,2176,2739,2377,2682,2706,2885,3599,4390,9929,7373,15776,24377,21261,21222,22358,20541,24130,21291,58618,43977,54157,41135,41006,42639,47727,86975,61188,60285,100502,119613,107337,129495,148245,
