,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,IL,362701,341787,321041,334234,337334,345717,333580,342356,324594,327574
50,Year Built: 1950-1959,IL,708857,704873,690000,696082,683745,674511,686277,697553,660454,652796
51,Year Built: 1960-1969,IL,614725,615880,640531,637697,623117,629049,637818,615381,614398,616680
52,Year Built: 1970-1979,IL,757226,752385,746469,775783,769782,771526,764438,759484,793143,802435
53,Year Built: 1980-1989,IL,454400,465517,468845,470009,473429,470134,482049,469985,489922,489496
54,Year Built: 1990-1999,IL,557112,554730,576283,587470,573982,585709,576743,597871,603565,598869
55,Year Built: 2000-2009,IL,364849,357754,609496,581868,586525,597397,584332,587201,579074,569942
56,Year Built: 2010-2013,IL,250882,282537,23482,38808,57699,62738,81960,79571,77540,74917
57,Year Built: 2014 or later,IL,,,,,,14135.0,35845.0,60189.0,88075.0,118501.0
58,Year Built: before 1940,IL,1226325,1220746,1214002,1167702,1201895,1166702,1144123,1149825,1145411,1137000
