,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Louisiana (Million cubic feet)",73093,81458,68495,68304,69529,60679,58129,61377,59707,57705,53392,54593,55221,56609,52981,52603,56626,52709,47574,45104,49744,49003,49147,47330,42736,41155,33435,37150,37225,36512,45516,39412,31834,38820,44518,36858,31383,29074,37838,36019,
"Natural gas consumed by (delivered to) the commercial sector, Louisiana (Million cubic feet)",39996,39507,33729,34906,33088,30228,27985,27845,27475,27156,24937,25452,28445,25157,24184,23833,25746,25613,24042,24559,25687,24604,25540,25161,24700,25085,22240,23863,22869,23672,27009,25925,26294,28875,31277,30270,28931,28322,34848,32980,
"Natural gas consumed by the industrial sector, Louisiana (Million cubic feet)",1181644,1166071,1018906,966107,1141661,968129,1038538,1113106,1051626,1158789,1168095,1120187,1153178,1195958,1166331,1212667,1212305,1231900,1117082,1055172,1105778,946831,981801,955184,992049,920530,997780,1045879,973434,945579,1058485,1097015,1132986,1106812,1115976,1109590,1202818,1241531,1318255,1363555,
"Natural gas consumed by the electric power sector, Louisiana (Million cubic feet)",424991,415912,372632,296490,300857,285039,267862,246912,250323,262484,285802,271224,260355,244684,278817,324646,253966,279258,320034,322360,304791,243017,323804,236408,245361,285022,195927,224419,236543,222486,270528,293245,322632,267629,264668,342506,330541,279290,300919,341847,
"Total energy consumption per capita in the residential sector, Louisiana (Million Btu)",66,68.3,66.4,63.1,67.7,68,66.8,67.6,68.6,71.3,63.3,63.9,62,65.6,65.1,68.9,70.2,67.6,70.8,66.8,71.2,65.5,69.4,63.7,64.1,67.1,62.6,79.1,78.2,78.6,84.9,81,73.5,74.2,75,71.5,67.7,66.9,71.8,68.3,
"Electricity consumed by (i.e., sold to) the residential sector, Louisiana (Million kilowatthours)",16832,17601,17989,17351,19298,20168,20263,19986,20134,20515,21434,21577,21188,22430,22629,24116,24311,24502,26709,26426,27719,25800,28157,28572,28863,28654,28113,28878,28848,29747,32679,32019,30027,30709,31401,31545,30650,29532,32066,30986,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Louisiana (Kilowatthours)",3986,4109,4133,3948,4385,4575,4598,4601,4694,4824,5077,5073,4935,5196,5205,5508,5527,5542,6015,5924,6199,5762,6261,6320,6340,6261,6534,6600,6504,6623,7191,6997,6525,6638,6759,6759,6547,6319,6874,6652,
"Distillate fuel oil consumed by the residential sector, Louisiana (Billion Btu)",29,0,488,17,13,33,38,7,9,32,37,8,0,0,64,8,4,1,6,20,8,9,51,25,24,28,33,30,343,147,20,5,7,12,12,37,38,44,8,30,
"Propane consumed by the residential sector, Louisiana (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2798,2671,1712,1779,2095,1785,1679,1699,1748,1933,
"Distillate fuel oil consumed by the commercial sector, Louisiana (Billion Btu)",2323,3010,2021,12322,9753,15421,17389,6854,4793,3483,4317,3944,2659,4208,4419,1498,782,1811,1761,3202,1959,1611,2208,2067,1704,2061,2008,3537,3370,8462,5525,5711,5110,2440,2966,3150,3706,3598,3406,3229,
"Electricity consumed by (i.e., sold to) the commercial sector, Louisiana (Million kilowatthours)",12809,13707,14008,14077,16011,16548,16552,16181,16315,16562,16528,16541,16441,16884,17630,18016,18411,18888,20005,20354,21018,20315,21439,21944,22568,21692,21979,22887,22940,23301,24203,24281,24245,24254,24493,24996,24896,24500,24691,24284,
"Total energy consumption per capita in the commercial sector, Louisiana (Million Btu)",67,73.2,70.5,50.2,52.6,54.3,53.1,50.1,50.6,52.6,45.2,45.2,44.3,44.9,46.3,47,48,47.9,49.8,48.8,53,48.7,50.7,48.7,49.6,50.8,48,65.1,60.9,61.7,62,61.3,60.2,58.2,57.7,57.9,56.9,57.6,57.7,55.8,
