,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Maine (Million cubic feet)",525,559,604,603,617,725,794,748,765,726,555,573,585,541,540,525,542,528,568,638,648,722,872,901,894,913,967,1009,910,957,1037,954,1056,1211,1189,1149,985,1170,1101,1286,1234,1409,1487,1889,2357,2700,2566,2748,3079,3134,
"Natural gas consumed by (delivered to) the commercial sector, Maine (Million cubic feet)",418,468,478,432,447,506,495,500,584,658,864,1043,1192,1124,1124,1139,1214,1250,1461,1660,1678,1860,2209,2311,2381,2426,2566,2713,2456,2547,2770,2642,5167,4781,4811,4792,4701,5749,5878,5541,5830,6593,7313,8146,9030,10072,8559,8925,9586,9919,
"Natural gas consumed by the industrial sector, Maine (Million cubic feet)",356,431,454,604,553,699,745,751,766,778,747,705,840,754,781,856,708,852,1162,1374,2024,2207,2048,1753,1771,1993,2190,2525,2297,2550,12984,10929,23672,3315,16233,6500,17514,21640,25628,25923,28365,27734,30248,32308,24121,20972,18983,17698,19231,21024,
"Natural gas consumed by the electric power sector, Maine (Million cubic feet)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,194,179,126,142,132,103,50,43,53,517,27180,80044,90769,60666,63245,48647,40341,33872,36594,36746,40392,33555,28456,20904,23848,18034,22366,13761,13747,9361,
"Residential carbon dioxide emissions, natural gas, Maine (million metric tons CO2)",,,,,,,,,,,0.030136,0.031144,0.031834,0.029446,0.029553,0.02881,0.029659,0.029128,0.030932,0.033956,0.03454,0.038519,0.046902,0.048494,0.048069,0.049237,0.052102,0.054277,0.049077,0.051783,0.063403,0.05953,0.058309,0.06717,0.065684,0.06388,0.055073,0.06648,0.062289,0.071149,0.068019,0.077834,0.081177,0.103301,0.12914,0.147604,0.140176,0.151052,0.169357,,
"Commercial carbon dioxide emissions, natural gas, Maine (million metric tons CO2)",,,,,,,,,,,0.046955,0.056718,0.064835,0.061174,0.061546,0.062554,0.066427,0.068974,0.079585,0.088286,0.089454,0.099216,0.118741,0.124365,0.128132,0.130785,0.138319,0.145959,0.132482,0.137788,0.169463,0.164953,0.285551,0.265283,0.26592,0.266291,0.262843,0.32667,0.332665,0.306561,0.321258,0.36434,0.399251,0.44557,0.49486,0.550728,0.467641,0.490615,0.527277,,
"Industrial carbon dioxide emissions, natural gas, Maine (million metric tons CO2)",,,,,,,,,,,0.040588,0.03836,0.045682,0.041066,0.042764,0.047008,0.038731,0.047008,0.063297,0.073112,0.107917,0.11768,0.110093,0.094335,0.09529,0.10744,0.118051,0.135825,0.12394,0.137894,0.794205,0.682256,1.308218,0.183947,0.897135,0.361157,0.979267,1.229641,1.450463,1.434281,1.563049,1.532542,1.651283,1.767211,1.321854,1.146714,1.037152,0.9729,1.057844,,
"Natural Gas Citygate Price in Maine, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.3,4.46,3.73,3.15,3,3.23,3.06,3,3.17,3.69,2.98,3.35,4.3,3.84,3.43,4.61,5.3,6.82,4.03,7.45,9.72,11.78,9.35,10.46,13.47,8.64,8.19,8.14,7.73,7.35,10.33,8.76,6.41,6.5,8,6.51,
"Maine Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.99,2.05,2.14,2.17,2.38,2.65,2.68,3.62,3.57,4.1,6.34,7.45,8.63,9.82,9.58,9.07,8.51,8.04,7.26,7.16,7.61,6.86,6.95,7.47,7.83,7.32,7.84,8.47,8.09,7.47,9.71,12.31,11.78,12.77,14.0,16.17,17.9,16.9,17.47,16.43,14.14,14.2,15.94,15.21,16.9,16.79,13.82,14.61,16.32,16.05,
"Maine Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.44,1.5,1.63,1.7,1.88,2.12,2.65,3.23,3.27,3.61,5.12,6.13,7.32,8.9,8.61,8.0,7.48,6.98,6.25,6.3,6.72,6.02,6.19,6.76,6.97,6.51,7.09,7.7,7.23,6.65,6.06,10.77,9.55,11.39,12.3,14.38,15.66,14.82,15.87,13.94,11.71,11.69,12.22,12.79,15.13,14.16,10.63,11.33,13.01,12.62,
