State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IN,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,856676,977889,491986,1138178,741061,689839,1099619,381245,1087815,1604266,1139387,1271376,1636767,1581219,2607194,1679288,1888561,2819269
IN,Residential Total Volume (Mcf),169139518,140122093,152529387,161221098,147337782,156808777,157355777,148587482,148655454,127648515,142543054,152700814,139742623,138415179,132093942,115522426,144496148,156638761,133044630,125037853,123847368,144206680,142805818
IN,Residential Sales Volume (Mcf),169139518,139943093,150561885,158484686,144597808,154170505,152542793,143746226,143362465,122900861,137164339,145045500,130833864,130314416,125022225,109147575,137310533,149227176,127411237,119679199,118609237,138484837,137515010
IN,Residential Transported Volume (Mcf),0,179000,1967502,2736412,2739974,2638272,4812984,4841256,5292989,4747654,5378715,7655314,8908759,8100763,7071717,6374851,7185615,7411585,5633393,5358654,5238131,5721843,5290808
IN,Residential Sales Price (Dollars),6.45,6.63,6.18,6.88,9.55,8.31,8.69,9.95,12.16,14.24,12.57,12.84,11.9,10.44,10.28,9.82,9.59,9.97,9.74,9.31,10.28,9.53,9.6
IN,Residential Transported Price (Dollars),,,,,,,,,,,,2.34,2.3,1.81,2.86,3.02,2.68,2.5,2.85,2.97,3.17,3.13,4.3
IN,Residential Sales Revenue (Dollars),1077284926,918566620,908003724,1018192147,1384343371,1184640719,1433645410,1434319289,1739165315,1604230860,1548971586,1835203881,1414714579,1125138279,1183063804,975846152,1157784417,1345592861,1136727445,947726693,1060513075,1207802697,1193477623
IN,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,27006244,30757469,19926907,20175846,19240255,19275300,18507024,16061843,15908358,16616526,17905026,22753205
IN,Residential Total Customers,1509142,1531914,1578855,1604456,1613373,1657640,1644715,1588738,1707195,1661186,1677857,1678158,1662663,1669026,1707148,1673132,1681841,1693267,1704243,1720442,1735807,1751318,1769112
IN,Residential Sales Customers,1509142,1531912,1555376,1579074,1589723,1605909,1587739,1540949,1656144,1611789,1614388,1588909,1569062,1579351,1614042,1584155,1600366,1618827,1635444,1651364,1669774,1688947,1706547
IN,Residential Transported Customers,0,2,23479,25382,23650,51731,56976,47789,51051,49397,63469,89249,93601,89675,93106,88977,81475,74440,68799,69078,66033,62371,62565
IN,Commercial Total Volume (Mcf),81753044,73116816,73642720,90377715,78479441,82427372,87224771,84882514,76217459,71081327,75561606,84857637,78764341,75883283,75995257,66663265,82596021,90914550,77552070,74130635,75312315,86187546,88244959
IN,Commercial Sales Volume (Mcf),73463419,57900398,57675451,70456747,60489651,64583636,69610030,66343689,62555607,56471191,58996103,66089533,58185767,55141470,53343345,44904793,56297582,61477511,51980473,49160146,49747427,57384133,58538507
IN,Commercial Transported Volume (Mcf),8289625,15216418,15967269,19920968,17989790,17843736,17614741,18538825,13661852,14610136,16565503,18768104,20578574,20741813,22651912,21758472,26298439,29437039,25571597,24970489,25564888,28803413,29706452
IN,Commercial Sales Price (Dollars),5.7,5.88,5.36,6.07,8.57,7.54,8.13,9.37,11.42,12.97,11.62,11.89,10.49,9.13,8.85,8.27,8.16,8.54,8.09,7.51,8.46,8.12,7.88
IN,Commercial Transported Price (Dollars),,,,,,,,,,,,1.48,1.57,1.55,1.69,1.93,1.7,1.62,1.77,1.85,1.97,1.85,1.86
IN,Commercial Sales Revenue (Dollars),399532820,318688759,297919093,404140533,522438986,440950310,586070054,567927350,695874526,651137919,601546744,736000727,534386958,416157936,428917174,345427838,427127381,503545775,395568517,322204472,374247253,422761343,408220370
IN,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,33597442,38381057,30802058,29923722,29574419,33928727,36507246,34452429,34910835,37686962,41644564,49957996
IN,Commercial Total Customers,140515,141307,145631,148411,148830,150092,151586,151943,159649,154322,155885,157223,155615,156557,161293,158213,158965,159596,160051,161139,161941,162938,163288
IN,Commercial Sales Customers,140312,140919,141433,143398,143787,144860,144878,143393,147672,141695,141817,141446,138692,139058,143227,139676,139589,140196,141013,141679,142540,143793,145034
IN,Commercial Transported Customers,203,388,4198,5013,5043,5232,6708,8550,11977,12627,14068,15777,16923,17499,18066,18537,19376,19400,19038,19460,19401,19145,18254
IN,Industrial Total Volume (Mcf),289984585,286000724,310704236,298533392,250765612,258453720,248665845,262882078,264019917,263807406,272551253,272208354,244974865,289313957,326573218,344677872,356689753,375787859,372537320,370943677,379118205,419146401,426408105
IN,Industrial Sales Volume (Mcf),46363180,26811823,18091070,30714247,19383228,21556115,22502067,21738276,20948546,18873043,20245861,18276695,17251128,15706641,11517958,6419648,7228027,7911919,7191042,6484506,6197160,6721142,6304011
IN,Industrial Transported Volume (Mcf),243621405,259188901,292613166,267819145,231382384,236897605,226163778,241143802,243071371,244934363,252305392,253931659,227723737,273607316,315055260,338258224,349461726,367875940,365346278,364459171,372921045,412425259,420104094
IN,Industrial Sales Price (Dollars),4.67,4.7,4.41,5.55,7.98,6.43,7.53,8.63,10.42,11.75,10.43,11.17,8.97,8.09,7.72,6.92,7.4,7.78,7.2,6.49,7.68,6.72,6.41
IN,Industrial Transported Price (Dollars),,,,,,,,,,,,0.55,0.61,0.58,1.34,1.13,0.9,0.82,1.18,1.29,1.19,1.13,1.15
IN,Industrial Sales Revenue (Dollars),200311552,114860947,75306856,153418952,157740762,121345879,187636493,173646573,210713820,176758545,170976224,191465402,119199673,88808776,75155392,39761407,47270252,57894812,45763342,32328994,37126299,41020177,36336622
IN,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,75803861,73001840,77989399,79149275,79474333,83844239,89418341,91852501,99297776,102540751,108541067,120820260
IN,Industrial Total Customers,6914,10399,10473,10866,9778,10139,8913,5368,5823,5350,5427,5294,5190,5145,5338,5204,5178,5098,5095,5064,5015,4904,4715
IN,Industrial Sales Customers,6496,6194,4848,5638,5239,5114,4307,4059,4011,3435,3218,3051,2870,2858,2893,2719,2688,2617,2588,2496,2457,2446,2432
IN,Industrial Transported Customers,418,4205,5625,5228,4539,5025,4606,1309,1812,1915,2209,2243,2320,2287,2445,2485,2490,2481,2507,2568,2558,2458,2283
IN,Electric Total Volume (Mcf),8919455,9764494,19644379,20057963,19520530,26067666,20109402,22063915,28889225,17571347,21207461,12560725,14266230,30394985,51629915,77861739,45762665,48370658,79227033,102726873,92718126,133181982,149797473
IN,Electric Sales Volume (Mcf),856640,502433,551396,269028,244796,220753,472403,214144,2581,1613,1330,1790,1692,2408,2928,131641,88807,56561,23304,115678,58326,72872,56252
IN,Electric Transported Volume (Mcf),8062815,9262061,19092983,19788935,19275734,25846913,19636999,21849771,28886644,17569734,21206131,12558935,14264538,30392577,51626987,77730098,45673858,48314097,79203729,102611195,92659800,133109110,149741221
IN,Electric Sales Price (Dollars),3.38,3.65,3.43,4.82,6.22,3.77,5.48,7.32,11.22,13.79,10.67,12.85,10.94,7.43,6.68,4.89,6.15,7.0,5.63,5.0,6.48,6.32,5.97
IN,Electric Transported Price (Dollars),,,,,,,,,,,,0.4,0.49,0.38,0.59,0.44,0.51,0.4,0.42,0.4,0.47,0.45,0.5
