,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Indiana (Million cubic feet)",158699,162747,169267,155039,158130,162858,152860,151637,168468,173147,163665,159003,160066,145255,151568,146251,140135,139048,153609,155934,140492,146446,152692,163944,157467,161059,179939,169140,140122,151529,161221,147338,156809,157356,148587,148655,127649,142543,152701,139743,138415,132094,115522,144496,156639,133045,125038,123847,144207,142806,
"Natural gas consumed by (delivered to) the commercial sector, Indiana (Million cubic feet)",77550,77984,85302,76835,75887,70501,67481,63224,70083,74231,70048,71178,71900,65409,71819,69641,64821,64903,71709,73625,67223,68383,72720,78047,75819,82726,87456,81753,73117,73643,90378,78479,82427,87225,84883,76217,71081,75562,84858,78764,75883,75995,66663,82596,90915,77552,74131,75312,86188,88245,
"Natural gas consumed by the industrial sector, Indiana (Million cubic feet)",268458,282459,291190,287484,271377,223383,196677,177577,194391,244182,244736,252231,224453,207715,221384,211126,183280,201402,218781,219962,228139,227774,245528,263288,270017,275381,288898,290110,287305,311722,298556,250792,259110,248704,262956,264117,263915,272652,272369,245186,289597,327006,345184,357196,376138,372999,371319,379468,419456,426717,
"Natural gas consumed by the electric power sector, Indiana (Million cubic feet)",29507,31440,17964,10246,13958,10994,3157,1067,3143,2774,1904,5309,2705,2877,1451,1117,1086,1315,3455,4075,6632,10043,7772,5667,9009,8349,4355,4661,13678,12515,14513,17777,35104,26672,22946,35376,27213,37871,34312,36576,61242,85298,115328,81013,82361,127964,174685,132684,196219,222085,
"Residential carbon dioxide emissions, natural gas, Indiana (million metric tons CO2)",,,,,,,,,,,8.587487,8.376268,8.629136,7.753224,8.098039,7.82172,7.502107,7.443903,8.27302,8.406617,7.589915,7.880878,8.191684,8.811386,8.461742,8.646698,9.651326,9.072,7.560893,8.184203,8.769577,8.006092,8.376162,9.104312,7.952239,8.029278,6.888506,7.733646,8.206487,7.526937,7.435043,7.093623,6.203863,7.776781,8.457073,7.223241,6.871687,6.836617,8.002484,,
"Commercial carbon dioxide emissions, natural gas, Indiana (million metric tons CO2)",,,,,,,,,,,3.675394,3.749674,3.876108,3.491288,3.837164,3.724525,3.470171,3.474575,3.862101,3.969222,3.631623,3.679957,3.901257,4.194766,4.074274,4.441267,4.690846,4.384921,3.945347,3.977499,4.916072,4.264483,4.402961,5.046697,4.542818,4.11672,3.835891,4.099583,4.560433,4.242411,4.076078,4.081013,3.579999,4.445353,4.908591,4.210418,4.074009,4.157414,4.782846,,
"Industrial carbon dioxide emissions, natural gas, Indiana (million metric tons CO2)",,,,,,,,,,,12.841252,13.287512,12.10021,11.087146,11.828241,11.291361,9.811822,10.782017,11.78309,11.858483,12.324958,12.257523,13.172166,14.150797,14.509884,14.78424,15.495518,15.560353,15.502734,16.836313,16.239903,13.627658,13.840733,14.389605,14.073069,14.265664,14.242054,14.792676,14.637698,13.206335,15.555896,17.560642,18.537363,19.22434,20.308076,20.250775,20.406443,20.947515,23.276278,,
"Natural Gas Citygate Price in Indiana, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.69,3.58,3.34,3.12,3.13,3.13,3.15,3.05,3.08,3.18,2.98,2.84,3.09,3.03,2.45,2.46,4.03,4.5,3.58,6.19,6.78,8.83,8.31,7.83,8.94,5.59,5.52,4.97,4.23,4.38,5.63,4.03,3.58,3.85,3.87,3.43,2.99
"Indiana Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.01,1.08,1.14,1.2,1.28,1.45,1.69,2.02,2.17,2.65,3.15,3.6,4.38,5.49,5.69,5.54,5.52,4.95,5.16,5.5,5.38,5.46,5.43,5.76,6.24,5.37,5.54,6.37,6.56,6.03,6.42,9.57,7.68,9.4,9.98,12.13,13.05,11.29,12.65,10.81,8.63,9.46,8.94,8.43,9.02,8.92,7.92,8.94,8.72,8.68,8.57
"Indiana Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.83,0.88,0.93,0.98,1.06,1.24,1.5,1.84,2.01,2.46,2.95,3.38,4.17,5.17,5.23,5.04,4.94,4.45,4.6,4.78,4.61,4.61,4.57,4.99,5.33,4.38,4.67,5.44,5.5,5.17,5.74,8.64,6.83,8.42,8.56,11.12,11.53,10.2,11.14,9.18,7.55,8.04,7.69,7.59,8.19,7.61,6.55,7.52,7.37,6.97,6.86
