,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,SD,20330,19134,19281,20947,18637,17784,16243,16276,16705,16930
50,Year Built: 1950-1959,SD,33108,35745,33572,34004,34459,34863,34833,35292,35530,35015
51,Year Built: 1960-1969,SD,33203,32754,32506,33007,31935,31348,33165,32865,31466,33113
52,Year Built: 1970-1979,SD,62546,63935,65360,63014,62652,62437,62724,63823,64588,61989
53,Year Built: 1980-1989,SD,37925,35621,38775,37720,39627,39531,36735,37007,38250,40131
54,Year Built: 1990-1999,SD,49354,48385,44902,49350,48430,49673,46870,47296,52880,51759
55,Year Built: 2000-2009,SD,31114,30766,57439,54907,59211,58418,59104,56250,53469,54788
56,Year Built: 2010-2013,SD,24999,29976,6243,9984,11055,14163,16254,19197,17695,15301
57,Year Built: 2014 or later,SD,,,,,,2673.0,9087.0,13936.0,17268.0,25327.0
58,Year Built: before 1940,SD,71452,70205,70169,67274,70341,69417,68812,70708,69655,67396
