,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Virginia (Million cubic feet)",49554,49488,55427,51618,48160,48802,52491,48953,54250,50999,54825,50997,48253,47318,51439,48752,51517,55421,58539,61712,51438,54199,62431,65472,65176,68712,76214,73905,63186,69189,79701,70249,75476,85330,82755,85355,71693,80957,79725,84445,88157,79301,70438,85702,92817,85464,77170,76904,89036,81831,
"Natural gas consumed by (delivered to) the commercial sector, Virginia (Million cubic feet)",30090,34672,34176,37632,35281,32358,34887,34685,43064,33946,38467,35255,38157,38457,34825,33975,35453,39401,42013,44181,41038,44077,50757,52880,52944,56948,59262,61895,58283,61516,66098,59809,62699,64004,64518,65838,62352,66444,67006,67709,68911,64282,60217,68126,72165,69107,67553,68162,74282,71245,
"Natural gas consumed by the industrial sector, Virginia (Million cubic feet)",44824,48496,53271,53598,51298,36595,32942,30300,33152,41543,54643,52592,50591,46630,47612,50777,48345,56003,53643,58186,75150,60289,69461,74069,86865,98795,85540,86594,94044,96660,78083,66872,76973,71198,75557,76490,74229,74879,67048,63184,68364,73353,79894,84406,87938,94514,95329,100604,103271,106788,
"Natural gas consumed by the electric power sector, Virginia (Million cubic feet)",4276,4205,4510,4172,4689,496,484,1362,995,3557,2285,2180,3020,3330,3152,1528,847,1724,1096,3796,9773,15912,23799,40268,40647,44957,31519,19038,37808,41230,36700,33118,34936,35256,48784,66951,60321,90573,76983,94829,139755,142284,189848,171588,159155,243176,294524,311435,357021,409423,
"Residential carbon dioxide emissions, natural gas, Virginia (million metric tons CO2)",,,,,,,,,,,2.951595,2.767807,2.626464,2.584921,2.827124,2.687479,2.842458,3.05808,3.232955,3.408572,2.845535,2.997914,3.442476,3.635708,3.594377,3.757632,4.202512,4.092685,3.499352,3.809416,4.375053,3.869317,4.14675,4.696205,4.525309,4.720027,3.938078,4.454797,4.387786,4.638532,4.796641,4.317698,3.868149,4.714722,5.169099,4.751649,4.300455,4.305442,4.996399,,
"Commercial carbon dioxide emissions, natural gas, Virginia (million metric tons CO2)",,,,,,,,,,,2.070961,1.913436,2.076903,2.100832,1.914019,1.8729,1.956093,2.174103,2.320274,2.440288,2.270189,2.438007,2.798792,2.936421,2.919761,3.114267,3.26776,3.427567,3.227808,3.386925,3.628333,3.294288,3.444757,3.522485,3.528056,3.640748,3.42502,3.656241,3.68781,3.719219,3.749462,3.499989,3.306863,3.747817,4.018989,3.842205,3.76453,3.816048,4.16845,,
"Industrial carbon dioxide emissions, natural gas, Virginia (million metric tons CO2)",,,,,,,,,,,2.941833,2.854343,2.753694,2.547304,2.616808,2.799111,2.667424,3.090232,2.962578,3.213801,4.157308,3.334771,3.830161,4.113059,4.790486,5.402707,4.716738,4.795368,5.208308,5.321902,4.286236,3.683353,4.228988,3.918447,4.131682,4.229784,4.077405,4.120381,3.690091,3.470649,3.719697,3.993894,4.387415,4.643413,4.897396,5.254785,5.312405,5.632284,5.784238,,
"Natural Gas Citygate Price in Virginia, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.33,4.22,3.54,3,2.87,3.13,3.09,2.76,2.91,3.33,3.44,2.92,3.89,4.14,3.74,3.81,5.34,6.76,6.75,6.57,7.61,10.12,10.51,9.27,10.61,8.2,6.88,6.64,5.64,5.54,5.98,4.87,3.99,4.53,4.69,4.52,
"Virginia Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.49,1.52,1.6,1.68,1.87,2.24,2.54,3.03,3.27,3.72,4.26,4.66,6.02,7.03,6.99,7.02,6.49,5.86,5.81,6.59,6.75,6.8,6.69,7.51,7.63,7.18,7.94,8.6,8.57,8.61,9.98,11.96,9.78,11.84,13.04,15.15,16.2,15.42,16.19,13.83,12.73,12.72,12.42,11.68,12.07,11.64,10.88,12.34,11.71,12.62,
"Virginia Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.96,1.0,1.1,1.13,1.3,1.72,1.9,2.43,2.64,3.13,3.77,4.18,5.37,6.24,6.1,5.98,5.27,4.64,4.45,4.93,4.93,4.85,4.97,5.6,5.67,5.08,5.93,6.45,6.12,5.99,7.57,9.36,7.2,9.47,10.13,11.85,12.46,11.99,12.81,10.31,9.55,9.69,8.77,8.83,9.17,8.13,7.23,7.99,8.08,8.53,
