,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,GA,5.8,5.7,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9
26,Number of Rooms: 1,GA,53278,46697,46156,48571,51597,67499,61278,55647,57249,62930
27,Number of Rooms: 2,GA,53084,53167,48052,49866,49135,54875,61349,62289,71005,76668
28,Number of Rooms: 3,GA,260803,260601,246931,248502,259516,241559,258055,266556,283706,274848
29,Number of Rooms: 4,GA,602061,609711,614641,590547,586287,607124,598110,621419,590322,616835
30,Number of Rooms: 5,GA,862035,893195,863610,871252,880059,870593,870652,846522,839892,855735
31,Number of Rooms: 6,GA,816949,793810,798348,793534,819754,809891,801258,816628,803442,810236
32,Number of Rooms: 7,GA,549395,548985,548967,557212,549711,562081,551998,566420,593430,590175
33,Number of Rooms: 8,GA,380192,390696,397299,399507,394875,396236,411894,421802,431063,447428
34,Number of Rooms: 9+,GA,513685,506256,543550,551171,560453,572370,604509,624971,656157,643495
