,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",IL,234469,237363,234810,223964,217931,205213,207545,195408,187148,178230
8,"Household Income: $100,000 to $124,999",IL,393139,384350,405225,409531,425539,433367,453179,451768,465929,485409
9,"Household Income: $125,000 to $149,999",IL,222094,220804,239059,249604,249505,270077,273401,290602,297668,335706
10,"Household Income: $15,000 to $19,999",IL,255667,260311,248739,238044,229643,229195,218520,211286,196778,183540
11,"Household Income: $150,000 to $199,999",IL,219026,230168,243339,253674,277476,292932,312819,330380,352091,379693
12,"Household Income: $20,000 to $24,999",IL,266349,263445,247042,237280,241668,238884,230530,218293,230715,206595
13,"Household Income: $200,000 or more",IL,207576,225707,242221,268450,276936,308653,328787,358768,402147,439052
14,"Household Income: $25,000 to $29,999",IL,237907,234582,224888,228093,211183,213253,204542,193876,199822,189948
15,"Household Income: $30,000 to $34,999",IL,245988,236853,236972,235686,230830,224178,221396,209919,212845,197382
16,"Household Income: $35,000 to $39,999",IL,228181,217764,218279,214638,208320,209724,205960,196505,191290,186475
17,"Household Income: $40,000 to $44,999",IL,228518,214391,216011,218103,209869,212401,207969,191460,198978,197027
18,"Household Income: $45,000 to $49,999",IL,200682,195356,194922,188420,192362,183019,179736,181499,174986,170536
19,"Household Income: $50,000 to $59,999",IL,382011,381477,367552,358570,372299,365235,357549,361495,348760,338947
20,"Household Income: $60,000 to $74,999",IL,490761,491894,485060,495482,477689,474218,466236,477448,488167,465073
21,"Household Income: $75,000 to $99,999",IL,600787,584822,610396,595442,604874,607475,616501,618164,607741,622878
22,"Household Income: Less than $10,000",IL,339702,357921,355679,368440,346297,326699,337376,321801,309799,289515
23,Household Income: Total:,IL,4752857,4737208,4770194,4783421,4772421,4794523,4822046,4808672,4864864,4866006
24,Median Household Income,IL,52972.0,53234.0,55137.0,56210.0,57444.0,59588.0,60960.0,62992.0,65030.0,69187.0
