Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CPIAUCSL,38.84,40.48,41.81,44.43,49.32,53.83,56.93,60.62,65.24,72.58,82.38,90.93,96.53,99.58,103.93,107.60,109.69,113.62,118.28,123.94,130.66,136.17,140.31,144.48,148.23,152.38,156.86,160.53,163.01,166.58,172.19,177.04,179.87,184.00,188.91,195.27,201.56,207.34,215.25,214.56,218.08,224.92,229.59,232.95,236.72,237.00,240.01,245.14,251.10,255.65,258.84
Inflation Adjustment,6.66,6.39,6.19,5.83,5.25,4.81,4.55,4.27,3.97,3.57,3.14,2.85,2.68,2.60,2.49,2.41,2.36,2.28,2.19,2.09,1.98,1.90,1.84,1.79,1.75,1.70,1.65,1.61,1.59,1.55,1.50,1.46,1.44,1.41,1.37,1.33,1.28,1.25,1.20,1.21,1.19,1.15,1.13,1.11,1.09,1.09,1.08,1.06,1.03,1.01,1.00
