,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,KY,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6
26,Number of Rooms: 1,KY,27325,25686,21894,26088,25613,26948,28624,27996,25711,31280
27,Number of Rooms: 2,KY,25750,29838,32484,33280,31148,30747,33127,31117,35262,36225
28,Number of Rooms: 3,KY,130931,136492,133391,130223,141242,134874,132757,137685,138944,151845
29,Number of Rooms: 4,KY,320655,323173,321167,314274,331544,333801,331242,324743,325878,319336
30,Number of Rooms: 5,KY,449594,445578,451273,446632,439621,444925,438938,448697,437353,441031
31,Number of Rooms: 6,KY,370012,373062,365944,369034,364511,358334,379171,365691,373110,358829
32,Number of Rooms: 7,KY,245001,234052,243489,239558,241311,243002,237116,247871,251360,252729
33,Number of Rooms: 8,KY,159012,160754,158770,163863,163261,161354,164617,167451,164828,172967
34,Number of Rooms: 9+,KY,200337,204096,208909,213682,212253,223148,219985,232984,242741,242093
