,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,KY,2.56,2.6,2.56,2.57,2.57,2.54,2.57,2.59,2.56,2.56
1,Avg household size of renter-occupied unit,KY,2.4,2.4,2.36,2.37,2.38,2.42,2.39,2.34,2.39,2.32
2,House Heating Fuel: Electric,KY,835138,824169,860605,868659,883857,889890,898114,901970,911907,921242
3,House Heating Fuel: Fuel Oil,KY,20121,20656,15485,15839,15956,15589,14744,14545,14000,12525
4,House Heating Fuel: Gas,KY,655820,653976,655998,645906,638201,643384,639630,643422,636965,644977
5,House Heating Fuel: Propane,KY,111306,111448,113175,108051,106636,104751,105573,100860,110523,108053
6,House Heating Fuel: Wood,KY,49069,48585,49406,51434,52310,46453,43963,47810,43532,48551
25,Median Number of Rooms,KY,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6
26,Number of Rooms: 1,KY,27325,25686,21894,26088,25613,26948,28624,27996,25711,31280
27,Number of Rooms: 2,KY,25750,29838,32484,33280,31148,30747,33127,31117,35262,36225
28,Number of Rooms: 3,KY,130931,136492,133391,130223,141242,134874,132757,137685,138944,151845
29,Number of Rooms: 4,KY,320655,323173,321167,314274,331544,333801,331242,324743,325878,319336
30,Number of Rooms: 5,KY,449594,445578,451273,446632,439621,444925,438938,448697,437353,441031
31,Number of Rooms: 6,KY,370012,373062,365944,369034,364511,358334,379171,365691,373110,358829
32,Number of Rooms: 7,KY,245001,234052,243489,239558,241311,243002,237116,247871,251360,252729
33,Number of Rooms: 8,KY,159012,160754,158770,163863,163261,161354,164617,167451,164828,172967
34,Number of Rooms: 9+,KY,200337,204096,208909,213682,212253,223148,219985,232984,242741,242093
35,Owner-Occupied,KY,2955387,2995477,2923784,2949043,2902525,2896552,2947165,2967598,2989018,2998254
36,Renter-Occupied,KY,1265009,1248000,1330764,1320113,1380585,1399702,1358561,1354608,1347687,1336752
37,Total Housing Units,KY,1928617,1932731,1937321,1936634,1950504,1957133,1965577,1984235,1995187,2006335
38,Total Population,KY,4346266,4369356,4380415,4395295,4413457,4425092,4436974,4454189,4468402,4467673
39,Units in Structure: 1 ATTACHED,KY,46103,45199,45770,51400,44988,46235,48557,50945,52109,51886
40,Units in Structure: 1 DETACHED,KY,1293874,1289031,1296936,1311039,1304912,1306448,1316580,1332478,1347492,1347772
41,Units in Structure: 10-19,KY,62842,59391,63470,63079,67984,64329,67004,65932,66369,72310
42,Units in Structure: 2,KY,57819,62195,60513,59051,58963,58039,58290,66135,56690,59374
43,Units in Structure: 20-49,KY,29853,32745,30499,29409,32235,27886,26925,32269,31370,33035
44,Units in Structure: 3-4,KY,76320,83510,76137,75367,81875,82273,86281,87231,87141,83300
45,Units in Structure: 5-9,KY,87630,85646,90224,92962,95076,96894,91670,83807,85832,93307
46,Units in Structure: 50+,KY,29559,29634,28598,27337,29012,31143,30102,31846,31232,35584
47,"Units in Structure: Boat,RV,Van,Etc.",KY,1227,774,707,1221,1230,1579,597,1611,957,1231
48,Units in Structure: Mobile Home,KY,243390,244606,244467,225769,234229,242307,239571,231981,235995,228536
49,Year Built: 1940-1949,KY,92081,92398,97636,92055,99485,91366,84984,87021,87219,86873
50,Year Built: 1950-1959,KY,179288,187839,190975,183232,191477,176746,183281,172037,185416,185867
51,Year Built: 1960-1969,KY,225892,220624,211469,216649,214449,207286,221091,220736,211287,221059
52,Year Built: 1970-1979,KY,325050,321024,326371,322174,330422,340821,323331,321483,318340,320150
53,Year Built: 1980-1989,KY,257682,260597,248938,248909,247385,254644,245440,256520,243435,249863
54,Year Built: 1990-1999,KY,343568,322450,340593,332953,336398,329717,334286,333772,346588,333236
55,Year Built: 2000-2009,KY,170788,178597,300168,299877,293569,300247,299411,292182,282200,270350
56,Year Built: 2010-2013,KY,113184,136228,18702,33339,45191,52088,57057,60669,56831,56441
57,Year Built: 2014 or later,KY,,,,,,7115.0,23407.0,47203.0,65821.0,83060.0
58,Year Built: before 1940,KY,221084,212974,202469,207446,192128,197103,193289,192612,198050,199436
