,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,KY,92081,92398,97636,92055,99485,91366,84984,87021,87219,86873
50,Year Built: 1950-1959,KY,179288,187839,190975,183232,191477,176746,183281,172037,185416,185867
51,Year Built: 1960-1969,KY,225892,220624,211469,216649,214449,207286,221091,220736,211287,221059
52,Year Built: 1970-1979,KY,325050,321024,326371,322174,330422,340821,323331,321483,318340,320150
53,Year Built: 1980-1989,KY,257682,260597,248938,248909,247385,254644,245440,256520,243435,249863
54,Year Built: 1990-1999,KY,343568,322450,340593,332953,336398,329717,334286,333772,346588,333236
55,Year Built: 2000-2009,KY,170788,178597,300168,299877,293569,300247,299411,292182,282200,270350
56,Year Built: 2010-2013,KY,113184,136228,18702,33339,45191,52088,57057,60669,56831,56441
57,Year Built: 2014 or later,KY,,,,,,7115.0,23407.0,47203.0,65821.0,83060.0
58,Year Built: before 1940,KY,221084,212974,202469,207446,192128,197103,193289,192612,198050,199436
