,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Alabama, Annual (Dollars per Thousand Cubic Feet)",4.5,6.63,4.74,6.06,6.65,8.47,10.26,8.78,9.84,7.61,6.46,5.8,5.18,4.65,4.93,3.91,3.44,3.8,3.87,3.56
"Alabama Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63
"Alabama Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87
"Electricity price in the residential sector, Alabama (Dollars per million Btu)",20.67,20.56,20.88,21.67,22.34,23.44,25.65,27.33,30.48,31.24,31.27,32.52,33.4,33.0,33.66,34.28,35.14,36.77,35.68,36.72
"Electricity price in the commercial sector, Alabama (Dollars per million Btu)",19.34,19.22,19.54,20.09,20.86,21.97,23.96,25.51,28.92,29.46,29.83,30.7,31.17,30.82,31.62,31.75,32.57,33.99,32.94,33.75
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.0309208184531378,4.5913345824222676,3.3348702342628482,4.3615369270065285,4.913841026704166,6.46936077417437,8.089031147688468,7.120903412046798,8.285055759173567,6.386937176563546,5.510480847085698,5.1028284432414255,4.65183463522822,4.23709794135019,4.564800530406449,3.6247484676495096,3.2294445987334393,3.643676389481054,3.80110829913985,3.56
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),6.189813849240964,8.351658380695708,7.4084775457358205,8.50715618435927,9.857238991914821,12.083268883995103,14.822006391475947,14.71220818844293,15.40818296675572,15.20779259386747,13.469116497752813,13.267353952427706,14.548208704767791,14.096323688749987,13.536994676377747,13.099154948308842,13.199416005288418,15.456858789061737,14.949061579562924,15.63
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),5.179506909756585,7.202093462623165,6.303889725526397,7.2548337003672945,8.06165497764548,10.425829346809934,12.480444743460863,12.214214736380955,13.118004952024815,12.538875350572846,11.379228250793068,10.874303372148967,11.279351934066883,11.253367650682762,11.09255788119052,10.364370298803458,10.007523087935601,11.544700981408393,11.678340484954216,11.87
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),13.922029626094748,14.237984768416563,14.690314449664191,15.59645300465866,16.507550155875347,17.903402189686805,20.22257786922117,22.1656367028746,25.663465400366903,26.219174427837732,26.673798156094392,28.6110312024502,29.994454983903967,30.069727325711025,31.166569138637136,31.77912467289647,32.98915209287589,35.25736337926799,35.04484344013174,36.72
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),13.02622413975193,13.31002272611704,13.747545227319842,14.459286611148706,15.41394343113517,16.780620567722654,18.890174103178918,20.6895496630198,24.349980950741827,24.72525219731433,25.445455676248663,27.009798828881337,27.991831193062477,28.083302914497388,29.277686160537918,29.43369919382914,30.576456564170964,32.591726441700274,32.35361947639965,33.75
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
