,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
47,IA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,979.463,21549.21,1830.85,2012.65,162.23,18.59
48,IA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,1256.428,32323.7,1996.55,1642.38,122.64,11.64
49,IA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,5595.596,55745.1,2065.89,1647.17,100.36,6.84
50,IA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,6239.283,114924.86,2224.85,1693.69,98.96,3.5000000000000004
51,IA,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,976.117,10664.43,1910.4,330.17,41.19,21.4
52,IA,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,1041.472,24079.76,1909.82,314.73,2.3,9.25
53,IA,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,1358.194,34382.2,1950.08,391.62,1.6,6.819999999999999
54,IA,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,5735.324,55302.91,1853.74,314.71,13.72,3.95
55,IA,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,6449.467,118309.47,2036.81,309.38,15.59,2.0
56,IA,OWNER,1940-59,1 DETACHED,OTHER,0-100%,22.185,8532.09,1251.68,0.0,276.24,17.91
57,IA,OWNER,1940-59,1 DETACHED,OTHER,100-150%,29.79,13959.9,821.47,342.18,497.56,11.899999999999999
58,IA,OWNER,1940-59,1 DETACHED,OTHER,150-200%,47.909,25095.15,1628.16,1026.06,168.66,11.25
59,IA,OWNER,1940-59,1 DETACHED,OTHER,200-400%,263.199,47780.18,1848.98,581.41,318.69,5.75
60,IA,OWNER,1940-59,1 DETACHED,OTHER,400%+,252.45,117539.51,2028.34,383.51,74.16,2.12
61,IA,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,1.897,0.0,0.0,0.0,0.0,
62,IA,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,0.888,0.0,0.0,0.0,0.0,
63,IA,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,0.473,0.0,0.0,0.0,0.0,
64,IA,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,8.659,52575.49,1889.93,0.0,0.0,3.5900000000000003
65,IA,OWNER,1940-59,1 DETACHED,SOLAR,400%+,6.193,51091.74,1828.98,0.0,0.0,3.58
66,IA,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,6650.057,10091.35,1189.55,760.37,32.78,19.650000000000002
67,IA,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,7478.955,21172.14,1217.51,835.22,18.64,9.78
68,IA,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,10325.74,31750.89,1184.91,773.67,24.76,6.25
69,IA,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,42318.441,53771.51,1256.03,780.15,15.3,3.82
70,IA,OWNER,1940-59,1 DETACHED,UTILITY GAS,400%+,44310.171,109319.59,1238.93,819.81,9.26,1.8900000000000001
71,IA,OWNER,1940-59,1 DETACHED,WOOD,0-100%,142.973,3731.6,970.11,1379.96,182.8,67.88
72,IA,OWNER,1940-59,1 DETACHED,WOOD,100-150%,108.645,26261.76,1989.1,464.11,80.19,9.65
73,IA,OWNER,1940-59,1 DETACHED,WOOD,150-200%,134.07,35629.39,2057.68,457.87,289.85,7.870000000000001
74,IA,OWNER,1940-59,1 DETACHED,WOOD,200-400%,556.124,56857.47,2226.18,208.35,149.79,4.55
75,IA,OWNER,1940-59,1 DETACHED,WOOD,400%+,409.678,120591.64,2260.74,396.58,145.89,2.32
76,IA,OWNER,1940-59,1 DETACHED,COAL,0-100%,3.463,0.0,0.0,0.0,0.0,
77,IA,OWNER,1940-59,1 DETACHED,COAL,100-150%,1.446,0.0,0.0,0.0,0.0,
78,IA,OWNER,1940-59,1 DETACHED,COAL,150-200%,1.239,0.0,0.0,0.0,0.0,
79,IA,OWNER,1940-59,1 DETACHED,COAL,200-400%,19.263,30576.52,989.11,287.45,0.0,4.17
80,IA,OWNER,1940-59,1 DETACHED,COAL,400%+,3.47,18031.39,583.3,169.51,0.0,4.17
81,IA,OWNER,1940-59,1 DETACHED,NONE,0-100%,16.178,5003.15,1658.92,3368.51,0.0,100.49
82,IA,OWNER,1940-59,1 DETACHED,NONE,100-150%,1.674,0.0,0.0,0.0,0.0,
83,IA,OWNER,1940-59,1 DETACHED,NONE,150-200%,29.51,17862.67,863.24,211.06,0.0,6.01
84,IA,OWNER,1940-59,1 DETACHED,NONE,200-400%,99.887,65049.62,1405.78,549.87,0.0,3.01
85,IA,OWNER,1940-59,1 DETACHED,NONE,400%+,143.921,156671.71,2050.86,606.01,0.0,1.7000000000000002
86,IA,OWNER,1940-59,1 DETACHED,FUEL OIL,0-100%,101.729,8817.5,2357.0,439.33,393.09,36.17
87,IA,OWNER,1940-59,1 DETACHED,FUEL OIL,100-150%,103.471,17415.35,1929.8,65.59,395.29,13.73
88,IA,OWNER,1940-59,1 DETACHED,FUEL OIL,150-200%,56.426,21093.9,1194.88,187.28,499.3,8.92
89,IA,OWNER,1940-59,1 DETACHED,FUEL OIL,200-400%,247.821,43483.59,2129.23,294.23,570.5,6.890000000000001
90,IA,OWNER,1940-59,1 DETACHED,FUEL OIL,400%+,353.053,98864.54,2120.9,323.26,842.06,3.32
91,IA,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,0-100%,1.759,0.0,0.0,0.0,0.0,
92,IA,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,100-150%,8.073,18138.95,1050.93,3667.9,522.17,28.89
93,IA,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,150-200%,3.099,14843.74,705.82,4685.24,532.09,39.900000000000006
94,IA,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,200-400%,18.725,34202.0,1225.95,3743.05,0.0,14.530000000000001
95,IA,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,400%+,1.104,0.0,0.0,0.0,0.0,
96,IA,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,0-100%,8.813,3376.09,1238.05,0.0,0.0,36.67
97,IA,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,100-150%,5.969,3525.55,1133.19,0.0,0.0,32.14
98,IA,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,150-200%,5.743,1869.47,110.94,0.0,0.0,5.93
99,IA,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,200-400%,13.344,12241.05,626.5,67.1,0.0,5.67
