,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
74,OK,Canadian,All Sectors,Ammonia,CAP,5433.524385651987,TON
75,OK,Canadian,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
76,OK,Canadian,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
77,OK,Canadian,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
78,OK,Canadian,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
79,OK,Canadian,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
80,OK,Canadian,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
81,OK,Canadian,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
82,OK,Canadian,All Sectors,Methane,GHG,636.0980759670491,TON
83,OK,Canadian,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
84,OK,Carter,All Sectors,Ammonia,CAP,5433.524385651987,TON
85,OK,Carter,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
86,OK,Carter,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
87,OK,Carter,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
88,OK,Carter,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
89,OK,Carter,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
90,OK,Carter,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
91,OK,Cherokee,All Sectors,Ammonia,CAP,5433.524385651987,TON
92,OK,Cherokee,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
93,OK,Cherokee,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
94,OK,Cherokee,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
95,OK,Cherokee,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
96,OK,Cherokee,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
97,OK,Cherokee,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
98,OK,Cherokee,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
99,OK,Cherokee,All Sectors,Methane,GHG,636.0980759670491,TON
100,OK,Cherokee,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
101,OK,Choctaw,All Sectors,Ammonia,CAP,5433.524385651987,TON
102,OK,Choctaw,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
103,OK,Choctaw,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
104,OK,Choctaw,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
105,OK,Choctaw,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
106,OK,Choctaw,All Sectors,Sulfur Dioxide,CAP,366.9408390271408,TON
107,OK,Choctaw,All Sectors,Volatile Organic Compounds,CAP,32837.14451166679,TON
108,OK,Choctaw,All Sectors,Carbon Dioxide,GHG,6288783.85453454,TON
109,OK,Choctaw,All Sectors,Methane,GHG,636.0980759670491,TON
110,OK,Choctaw,All Sectors,Nitrous Oxide,GHG,1278.354265238612,TON
111,OK,Cimarron,All Sectors,Ammonia,CAP,5433.524385651987,TON
112,OK,Cimarron,All Sectors,Carbon Monoxide,CAP,102943.69195923528,TON
113,OK,Cimarron,All Sectors,Nitrogen Oxides,CAP,6020.552927457315,TON
114,OK,Cimarron,All Sectors,PM10 Primary (Filt + Cond),CAP,3320.3736009592894,TON
115,OK,Cimarron,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8634.898661928219,TON
