,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,KS,80811,75640,80380,75528,71782,69317,71883,72167,72715,69233
50,Year Built: 1950-1959,KS,167228,164148,166297,163537,161816,157080,168004,159993,159857,157068
51,Year Built: 1960-1969,KS,130069,123453,126152,133386,130322,129272,124392,139270,130027,126445
52,Year Built: 1970-1979,KS,195296,193745,191699,189255,200866,184235,190411,186364,187252,195731
53,Year Built: 1980-1989,KS,145129,146253,148135,143799,144740,148867,145377,146154,142488,143696
54,Year Built: 1990-1999,KS,148465,158854,155652,158780,154112,161650,161031,165789,166697,164839
55,Year Built: 2000-2009,KS,80750,89629,149854,151487,147642,149555,145217,140698,142649,135764
56,Year Built: 2010-2013,KS,62147,68531,10399,14581,20247,32060,30595,29286,35488,32558
57,Year Built: 2014 or later,KS,,,,,,5157.0,15678.0,25932.0,37167.0,51847.0
58,Year Built: before 1940,KS,224142,217485,210135,209402,217334,216696,207282,208123,206213,211249
