,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,ND,17168,17460,15776,15447,15861,17057,18336,14835,14806,16747
50,Year Built: 1950-1959,ND,31469,32514,33753,33704,32367,30978,32172,33275,33469,33013
51,Year Built: 1960-1969,ND,34331,34401,32775,33448,32127,33658,33032,36691,30934,31296
52,Year Built: 1970-1979,ND,68775,66327,65515,67757,72155,65393,65989,64338,64040,65745
53,Year Built: 1980-1989,ND,39549,37788,38150,37427,40759,43701,39552,41308,42819,42162
54,Year Built: 1990-1999,ND,34115,35689,38188,38300,38657,38777,39715,39022,38767,37847
55,Year Built: 2000-2009,ND,19663,19896,45833,46253,46378,54298,40621,39651,42539,41167
56,Year Built: 2010-2013,ND,20359,24526,7322,13898,20681,23211,32489,30263,27313,29113
57,Year Built: 2014 or later,ND,,,,,,5919.0,16903.0,28976.0,34919.0,34091.0
58,Year Built: before 1940,ND,52670,52287,51937,53059,51549,49897,49736,46232,48055,48793
