,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,ND,2.48,2.5,2.51,2.52,2.52,2.51,2.51,2.47,2.49,2.49
1,Avg household size of renter-occupied unit,ND,1.98,1.99,1.96,1.99,2.01,2.03,1.99,2.03,1.99,1.94
2,House Heating Fuel: Electric,ND,104750,107612,111749,114846,123672,123653,130063,128773,128042,133513
3,House Heating Fuel: Fuel Oil,ND,12532,11884,11457,10163,8502,8473,8528,8374,7346,6600
4,House Heating Fuel: Gas,ND,112756,116695,119677,123757,121884,130987,126758,127069,129563,129531
5,House Heating Fuel: Propane,ND,41337,38371,38617,39927,39684,41709,40651,43794,45025,44922
6,House Heating Fuel: Wood,ND,1632,1774,1571,1695,2021,1440,1900,1585,1240,1116
25,Median Number of Rooms,ND,5.6,5.6,5.6,5.6,5.6,5.7,5.6,5.6,5.5,5.6
26,Number of Rooms: 1,ND,4813,4352,4830,5799,6249,8385,8316,10480,9518,8544
27,Number of Rooms: 2,ND,9557,9234,10654,8276,12146,9919,12927,12719,12649,12480
28,Number of Rooms: 3,ND,28358,29055,32007,32640,34592,32837,36478,39227,40086,41549
29,Number of Rooms: 4,ND,55618,55896,56748,55802,59067,61385,61468,61564,63675,65893
30,Number of Rooms: 5,ND,55343,59378,56058,61629,59681,60432,58938,57608,64533,55505
31,Number of Rooms: 6,ND,44840,43470,44090,47331,46777,50483,49877,51574,47519,49114
32,Number of Rooms: 7,ND,35792,36265,37221,37851,37438,39617,41510,40615,38313,42102
33,Number of Rooms: 8,ND,31133,30829,33872,31364,34312,35426,32452,36228,36655,36097
34,Number of Rooms: 9+,ND,52645,52409,53769,58601,60272,64405,66579,64576,64713,68690
35,Owner-Occupied,ND,465989,465342,474487,487740,491335,486043,500838,494496,496111,494996
36,Renter-Occupied,ND,183454,193534,199586,208700,221510,244284,231015,234754,238882,242731
37,Total Housing Units,ND,318099,320888,329249,339293,350534,362889,368545,374591,377661,379974
38,Total Population,ND,674499,683932,699628,723393,739482,756928,757953,755393,760077,762062
39,Units in Structure: 1 ATTACHED,ND,18561,17785,16980,19484,17946,18226,21915,21063,21046,20466
40,Units in Structure: 1 DETACHED,ND,193073,198041,202065,204110,207794,209685,214653,212556,216035,213007
41,Units in Structure: 10-19,ND,17200,17290,16608,18135,20955,18422,21897,22447,18763,20890
42,Units in Structure: 2,ND,7369,7264,6664,7864,6255,9390,6063,8479,7547,8409
43,Units in Structure: 20-49,ND,22115,24225,25278,24444,30562,37010,35310,37264,40477,37342
44,Units in Structure: 3-4,ND,11394,10739,13270,14439,14378,14214,13362,14168,13569,13830
45,Units in Structure: 5-9,ND,14082,11493,12943,11983,13469,14157,16385,12934,14313,15456
46,Units in Structure: 50+,ND,9223,8611,10113,11820,10740,14184,14081,18300,20281,23091
47,"Units in Structure: Boat,RV,Van,Etc.",ND,0,193,241,110,102,140,70,146,58,447
48,Units in Structure: Mobile Home,ND,25082,25247,25087,26904,28333,27461,24809,27234,25572,27036
49,Year Built: 1940-1949,ND,17168,17460,15776,15447,15861,17057,18336,14835,14806,16747
50,Year Built: 1950-1959,ND,31469,32514,33753,33704,32367,30978,32172,33275,33469,33013
51,Year Built: 1960-1969,ND,34331,34401,32775,33448,32127,33658,33032,36691,30934,31296
52,Year Built: 1970-1979,ND,68775,66327,65515,67757,72155,65393,65989,64338,64040,65745
53,Year Built: 1980-1989,ND,39549,37788,38150,37427,40759,43701,39552,41308,42819,42162
54,Year Built: 1990-1999,ND,34115,35689,38188,38300,38657,38777,39715,39022,38767,37847
55,Year Built: 2000-2009,ND,19663,19896,45833,46253,46378,54298,40621,39651,42539,41167
56,Year Built: 2010-2013,ND,20359,24526,7322,13898,20681,23211,32489,30263,27313,29113
57,Year Built: 2014 or later,ND,,,,,,5919.0,16903.0,28976.0,34919.0,34091.0
58,Year Built: before 1940,ND,52670,52287,51937,53059,51549,49897,49736,46232,48055,48793
