,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,MI,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8
26,Number of Rooms: 1,MI,54205,60027,59677,55581,54046,66096,70324,67208,71633,71760
27,Number of Rooms: 2,MI,77281,81732,81034,83120,82950,88312,89589,89682,93843,88648
28,Number of Rooms: 3,MI,322047,315051,327753,327904,336050,332312,342330,336889,334204,338070
29,Number of Rooms: 4,MI,660111,660773,654539,651522,645087,641517,627241,637031,643443,650659
30,Number of Rooms: 5,MI,973385,949316,955611,940956,949885,927030,933758,920585,927250,923471
31,Number of Rooms: 6,MI,909722,908811,917789,903499,905336,915316,898631,897647,901229,902895
32,Number of Rooms: 7,MI,603687,624937,598537,611729,602694,601248,593369,615820,598592,601081
33,Number of Rooms: 8,MI,418743,419679,416643,412055,415018,425563,428836,432199,435053,439968
34,Number of Rooms: 9+,MI,512050,505328,513498,538900,549022,552930,576086,598213,609305,613053
