,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,MI,380416,368881,366981,357459,368244,359895,347721,352585,354393,334358
50,Year Built: 1950-1959,MI,695361,708476,708429,684911,682451,692470,678668,697812,687005,680118
51,Year Built: 1960-1969,MI,556083,551778,550071,552588,547502,544607,544383,543548,545232,553159
52,Year Built: 1970-1979,MI,708069,691913,697190,709351,692301,691303,713124,713126,699698,710427
53,Year Built: 1980-1989,MI,458374,449484,447741,450020,440716,452511,461467,454596,452254,447907
54,Year Built: 1990-1999,MI,572594,580791,579306,584313,600854,594130,603573,598228,611665,603050
55,Year Built: 2000-2009,MI,319145,319961,476471,459850,457878,454174,456173,438573,447210,447095
56,Year Built: 2010-2013,MI,138664,168214,16807,25749,44816,58662,57257,54633,59413,56123
57,Year Built: 2014 or later,MI,,,,,,11160.0,31613.0,57380.0,84623.0,116642.0
58,Year Built: before 1940,MI,702525,686156,682085,701025,705326,691412,666185,684793,673059,680726
