,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,TX,2.93,2.94,2.95,2.96,2.96,2.98,2.99,3.02,3.02,2.99
1,Avg household size of renter-occupied unit,TX,2.63,2.65,2.66,2.64,2.65,2.65,2.66,2.64,2.64,2.6
2,House Heating Fuel: Electric,TX,4989013,5144371,5240726,5387263,5460578,5637227,5754927,5824591,5927999,6101773
3,House Heating Fuel: Fuel Oil,TX,10062,10754,11720,9731,10582,9351,8943,9195,8778,6632
4,House Heating Fuel: Gas,TX,3315579,3298684,3323361,3320609,3418610,3390924,3407001,3422516,3472727,3499082
5,House Heating Fuel: Propane,TX,326201,306275,303869,293618,293663,293458,273637,281245,276111,283573
6,House Heating Fuel: Wood,TX,41677,37767,39054,39408,34848,35322,32735,28835,27474,28184
25,Median Number of Rooms,TX,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.3,5.4,5.3
26,Number of Rooms: 1,TX,163068,179160,171718,187371,170599,227915,224355,230056,232717,248685
27,Number of Rooms: 2,TX,264696,287377,304937,296563,310396,309071,331049,366528,379817,423123
28,Number of Rooms: 3,TX,1060352,1082726,1089920,1101432,1118587,1091508,1140603,1139451,1135407,1194895
29,Number of Rooms: 4,TX,1703411,1690104,1691983,1709820,1748814,1756486,1787470,1797409,1822492,1823457
30,Number of Rooms: 5,TX,2196529,2210393,2211840,2210723,2256246,2241946,2263312,2287984,2289725,2301443
31,Number of Rooms: 6,TX,1872083,1858803,1892785,1851261,1877916,1922633,1940312,1981205,2008650,2018740
32,Number of Rooms: 7,TX,1137783,1171483,1160565,1185841,1195271,1209939,1234667,1220319,1262609,1266174
33,Number of Rooms: 8,TX,746321,756672,738437,765099,778374,821239,816515,841270,864100,880956
34,Number of Rooms: 9+,TX,851966,862524,892650,948093,970557,1007499,1015985,1069153,1105981,1126419
35,Owner-Occupied,TX,16296534,16393820,16458059,16673206,16808599,17137610,17401500,18023586,18231298,18488975
36,Renter-Occupied,TX,8379441,8699668,9014845,9185143,9552504,9731175,9852892,9674499,9870296,9906213
37,Total Housing Units,TX,9996209,10099242,10154835,10256203,10426760,10588236,10754268,10933375,11101498,11283892
38,Total Population,TX,25257114,25674681,26059203,26448193,26956958,27469114,27862596,28304596,28701845,28995881
39,Units in Structure: 1 ATTACHED,TX,264515,266999,287092,279217,264334,274619,284598,288964,281543,286125
40,Units in Structure: 1 DETACHED,TX,6511316,6573800,6627086,6664460,6773818,6884564,6983186,7105341,7203628,7286943
41,Units in Structure: 10-19,TX,650180,628841,626790,657191,681302,700745,674135,689692,694291,729511
42,Units in Structure: 2,TX,209593,197172,190069,201670,201970,210858,197853,206625,208548,210376
43,Units in Structure: 20-49,TX,351636,371299,368960,363798,370508,368834,401598,407339,412416,417984
44,Units in Structure: 3-4,TX,308313,328347,320040,337956,345636,349463,351466,348816,346725,364366
45,Units in Structure: 5-9,TX,487596,493429,488788,510291,517265,514777,507305,519410,550430,529523
46,Units in Structure: 50+,TX,437362,449747,458313,474932,482725,505025,553718,551962,607593,665867
47,"Units in Structure: Boat,RV,Van,Etc.",TX,16738,18334,14141,17740,17470,15923,14825,20151,19026,22294
48,Units in Structure: Mobile Home,TX,758960,771274,773556,748948,771732,763428,785584,795075,777298,770903
49,Year Built: 1940-1949,TX,388794,392763,385678,382878,377325,364531,386705,370366,360057,366041
50,Year Built: 1950-1959,TX,882610,864758,868173,856277,872425,868278,882231,854335,872316,861925
51,Year Built: 1960-1969,TX,1001774,1001481,982152,1005824,1025386,994881,978117,994721,964745,1009552
52,Year Built: 1970-1979,TX,1743117,1752361,1737312,1726695,1713003,1704562,1690297,1640577,1691568,1637595
53,Year Built: 1980-1989,TX,1787070,1777696,1766877,1753377,1765589,1763120,1744659,1776968,1761537,1804434
54,Year Built: 1990-1999,TX,1552601,1536490,1562231,1629018,1629844,1661828,1626983,1665697,1674541,1648544
55,Year Built: 2000-2009,TX,1185493,1198327,2254074,2201769,2175669,2186766,2130238,2095201,2070959,1996217
56,Year Built: 2010-2013,TX,1015253,1164724,185073,305307,458244,537135,588370,589160,547254,558052
57,Year Built: 2014 or later,TX,,,,,,116187.0,334580.0,553020.0,776363.0,1019798.0
58,Year Built: before 1940,TX,439497,410642,413265,395058,409275,390948,392088,393330,382158,381734
