State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GA,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,227247,2198,64438,24809,22167,69370,1199,12790,433349,652132,1100654,942730,1074629,810556,754266,641839,635861,482125
GA,Residential Total Volume (Mcf),114383291,107254890,98776604,140838159,119969438,126666637,129906757,126491665,124559851,110245419,111894622,119375475,118589016,138670879,113335320,97663502,121628998,134482234,118028069,115921784,111249371,133084733,123249441
GA,Residential Sales Volume (Mcf),114383291,107181003,59425592,19466695,18991642,17990861,18408325,18135788,18073725,16204077,16055351,17227388,16759186,19832602,17072565,13188672,16954968,18879503,15991684,14133195,13553774,17309191,15996160
GA,Residential Transported Volume (Mcf),0,73887,39351012,121371464,100977796,108675776,111498432,108355877,106486126,94041342,95839271,102148087,101829830,118838277,96262755,84474830,104674030,115602731,102036385,101788589,97695597,115775542,107253281
GA,Residential Sales Price (Dollars),8.0,7.9,7.97,8.87,11.6,10.48,11.84,12.89,15.45,17.43,15.89,16.55,14.57,13.98,13.92,14.4,13.92,14.12,13.08,13.51,14.78,14.17,14.62
GA,Residential Transported Price (Dollars),,,,,,,,,,,,2.76,2.85,2.45,3.2,3.71,3.01,2.75,3.15,3.19,4.15,4.04,4.74
GA,Residential Sales Revenue (Dollars),847729180,727105005,259730510,163202086,200923073,167314331,204552039,214923362,257229023,256610461,235037792,266307947,221264614,241580820,204562039,164412222,201068410,233652879,194080203,177205719,186764352,222426708,212814553
GA,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,281600711,289802332,291675591,308293835,313121346,315046577,318103836,321560132,324693278,405527614,467447832,507869028
GA,Residential Total Customers,1553948,1657709,1732865,1680749,1737850,1735063,1747017,1752346,1773121,1726239,1793650,1791256,1744934,1740587,1740006,1739543,1805425,1759394,1777617,1793371,1804749,1827473,1842065
GA,Residential Sales Customers,1553948,1595310,867480,305193,307177,315932,319356,318640,325150,328992,331208,329507,324307,321290,321515,319179,377652,319109,320287,321163,320217,326832,326686
GA,Residential Transported Customers,0,62399,865385,1375556,1430673,1419131,1427661,1433706,1447971,1397247,1462442,1461749,1420627,1419297,1418491,1420364,1427773,1440285,1457330,1472208,1484532,1500641,1515379
GA,Commercial Total Volume (Mcf),57219575,55383294,43580780,58793363,50644565,48630556,50272974,55047379,52901526,48136961,48590536,51518204,53627361,60153163,56601538,51918173,57195233,59052218,53744965,51327204,49193053,56539211,53611071
GA,Commercial Sales Volume (Mcf),51008963,46305327,26584321,10067095,10113908,10235623,10661523,11022448,10789783,9932538,9624006,9962881,9781904,10996210,10089973,8947369,10701171,12525790,11563691,10977292,10656933,12243378,11876743
GA,Commercial Transported Volume (Mcf),6210612,9077967,16996459,48726268,40530657,38394933,39611451,44024931,42111743,38204423,38966530,41555323,43845457,49156953,46511565,42970804,46494062,46526428,42181274,40349912,38536120,44295833,41734328
GA,Commercial Sales Price (Dollars),7.34,7.19,7.13,8.07,10.46,9.25,10.68,11.25,14.1,15.24,14.36,15.26,13.04,12.63,12.14,11.88,11.91,12.15,11.17,10.82,11.57,11.65,11.66
GA,Commercial Transported Price (Dollars),,,,,,,,,,,,2.24,2.04,1.81,1.93,2.03,1.86,1.9,2.14,2.21,2.6,2.45,2.66
GA,Commercial Sales Revenue (Dollars),328148136,277744291,102970067,70762141,92902980,79144747,103056597,114060433,141311956,134589703,122804325,140828248,109665455,117826974,105099510,89569637,109020313,130395613,111555701,99757754,106101738,121592713,118757764
GA,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,93003876,89390440,88741933,89553944,87248185,86552779,88190820,90256491,89240255,100146225,108317979,110841959
GA,Commercial Total Customers,123367,125990,225020,128275,130373,128233,129867,128923,128389,127843,127832,126804,127347,124759,123454,121243,126060,122578,123345,124271,124314,125741,126472
GA,Commercial Sales Customers,123279,125930,126347,27579,29680,30102,32084,32107,32130,33452,33427,33137,34573,32318,32162,31755,36556,31850,31888,32272,32531,32836,32770
GA,Commercial Transported Customers,88,60,98673,100696,100693,98131,97783,96816,96259,94391,94405,93667,92774,92441,91292,89488,89504,90728,91457,91999,91783,92905,93702
GA,Industrial Total Volume (Mcf),174738801,164150756,153867455,166126186,137898713,143151662,159406449,160558820,156202324,159613858,152673594,150772504,140326468,146736944,144939603,146481335,157982238,160842018,157936621,152310511,150172174,158444954,155992413
GA,Industrial Sales Volume (Mcf),46627404,41232856,36752033,33506570,27447902,27489745,25422326,26383703,26763260,27087290,26333397,24269835,24754008,26622768,26376167,29334268,29920104,32170201,33203366,33538102,38571813,39811513,39314215
GA,Industrial Transported Volume (Mcf),128111397,122917900,117115422,132619616,110450811,115661917,133984123,134175117,129439064,132526568,126340197,126502669,115572460,120114176,118563436,117147067,128062134,128671817,124733255,118772409,111600361,118633441,116678198
GA,Industrial Sales Price (Dollars),4.61,4.33,4.36,5.56,6.99,5.65,7.51,8.25,10.98,10.51,10.17,11.63,8.06,7.56,7.14,6.42,7.2,7.81,5.94,6.22,6.46,6.36,5.99
GA,Industrial Transported Price (Dollars),,,,,,,,,,,,0.34,0.38,0.34,0.3,0.35,0.41,0.38,0.36,0.33,0.33,0.32,0.38
GA,Industrial Sales Revenue (Dollars),212370746,161666555,125277478,161743078,161715717,133247566,171918909,198732155,275413442,257542043,233268371,267352428,153669590,166282477,155585246,135327564,160970730,195325984,146794960,138547337,179253017,184437232,166358360
GA,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,13527953,11773649,11493253,10730209,10928027,12202195,13029524,14350313,15847200,16811272,17180916,17065082
GA,Industrial Total Customers,3307,3243,5580,3294,3330,3219,3326,3161,3543,3053,2913,2890,2254,2174,2184,2112,2242,2481,2549,2542,2577,2575,2432
GA,Industrial Sales Customers,2874,2948,3227,1010,967,943,1078,993,943,1042,1013,1003,956,892,928,886,984,887,952,966,1009,1010,871
GA,Industrial Transported Customers,433,295,2353,2284,2363,2276,2248,2168,2600,2011,1900,1887,1298,1282,1256,1226,1258,1594,1597,1576,1568,1565,1561
GA,Electric Total Volume (Mcf),6801698,26059498,29695978,23977194,16136246,22352826,17283125,18984794,45043324,60291509,76888472,58318818,87217061,194590144,224112253,349676005,279014635,287632372,351141275,375893580,358418152,360432192,388490093
GA,Electric Sales Volume (Mcf),6801698,21570171,114574,2016,1631,111634,34078,61798,27447,35265,23532,13825,10475,26994,10602,23184,12609,23750,6162,154780,120545,123725,146146
GA,Electric Transported Volume (Mcf),0,4489327,29581404,23975178,16134615,22241192,17249047,18922996,45015877,60256244,76864940,58304993,87206586,194563150,224101651,349652821,279002026,287608622,351135113,375738800,358297607,360308467,388343947
GA,Electric Sales Price (Dollars),4.72,4.42,5.42,8.3,11.19,4.74,7.38,7.05,7.96,49.93,26.0,11.49,5.1,5.31,8.38,4.05,5.33,5.44,4.24,2.03,4.1,4.3,2.58
GA,Electric Transported Price (Dollars),,,,,,,,,,,,0.12,0.12,0.1,0.08,0.08,0.1,0.1,0.12,4.27,7.11,0.1,0.1
GA,Electric Sales Revenue (Dollars),10778440,18690710,357513,16730,18246,581948,225642,457971,168440,543361,222557,169442,53833,146232,57792,89582,57426,112539,29424,165679,457288,461471,285341
GA,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,265434,176447,230796,682766,832261,511677,285345,428614,433520,315978,230941,259340
GA,Electric Total Customers,7,8,11,11,15,12,17,18,17,18,18,18,19,18,18,27,25,25,22,24,24,23,24
GA,Electric Sales Customers,7,7,2,1,1,2,2,2,2,4,4,4,4,3,3,3,2,2,2,2,2,2,2
GA,Electric Transported Customers,0,1,9,10,14,10,15,16,15,14,14,14,15,15,15,24,23,23,20,22,22,21,22
GA,Vehicle Fuel Total Volume (Mcf),7338,11643,12175,525433,2576056,4118822,3922978,1586081,803508,728595,772913,712230,662338,1135082,1055900,1069850,1041304,1014288,1244056,1869194,1988179,1972624,1707514
GA,Vehicle Fuel Sales Volume (Mcf),7338,11643,11470,13423,12160,7609,0,0,0,806,1030,447,17179,17820,66999,70327,104582,150249,267557,315804,300042,267858,244945
GA,Vehicle Fuel Transported Volume (Mcf),0,0,705,512010,2563896,4111213,3922978,1586081,803508,727789,771883,711783,645159,1117262,988901,999523,936722,864039,976499,1553390,1688137,1704766,1462569
GA,Vehicle Fuel Sales Price (Dollars),4.17,3.76,3.98,5.1,0.65,6.5,,,,13.05,12.93,12.91,12.11,5.17,5.57,14.51,19.61,15.49,13.24,10.42,11.26,9.76,10.98
GA,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,1.24,,,,,,,1.69,1.65,1.92
GA,Vehicle Fuel Sales Revenue (Dollars),30409,47701,45651,68497,7953,49459,0,0,0,10518,13318,5769,208069,92079,373184,1020147,2051272,2327010,3542035,3841455,4145817,3519530,3258782
GA,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,1386631,0,0,0,0,0,0,2850453,2815399,2802268
GA,Vehicle Fuel Total Customers,4,4,14,94,48,47,37,22,23,29,29,20,20,20,10,37,40,59,58,53,51,51,51
GA,Vehicle Fuel Sales Customers,4,4,12,13,13,10,0,0,0,8,8,1,1,1,3,31,33,53,50,47,47,47,47
GA,Vehicle Fuel Transported Customers,0,0,2,81,35,37,37,22,23,21,21,19,19,19,7,6,7,6,8,6,4,4,4
