,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Georgia (Million cubic feet)",87359,88319,85256,86191,76207,87184,86356,98334,96368,91036,90240,91934,86822,91376,95299,84033,89171,100630,108125,103681,90263,96662,108214,115655,105436,114670,127062,114383,107398,98777,140838,119969,126667,129907,126492,124560,110245,111895,119375,118589,138671,113335,97664,121629,134482,118028,115922,111249,133085,123249,
"Natural gas consumed by (delivered to) the commercial sector, Georgia (Million cubic feet)",38726,41881,44992,47253,44317,49438,46351,55268,60266,62437,58763,57139,54718,56280,55909,51519,50405,54592,55963,53089,49486,51036,53861,57525,54051,56536,61377,57220,55419,43581,58793,50645,48631,50273,55047,52902,48137,48591,51518,53627,60153,56602,51918,57195,59052,53745,51327,49193,56539,53611,
"Natural gas consumed by the industrial sector, Georgia (Million cubic feet)",140891,142209,154505,174124,161879,145479,120495,102040,112317,151681,155158,157090,144414,140285,149517,140009,128420,141201,150448,153088,161992,167098,172227,167388,173839,183680,181767,174746,164499,153867,166126,137899,143152,159406,160559,156202,159614,152674,150773,140326,146737,144940,146481,157982,160842,157937,152311,150172,158445,155992,
"Natural gas consumed by the electric power sector, Georgia (Million cubic feet)",58674,63470,38433,34403,43086,40282,4664,6091,5881,3023,3666,2786,1509,1633,608,885,5803,826,1569,684,1932,838,1162,3026,1340,11097,5776,17054,33351,32505,42034,34666,56588,32258,45926,72267,95407,121726,96316,142467,175082,196492,308096,279506,289972,355698,379284,370074,373647,427142,
"Residential carbon dioxide emissions, natural gas, Georgia (million metric tons CO2)",,,,,,,,,,,4.940849,5.009398,4.744752,4.974222,5.187775,4.583406,4.859142,5.477942,5.880217,5.644009,4.918459,5.267041,5.885045,6.302124,5.762007,6.242011,6.896412,6.237766,5.852575,5.38244,7.608644,6.584916,6.892167,7.095268,6.904901,6.841074,6.022462,6.108361,6.481349,6.439382,7.51606,6.12396,5.260462,6.551437,7.253165,6.40898,6.323718,6.067773,7.253536,,
"Commercial carbon dioxide emissions, natural gas, Georgia (million metric tons CO2)",,,,,,,,,,,3.217409,3.113471,2.990274,3.063704,3.04349,2.809987,2.746691,2.97181,3.04349,2.889997,2.696499,2.780912,2.929099,3.134588,2.953824,3.077499,3.331269,3.120422,3.020039,2.374763,3.176237,2.779798,2.646095,2.745842,3.004917,2.905489,2.629595,2.652568,2.797094,2.911909,3.260332,3.058452,2.796458,3.080788,3.184939,2.918382,2.799959,2.683129,3.081531,,
"Industrial carbon dioxide emissions, natural gas, Georgia (million metric tons CO2)",,,,,,,,,,,8.495274,8.559685,7.892073,7.636658,8.139211,7.636499,6.997909,7.686532,8.181922,8.333505,8.826985,9.105108,9.366253,9.121131,9.500115,9.998529,9.865569,9.529561,8.964242,8.384333,8.9748,7.569011,7.789143,8.706493,8.76459,8.578945,8.719333,8.334513,8.18606,7.61968,7.953247,7.831695,7.889951,8.509547,8.674871,8.576027,8.30878,8.190782,8.635715,,
"Natural Gas Citygate Price in Georgia, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.37,4.26,3.8,3.61,3.6,3.54,3.43,3.38,3.28,3.77,3.54,2.96,3.77,3.98,3.51,2.95,4.64,6.02,4.55,6.25,6.81,9.85,9.37,8.15,9.35,6.56,5.93,5.19,4.35,4.66,5.19,3.83,3.67,4.15,4.02,3.78,3.25
"Georgia Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.05,1.13,1.26,1.3,1.4,1.5,1.69,1.97,2.33,2.88,3.67,4.34,5.33,6.1,6.41,6.6,6.63,6.34,6.22,6.25,6.82,6.7,6.44,6.8,7.32,6.18,6.69,7.41,6.78,4.37,8.38,10.58,9.86,11.86,13.92,16.76,18.37,17.53,18.26,16.3,15.17,15.72,16.23,14.6,14.45,14.62,14.56,16.93,13.98,14.87,
"Georgia Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.74,0.85,0.89,0.94,1.02,1.1,1.38,1.75,2.08,2.52,3.22,3.98,4.74,5.42,5.66,5.73,5.61,5.4,5.45,5.47,5.76,5.67,5.55,5.83,6.18,5.2,5.89,6.43,6.0,3.87,7.03,9.19,8.14,9.93,11.43,14.76,14.2,13.21,14.3,11.7,10.95,10.51,9.75,9.38,9.86,8.58,7.92,8.78,8.17,8.21,7.58
