,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Pennsylvania (Million cubic feet)",288326,285789,272433,252280,265274,244889,254863,251175,268038,270742,240016,242728,266528,268996,268405,262126,278606,262494,217929,241468,262788,238849,239123,265020,247788,245099,205813,231305,229254,227714,223642,219446,197313,231861,254816,235669,215512,218734,252722,236631,
"Natural gas consumed by (delivered to) the commercial sector, Pennsylvania (Million cubic feet)",118462,128561,125557,115222,126211,115329,114442,114800,127382,132421,125673,125546,134254,131776,138473,143735,154642,144084,130996,143256,145319,136468,136202,149458,142608,144970,130328,145852,144603,144092,141699,141173,126936,149114,159636,152091,142724,145912,165119,161624,
"Natural gas consumed by the industrial sector, Pennsylvania (Million cubic feet)",336576,333317,263915,245590,248123,230874,206896,232148,233602,247090,241378,234877,240089,245628,239627,252480,246180,239858,232082,235766,235327,203417,212439,200201,200021,189828,194937,196131,197502,185675,220702,247341,282481,340236,399377,386292,400851,414786,457048,496696,
"Natural gas consumed by the electric power sector, Pennsylvania (Million cubic feet)",2865,3267,1568,1654,2615,1570,724,1993,2649,11873,14945,7324,12923,22937,28903,39436,25629,20430,30240,31353,20597,22632,50251,41238,76186,80640,100946,143954,141011,210542,245559,306266,393775,362349,388056,437976,501116,526521,538527,672506,
"Total energy consumption per capita in the residential sector, Pennsylvania (Million Btu)",76.2,73.9,70.8,70.6,73.6,71.4,71.5,71.8,75.9,78.3,70.2,71.5,72.8,75.4,75.6,75.3,77.8,73.6,68.4,73.1,77.4,74.6,77.1,80.6,79.8,80.6,73.1,76.8,80.5,72.8,74.5,72.6,67.7,73,75.9,74.1,70.1,68,75.4,69.7,
"Electricity consumed by (i.e., sold to) the residential sector, Pennsylvania (Million kilowatthours)",31767,31714,31467,32334,33132,32686,34241,35761,37828,38141,38164,39598,39245,41455,42239,42802,43645,42785,42923,44126,45008,46030,48730,49651,50663,53661,51790,54587,54060,52906,55253,54796,52876,54252,54195,54419,53877,51724,55896,54396,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Pennsylvania (Kilowatthours)",2677,2674,2657,2731,2804,2777,2906,3028,3193,3214,3206,3305,3257,3420,3472,3509,3571,3499,3505,3598,3664,3743,3952,4012,4082,4310,4140,4345,4286,4177,4347,4299,4141,4245,4237,4255,4213,4043,4364,4250,
"Distillate fuel oil consumed by the residential sector, Pennsylvania (Billion Btu)",162158,140979,120590,120595,141836,140879,122524,126865,131903,142749,117704,117875,119474,129933,128168,118190,120499,111565,94456,111578,121678,121400,119310,133412,130477,115753,98083,99131,153354,76863,85432,80568,70781,79295,91046,86789,73049,71250,86087,66666,
"Propane consumed by the residential sector, Pennsylvania (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20812,19531,16645,18686,19958,18230,16909,17668,20768,23752,
"Distillate fuel oil consumed by the commercial sector, Pennsylvania (Billion Btu)",34123,30055,27501,33250,39107,32085,38990,37585,37248,47243,38676,36747,36635,37282,44776,36862,35805,27974,26751,27643,31978,34880,43375,37585,36166,35632,33094,28456,35575,24033,23625,21041,17083,18522,19839,18765,15272,17907,20328,19943,
"Electricity consumed by (i.e., sold to) the commercial sector, Pennsylvania (Million kilowatthours)",21746,22379,22649,22991,23907,24580,25875,26997,28369,29430,30198,31612,31813,33232,34361,35542,36373,36853,38088,38306,42988,41446,43598,43218,44355,45782,45624,47531,47347,46411,47366,43536,42920,43145,43348,43745,43535,42623,43222,40143,
"Total energy consumption per capita in the commercial sector, Pennsylvania (Million Btu)",38,39.5,39.2,39.2,41.5,39.8,41.2,42.3,44.3,47.5,45.6,46.5,47.5,48.2,50.5,51.7,53.1,51.7,50.8,51.9,57.4,53.9,56.7,56.8,57,58,55.5,57.4,56.7,53.9,53.9,50.1,47.8,50,51.2,51.5,50.1,49.3,51.1,47,
