,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,NH,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.5
26,Number of Rooms: 1,NH,9243,11040,11948,12222,11168,9224,12173,11852,12289,16616
27,Number of Rooms: 2,NH,14469,15469,16226,14932,17696,14932,19668,19105,18667,18518
28,Number of Rooms: 3,NH,53453,54009,53053,54298,51919,53835,53882,57317,56590,58603
29,Number of Rooms: 4,NH,109953,105979,101719,104556,108948,103444,104738,104448,104008,106380
30,Number of Rooms: 5,NH,116566,117987,120597,120968,115318,117101,111039,114100,119712,116367
31,Number of Rooms: 6,NH,108730,110950,109109,106562,109185,112236,106725,110379,108288,112633
32,Number of Rooms: 7,NH,80004,80059,77823,76683,78747,80396,82978,81131,82714,76353
33,Number of Rooms: 8,NH,54741,56874,56812,55638,57531,56870,61152,62858,58620,59197
34,Number of Rooms: 9+,NH,67837,65335,69718,70637,69353,74566,72982,73499,77224,77631
