,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,NH,25217,24998,21518,22191,24825,23773,21894,23778,23853,22729
50,Year Built: 1950-1959,NH,47319,43413,45494,44981,43134,44439,46272,44178,42500,45325
51,Year Built: 1960-1969,NH,54847,55018,50710,57175,52230,52796,57496,56474,55019,49959
52,Year Built: 1970-1979,NH,92836,92094,94454,93622,88359,93464,93521,91132,100694,90720
53,Year Built: 1980-1989,NH,127349,123413,126351,124382,128937,123672,123879,123420,124620,125236
54,Year Built: 1990-1999,NH,61943,65023,69962,64964,69723,67414,62083,65588,65648,66484
55,Year Built: 2000-2009,NH,44037,49745,73116,75642,74446,76789,73671,82698,71634,73048
56,Year Built: 2010-2013,NH,24976,29449,4663,6742,10362,9722,11148,12520,13209,13897
57,Year Built: 2014 or later,NH,,,,,,2132.0,6124.0,10456.0,13735.0,17875.0
58,Year Built: before 1940,NH,136472,134549,130737,126797,127849,128403,129249,124445,127200,137025
