State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NE,Electric Sales Volume (Mcf),1035359,2162114,1841954,2110249,1826302,2034789,1932260,947368,1961733,1860366,2519193,1837120,690045,1179711,1113169,1568939,983054,755575,880162,1182590,1624656,1580923,2186553
NE,Electric Transported Volume (Mcf),629650,48088,47696,48958,19574,28123,31612,11839,8189,1229174,4102819,4124346,1518472,2556484,1511129,3014333,1624805,2202458,1919715,2326064,2335169,3007140,3402909
NE,Electric Sales Price (Dollars),2.31,2.37,3.53,4.6,5.27,4.5,6.36,6.59,8.27,6.88,7.0,8.25,6.89,7.1,6.5,6.18,6.13,6.95,6.11,6.65,8.78,6.72,7.92
NE,Electric Transported Price (Dollars),,,,,,,,,,,,1.05,0.32,0.33,0.36,0.42,0.62,0.5,0.56,1.31,0.28,0.44,0.59
NE,Electric Sales Revenue (Dollars),2495310,5405966,5224882,9484804,7387821,7248686,9821349,5070666,16384770,13264876,18406739,17425749,3604468,5302781,5793358,6579746,4634849,4302114,2901932,4198990,6174484,6346435,7331878
NE,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,2031699,50596,442205,441733,585890,504011,1530823,667892,609036,546849,621283,636591
NE,Electric Total Customers,15,6,8,14,14,8,8,7,8,11,13,13,17,17,25,27,26,28,30,29,28,28,25
NE,Electric Sales Customers,4,4,6,13,13,7,7,6,7,7,7,7,9,10,10,10,8,10,11,11,9,9,9
NE,Electric Transported Customers,11,2,2,1,1,1,1,1,1,4,6,6,8,7,15,17,18,18,19,18,19,19,16
NE,Vehicle Fuel Total Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5835,28664,71688,143011,84682,54579,138533,146064,135900
NE,Vehicle Fuel Sales Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5835,27397,47878,64426,58278,54064,58113,55313,57401
NE,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,23810,78585,26404,515,80420,90751,78499
NE,Vehicle Fuel Sales Price (Dollars),,,,,,,,,,,,,,,15.1,15.29,13.69,16.86,19.46,18.16,12.97,12.09,12.14
NE,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,3.44,1.42,1.31
NE,Vehicle Fuel Sales Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88091,418870,934757,1086486,1133831,1160643,885916,804437,822837
NE,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118376,128865,102883
NE,Vehicle Fuel Total Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,48,5,21,27,27,28
NE,Vehicle Fuel Sales Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,3,20,21,22,23
NE,Vehicle Fuel Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,1,6,5,5
