,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Nebraska (Million cubic feet)",58295,57678,59978,50383,49403,53803,54965,52909,48193,53526,48915,43907,51381,47236,47834,46674,42303,38871,43502,44804,41499,44671,41414,48256,44397,45054,48989,47105,40771,40588,42510,46663,43826,42190,38600,37963,35896,38596,42357,40143,40132,39717,31286,41229,42147,34663,33050,34069,42379,41639,
"Natural gas consumed by (delivered to) the commercial sector, Nebraska (Million cubic feet)",46824,47261,45518,38690,42298,43117,48713,46989,40736,43507,43356,40612,43022,39055,41900,39404,36357,34205,39388,37351,36489,40291,34490,34745,38946,40044,40833,33853,28911,27586,28907,27792,28185,28368,29858,27401,28087,30067,34813,31790,31993,32115,26503,32214,32407,29464,26971,29018,35349,35388,
"Natural gas consumed by the industrial sector, Nebraska (Million cubic feet)",56440,56657,56788,72823,71536,73762,64932,61037,52329,51943,51941,43112,37084,37356,38622,33221,20448,30093,32346,30579,25772,24789,26491,38714,37049,44827,36171,44463,53090,45779,46847,40174,40721,38401,39168,41184,53584,65838,76654,81232,85511,86415,85633,88334,86942,85694,91116,89600,89594,89765,
"Natural gas consumed by the electric power sector, Nebraska (Million cubic feet)",47641,48843,49154,54139,48040,37725,19618,15623,12844,14009,11850,4560,1553,1581,1495,1284,1713,1743,2046,2593,3766,3689,1903,1876,3061,3059,2311,2687,5080,4582,5522,4290,4947,4593,3340,8066,7787,10908,7230,3331,3949,4223,7696,4604,4189,4255,5791,6167,9196,12037,
"Residential carbon dioxide emissions, natural gas, Nebraska (million metric tons CO2)",,,,,,,,,,,2.543855,2.281171,2.674268,2.462095,2.490639,2.432436,2.2296,2.031699,2.269976,2.347333,2.166198,2.334599,2.151129,2.495573,2.319637,2.341125,2.617232,2.49361,2.169275,2.150387,2.265732,2.517486,2.344574,2.255068,2.067777,2.03398,1.928185,2.084968,2.272576,2.156011,2.137812,2.130544,1.691234,2.266846,2.330408,1.943731,1.856559,1.917574,2.383465,,
"Commercial carbon dioxide emissions, natural gas, Nebraska (million metric tons CO2)",,,,,,,,,,,2.254749,2.109958,2.239204,2.035678,2.181637,2.053558,1.916195,1.787797,2.055309,1.956836,1.904681,2.10566,1.791511,1.79687,2.034882,2.080776,2.181478,1.792095,1.538219,1.461552,1.540713,1.499381,1.507817,1.516306,1.599499,1.468078,1.508719,1.624224,1.867807,1.707364,1.704286,1.72275,1.432689,1.771191,1.791883,1.652185,1.515086,1.633243,1.988086,,
"Industrial carbon dioxide emissions, natural gas, Nebraska (million metric tons CO2)",,,,,,,,,,,2.701221,2.239893,1.930148,1.947127,2.010954,1.731345,1.077687,1.572918,1.687839,1.602046,1.345252,1.295538,1.376025,2.002146,1.935772,2.329294,1.93243,2.353753,2.824684,2.425432,2.4969,2.167365,2.178454,2.05255,2.098179,2.206574,2.878324,3.556601,4.112688,4.36285,4.55518,4.635561,4.629035,4.856754,4.807305,4.805236,5.118377,5.043089,5.038739,,
"Natural Gas Citygate Price in Nebraska, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.07,3.88,3.42,2.99,3.03,2.91,2.95,2.75,2.91,3.46,2.98,2.49,3.07,4.24,3.02,3.12,4.52,6.23,4.09,5.7,6.7,8.21,8.27,7.67,8.12,5.87,5.62,5.11,4.31,4.61,5.58,4.32,3.75,4.31,4.11,3.65,
"Nebraska Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.85,0.92,0.99,1.04,1.14,1.28,1.37,1.8,1.97,2.3,2.72,3.45,4.15,4.95,5.09,5.01,4.59,4.36,4.46,4.48,4.6,4.64,4.82,4.96,5.01,4.83,4.88,5.69,5.13,5.06,6.43,8.71,6.18,7.83,9.06,10.68,11.3,11.15,11.11,9.34,8.95,8.84,8.68,8.39,8.77,8.86,8.01,9.01,8.54,7.9,7.85
"Nebraska Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.53,0.59,0.58,0.76,0.81,0.99,1.15,1.39,1.54,2.0,2.29,2.96,3.49,4.22,4.27,4.21,3.93,3.7,3.75,3.77,3.86,3.87,3.99,4.27,4.24,3.96,4.47,4.88,4.25,4.14,5.46,7.47,5.11,6.9,7.6,9.45,9.62,9.16,9.62,7.44,7.08,6.69,6.19,6.49,7.27,6.4,5.45,6.37,6.28,5.83,5.33
