,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",WI,131222,127435,128479,125008,113764,108774,110661,108087,104567,96151
8,"Household Income: $100,000 to $124,999",WI,166568,173775,184765,190016,196720,202974,211568,220739,229061,250552
9,"Household Income: $125,000 to $149,999",WI,84695,85452,90886,94956,100177,111483,122298,128692,140465,149335
10,"Household Income: $15,000 to $19,999",WI,128374,126000,125155,121335,123637,111803,111164,106724,93784,94902
11,"Household Income: $150,000 to $199,999",WI,66454,74611,74611,82315,91620,97077,107245,125514,127171,146292
12,"Household Income: $20,000 to $24,999",WI,146667,135720,132266,128347,128417,126506,117376,119466,115125,105826
13,"Household Income: $200,000 or more",WI,53594,58343,66877,68826,75788,85124,96135,103192,112571,124630
14,"Household Income: $25,000 to $29,999",WI,127347,120417,123235,123945,120933,113631,109293,108995,108320,101190
15,"Household Income: $30,000 to $34,999",WI,134065,127264,121737,131026,124216,125123,121366,112016,116722,107039
16,"Household Income: $35,000 to $39,999",WI,120182,119343,118529,113788,116726,110317,110720,112026,110209,100969
17,"Household Income: $40,000 to $44,999",WI,118589,116849,117306,113995,116470,113846,110657,112221,108686,112338
18,"Household Income: $45,000 to $49,999",WI,108267,105189,106559,106111,108978,100074,100956,100033,100963,99877
19,"Household Income: $50,000 to $59,999",WI,204339,198310,198701,196691,197222,201782,198037,188290,190119,187511
20,"Household Income: $60,000 to $74,999",WI,252613,261552,256608,253204,253154,260514,250919,259494,267222,266506
21,"Household Income: $75,000 to $99,999",WI,292914,294725,298829,295721,305180,325350,322089,326881,328085,338536
22,"Household Income: Less than $10,000",WI,143642,150367,143819,144140,134683,125160,126514,117923,118890,104969
23,Household Income: Total:,WI,2279532,2275352,2288362,2289424,2307685,2319538,2326998,2350293,2371960,2386623
24,Median Household Income,WI,49001.0,50395.0,51059.0,51467.0,52622.0,55638.0,56811.0,59305.0,60773.0,64168.0
