,state,source,all_exp,white_exp,POC_exp,hispanic_exp,black_exp,asian_exp,POC_pctDiff,hispanic_pctDiff,black_pctDiff,asian_pctDiff
0,Maryland,All,8.36342589923505,7.93262898449417,8.81739196558967,8.91192063160207,8.96904613847952,8.16204609818552,0.0542799173238492,0.0655825422470941,0.0724129377770727,-0.0240786256105831
1,Maryland,Agriculture,0.796121068210387,0.814476902483052,0.776778019097718,0.756920691087255,0.782600585736034,0.773885205771977,-0.0242966175435483,-0.0492392158535018,-0.0169829477126457,-0.0279302524782996
2,Maryland,Coal Elec. Util.,1.91449161825154,1.97952557000818,1.84596000567902,1.84869513939427,1.83257264785801,1.88550825876898,-0.0357962458122975,-0.0343675982856287,-0.0427888895477903,-0.0151389325532954
3,Maryland,Commercial Cooking,0.260176316682797,0.191336010142672,0.33271899769402,0.348736995345695,0.349846642185259,0.259138982294508,0.278821231448464,0.340387164335445,0.344652144536994,-0.00398704386900055
4,Maryland,Construction,0.556863126107715,0.444563857322279,0.675202082494366,0.758611004580096,0.674500567394438,0.607608846911175,0.212509952335684,0.362293477541832,0.211250190166062,0.0911278165572832
5,Maryland,Heavy Duty Diesel Veh.,0.782258137155215,0.719338576171685,0.848561642633275,0.852620280686193,0.87391867249629,0.750447658964031,0.084759112534362,0.0899474740996102,0.117174281720367,-0.0406649374167812
6,Maryland,Industrial,1.21601300478346,1.19816038034154,1.23482578039696,1.22463179731589,1.25735142155729,1.15050824212412,0.0154708671202472,0.00708774700478528,0.0339950449635106,-0.0538684721311857
7,Maryland,Light Duty Gas Veh.,0.86656632593915,0.787543937983871,0.949838701823233,0.959884568707135,0.976154307827791,0.845184829186651,0.0960946362574573,0.107687363303496,0.126462312933605,-0.0246738144703771
8,Maryland,Miscellaneous,0.449090741281004,0.418293502703422,0.481544319227491,0.461771625610642,0.504183339790596,0.416203970443645,0.0722650791105505,0.0282367975199559,0.122675872480568,-0.0732296790255604
9,Maryland,Non-coal Elec. Util.,0.0603527987301906,0.0634634289972538,0.0570748723154398,0.0548042569585553,0.0579942923223788,0.0544881179713837,-0.0543127490972687,-0.0919351196361304,-0.0390786584455784,-0.0971733023521437
10,Maryland,Off-highway Veh. & Equip.,0.434658283960744,0.440284229902341,0.428729762977332,0.428398461181824,0.436298734591547,0.388974062196301,-0.0136394984340098,-0.0144017105158526,0.00377411564747882,-0.105103764152736
11,Maryland,Residential Other,0.300436849540932,0.242186852845871,0.361819651877695,0.38415331309736,0.369634905013201,0.31702715270502,0.204311829359666,0.278649119388473,0.230324793972521,0.0552206002340848
12,Maryland,Residential Gas Comb.,0.191080792025647,0.147910791392402,0.23657256483416,0.240769404222099,0.251656897438513,0.179912889509417,0.238076116004414,0.260039806564035,0.317018287242265,-0.0584459714544788
13,Maryland,Residential Wood,0.375029081670668,0.346948965530498,0.40461940469933,0.409677296356635,0.412361734942031,0.371355256841639,0.0789014091836399,0.0923880743637744,0.0995460221512812,-0.00979610651169391
14,Maryland,Road Dust,0.1602877548956,0.138595978669112,0.183146159839624,0.182245797058421,0.189971389326144,0.161802624496663,0.142608553965416,0.136991388875107,0.185189657499901,0.00945093779652703
