,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Vermont (Million cubic feet)",1301,1290,1278,1252,1352,1456,1595,1663,1868,2126,2150,2203,2520,2530,2438,2299,2523,2631,2454,2565,2843,2719,2761,3118,3112,3088,2874,3207,3075,3183,3078,3214,3012,3415,3826,3833,3518,3509,4081,4139,
"Natural gas consumed by (delivered to) the commercial sector, Vermont (Million cubic feet)",828,831,853,856,1467,1575,1688,1833,1941,2081,2049,2058,2319,2382,2669,2672,2825,3051,2979,2309,2595,2473,2470,2757,2724,2610,2374,2631,2495,2483,2384,2479,2314,4748,4830,5918,6251,6205,7356,7341,
"Natural gas consumed by the industrial sector, Vermont (Million cubic feet)",1623,2069,2128,2026,1771,1867,1728,1684,1741,1901,1878,1717,1958,2045,2023,2159,1953,2334,2105,2901,3949,2597,3085,2479,2784,2628,2762,2987,3000,2890,2909,2812,2711,1303,1858,2040,2172,2191,2284,2370,
"Natural gas consumed by the electric power sector, Vermont (Million cubic feet)",239,193,107,220,272,95,3,0,0,37,685,1091,801,268,166,138,24,36,188,250,1023,116,37,30,51,32,31,26,38,64,55,49,38,44,36,19,14,12,11,12,
"Total energy consumption per capita in the residential sector, Vermont (Million Btu)",80.7,75,67.7,77,81.4,77.9,61.4,65.7,70.6,75.8,69.4,70.4,74.7,72.3,69.9,65.5,68.5,65.4,62,57.9,68.2,68,69.4,72.7,77.2,78,73.6,72.9,69.1,79.3,76.7,74.9,59.2,67.3,70.9,73.8,67.9,69.1,77.9,76.7,
"Electricity consumed by (i.e., sold to) the residential sector, Vermont (Million kilowatthours)",1781,1707,1738,1766,1849,1538,1156,1409,1572,1664,1809,1783,1927,1971,2009,1973,2006,1992,1951,1999,2037,2009,2047,2011,2109,2189,2142,2170,2133,2122,2128,2125,2095,2125,2121,2089,2056,2023,2116,2082,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Vermont (Kilowatthours)",3475,3312,3348,3375,3511,2901,2165,2608,2859,2983,3202,3137,3365,3412,3442,3350,3379,3336,3250,3305,3341,3282,3326,3255,3403,3523,3439,3480,3418,3396,3400,3387,3345,3392,3390,3338,3294,3237,3387,3336,
"Distillate fuel oil consumed by the residential sector, Vermont (Billion Btu)",12646,11698,8125,11674,13730,14456,12001,12485,12945,14008,13354,13729,14838,14733,14037,13510,13781,13437,11684,11731,14259,12916,12299,13795,15686,13132,12299,12478,10805,11681,9673,10209,8238,9346,10185,10862,10005,10271,10544,11496,
"Propane consumed by the residential sector, Vermont (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5919,4951,5026,6022,6378,6180,5557,6427,7101,7063,
"Distillate fuel oil consumed by the commercial sector, Vermont (Billion Btu)",3611,3225,2950,2463,2897,3445,3490,4338,4606,4677,3897,4720,5525,4636,4983,4026,4629,4944,5459,5503,6053,5872,5035,5650,6028,4992,4713,4431,3245,4051,3855,3732,3039,3268,3566,4759,3314,3196,3155,3215,
"Electricity consumed by (i.e., sold to) the commercial sector, Vermont (Million kilowatthours)",923,851,890,935,927,959,995,1424,1499,1537,1526,1531,1574,1614,1622,1647,1696,1759,1878,1941,1956,1968,1991,1881,1978,2051,2027,2059,2043,1991,2021,2009,1994,2017,2031,2011,2014,1977,2004,1934,
"Total energy consumption per capita in the commercial sector, Vermont (Million Btu)",34.9,31.4,30.9,30.1,31.3,34.2,35.1,44.6,46.3,48.5,41.4,42.9,44.5,42.3,41.8,38.2,41.2,42.2,44.1,39.4,45.7,47.2,49.3,50,51.5,49.2,47.4,47.2,45.8,46.9,46.3,46.4,36.4,41.5,43.1,44.2,42,39.4,44.1,41.6,
