,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,OR,96232,101273,94364,92870,92460,87740,91020,96292,94195,90460
50,Year Built: 1950-1959,OR,143455,141395,136891,142775,142164,143721,141829,138211,141152,142122
51,Year Built: 1960-1969,OR,165450,160652,163825,168676,162877,162186,159165,160141,165437,165018
52,Year Built: 1970-1979,OR,334557,327003,339942,332934,332689,346315,337514,337538,333781,332410
53,Year Built: 1980-1989,OR,185730,183208,186562,181894,190379,184722,189444,198028,200509,199608
54,Year Built: 1990-1999,OR,290837,297207,285211,292137,288836,296406,293493,292093,306176,304630
55,Year Built: 2000-2009,OR,153936,148003,267623,251794,257488,249615,250408,248489,242024,250094
56,Year Built: 2010-2013,OR,110608,123172,12871,23436,28594,37434,44814,48189,39256,41752
57,Year Built: 2014 or later,OR,,,,,,8999.0,26517.0,49404.0,69549.0,81194.0
58,Year Built: before 1940,OR,195671,202331,195242,197591,205124,201371,198683,200197,196664,201194
