,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,NJ,321057,308848,295625,287586,270199,272160,268580,255465,261854,251000
50,Year Built: 1950-1959,NJ,559940,566335,571983,556155,556672,541871,538598,533610,526380,527033
51,Year Built: 1960-1969,NJ,497442,498470,499845,484829,494741,481881,492671,485984,488841,472383
52,Year Built: 1970-1979,NJ,466371,451439,461615,465786,453823,471680,450456,451114,450975,460618
53,Year Built: 1980-1989,NJ,406337,401599,410049,444977,429765,417112,419759,423304,419546,434094
54,Year Built: 1990-1999,NJ,315958,311047,319552,328243,346229,338770,345665,349568,347662,347551
55,Year Built: 2000-2009,NJ,206562,215012,357659,341119,342869,341594,327840,315919,324910,323354
56,Year Built: 2010-2013,NJ,130934,146974,19819,33166,46928,58209,61443,60589,66821,61943
57,Year Built: 2014 or later,NJ,,,,,,12827.0,38390.0,61622.0,78332.0,105455.0
58,Year Built: before 1940,NJ,650308,662996,638616,636399,650621,657618,661286,678716,662877,658423
