,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,NJ,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
26,Number of Rooms: 1,NJ,119894,120010,89375,77348,89082,84701,88493,79722,89529,100749
27,Number of Rooms: 2,NJ,73974,79276,81480,76775,69182,75612,80584,78697,85816,91818
28,Number of Rooms: 3,NJ,364934,364005,372402,368260,371874,366783,366816,363233,371771,370225
29,Number of Rooms: 4,NJ,522388,544018,547845,559567,547969,564327,555962,554161,551820,555508
30,Number of Rooms: 5,NJ,579984,582141,603766,612817,618177,604119,610323,604919,599727,593525
31,Number of Rooms: 6,NJ,578787,569501,582962,572176,588398,570766,574384,588974,564711,570030
32,Number of Rooms: 7,NJ,445364,435183,439793,455152,448209,450763,449536,444004,447125,454214
33,Number of Rooms: 8,NJ,380091,380057,374191,363588,364811,369090,369750,376128,382307,372912
34,Number of Rooms: 9+,NJ,489493,488529,482949,492577,494145,507561,508840,526053,535392,532873
