,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Connecticut (Million cubic feet)",31187,31878,32879,30261,33417,32143,32310,31069,31800,31285,32042,33338,33056,30916,33062,32778,35107,36134,39485,40687,37446,37181,42394,42213,41600,40824,43764,40562,35329,38364,41534,41022,40276,45627,44179,44522,39069,43348,42935,43995,42729,44719,41050,46802,51193,50975,46045,48431,53100,52228,
"Natural gas consumed by (delivered to) the commercial sector, Connecticut (Million cubic feet)",14500,16073,17005,15420,16247,15928,16694,16813,16940,16830,20153,22769,23125,22260,24778,24590,24713,27581,27411,30781,29410,26838,29838,31427,39082,37879,39786,42624,42333,47553,48476,44378,40535,38760,35511,35756,32660,35963,37666,39731,40656,44832,42346,46418,51221,52453,50258,52513,58184,57642,
"Natural gas consumed by the industrial sector, Connecticut (Million cubic feet)",14690,13352,14054,16903,16100,15553,16378,16172,16411,19783,20317,20625,21410,21035,20855,18937,17703,19802,19436,19724,25448,32660,36383,36842,30647,32170,32451,34554,32498,32039,32162,25622,29051,23553,20529,20469,21670,22794,22539,24585,24117,26258,26932,29965,28371,25612,24271,24557,24562,24520,
"Natural gas consumed by the electric power sector, Connecticut (Million cubic feet)",147,87,30,0,535,344,446,0,0,0,0,0,0,0,2228,1559,740,7350,1260,6890,12686,15149,13508,11607,18430,28926,17908,24398,20417,31229,34401,32161,65060,42569,58834,63896,76024,73627,59354,70864,85144,107897,114054,106863,100359,119907,123024,108687,136075,143448,
"Residential carbon dioxide emissions, natural gas, Connecticut (million metric tons CO2)",,,,,,,,,,,1.737447,1.812999,1.801221,1.687892,1.805094,1.791246,1.918423,1.976573,2.162006,2.232518,2.052975,2.033874,2.311679,2.300166,2.276078,2.23029,2.388558,2.212145,1.923198,2.084119,2.266369,2.226682,2.188588,2.48406,2.40092,2.422037,2.127732,2.35492,2.324678,2.388611,2.324678,2.438007,2.246419,2.531652,2.791577,2.776827,2.511013,2.643018,2.902306,,
"Commercial carbon dioxide emissions, natural gas, Connecticut (million metric tons CO2)",,,,,,,,,,,1.092755,1.238236,1.260043,1.215316,1.352786,1.343766,1.350451,1.508719,1.500867,1.689006,1.612392,1.468131,1.627036,1.712404,2.13829,2.069369,2.17145,2.324625,2.30441,2.583329,2.64514,2.408826,2.202648,2.110276,1.929883,1.945164,1.778672,1.953706,2.039392,2.157072,2.211879,2.444161,2.317356,2.510854,2.793062,2.857367,2.740748,2.865803,3.180164,,
"Industrial carbon dioxide emissions, natural gas, Connecticut (million metric tons CO2)",,,,,,,,,,,1.101669,1.121671,1.16661,1.148412,1.138596,1.03487,0.967382,1.083205,1.064211,1.08225,1.395178,1.786577,1.983895,2.007452,1.676803,1.757502,1.771138,1.88452,1.769068,1.740524,1.754955,1.390721,1.578595,1.282274,1.115676,1.1135,1.180139,1.23829,1.220356,1.3348,1.312091,1.431522,1.473808,1.620881,1.547079,1.395178,1.323605,1.340158,1.342493,,
"Natural Gas Citygate Price in Connecticut, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.15,4.2,3.67,3.16,3.27,3.46,3.66,3.5,3.73,3.87,4.17,4.7,5.11,5.11,5.06,4.91,6.73,8.12,6.42,5.59,7.56,9.67,9.11,8.67,10.24,6.81,6.58,5.92,5.12,5.42,5.61,4.07,3.57,4.44,5.55,5.36,
"Connecticut Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.91,2.07,2.09,2.25,2.79,3.29,3.41,4.34,4.47,4.74,5.84,6.85,8.51,9.7,8.8,9.15,8.83,8.21,7.87,8.25,8.58,8.74,8.96,9.43,10.14,10.0,10.08,10.33,10.6,10.54,11.43,12.2,11.15,12.77,14.06,16.24,17.71,16.39,17.85,14.81,14.93,13.83,14.17,13.32,14.13,12.5,12.91,13.95,13.92,14.61,
"Connecticut Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.47,1.55,1.62,1.82,2.23,2.66,3.22,3.56,3.77,3.95,4.77,5.6,6.96,7.45,6.68,6.79,6.43,5.76,5.62,6.08,6.3,6.9,7.2,7.02,7.39,7.57,7.41,7.23,6.89,6.53,6.62,7.68,7.18,10.47,11.31,13.0,13.6,12.61,13.81,9.92,9.55,8.48,8.4,9.2,10.24,8.6,8.79,9.3,9.23,9.75,
