,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,SC,2.56,2.57,2.58,2.59,2.57,2.57,2.59,2.6,2.59,2.58
1,Avg household size of renter-occupied unit,SC,2.53,2.55,2.54,2.57,2.57,2.53,2.52,2.5,2.51,2.45
2,House Heating Fuel: Electric,SC,1207780,1212210,1241285,1254816,1291881,1322225,1351704,1380808,1382708,1400895
3,House Heating Fuel: Fuel Oil,SC,30874,27260,22605,20644,16980,20409,14375,15188,15078,12243
4,House Heating Fuel: Gas,SC,414416,419203,413800,408997,413456,410455,413862,415962,438188,464662
5,House Heating Fuel: Propane,SC,83848,80666,79272,80318,72957,75921,70890,65032,67015,68110
6,House Heating Fuel: Wood,SC,17808,21253,21893,19846,20954,18149,15939,14996,13882,13860
25,Median Number of Rooms,SC,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.7
26,Number of Rooms: 1,SC,37721,42959,24301,22213,25328,29353,29129,33318,41554,39707
27,Number of Rooms: 2,SC,24689,29042,26675,28494,28146,27303,32587,30800,34148,35859
28,Number of Rooms: 3,SC,130562,134312,137850,132858,125638,117916,124250,141410,140748,135420
29,Number of Rooms: 4,SC,374579,355955,364897,368307,375779,359930,368169,371621,367681,348839
30,Number of Rooms: 5,SC,500199,514235,518985,520806,514844,534919,523742,533969,526228,516225
31,Number of Rooms: 6,SC,431340,424108,423299,412025,435965,432417,434787,439648,438028,466889
32,Number of Rooms: 7,SC,273894,278250,282097,287920,287820,290404,284856,300119,308984,324948
33,Number of Rooms: 8,SC,174623,181248,182253,178270,183217,187701,202644,202239,207938,219068
34,Number of Rooms: 9+,SC,192730,196954,196411,207891,211521,230207,236098,231696,252982,264409
35,Owner-Occupied,SC,3101315,3150056,3140224,3168639,3197405,3258790,3339248,3398666,3462658,3578532
36,Renter-Occupied,SC,1395843,1390007,1444497,1467091,1498332,1500824,1485289,1489216,1485646,1436454
37,Total Housing Units,SC,2140337,2157063,2156768,2158784,2188258,2210150,2236262,2284820,2318291,2351364
38,Total Population,SC,4636312,4679230,4723723,4774839,4832482,4896146,4961119,5024369,5084127,5148714
39,Units in Structure: 1 ATTACHED,SC,58145,56354,59837,59753,68995,68803,70730,64893,72604,72514
40,Units in Structure: 1 DETACHED,SC,1308185,1347078,1342914,1349175,1362445,1388764,1406900,1432360,1461576,1508767
41,Units in Structure: 10-19,SC,77788,76058,75734,80103,77295,81227,75058,75961,78387,76051
42,Units in Structure: 2,SC,49761,46488,48366,47655,53590,45422,45685,43463,44120,42193
43,Units in Structure: 20-49,SC,54212,58491,55070,50716,55103,49101,58350,58060,65925,57395
44,Units in Structure: 3-4,SC,64438,61790,57258,61201,64136,60929,62172,70377,66019,62239
45,Units in Structure: 5-9,SC,103306,97984,102927,102059,98041,104057,92988,96995,95349,105745
46,Units in Structure: 50+,SC,45905,46461,45213,42992,44985,47748,54284,64447,62570,63348
47,"Units in Structure: Boat,RV,Van,Etc.",SC,2034,905,1433,1337,1034,1518,1045,2268,2540,1694
48,Units in Structure: Mobile Home,SC,376563,365454,368016,363793,362634,362581,369050,375996,369201,361418
49,Year Built: 1940-1949,SC,69226,72215,71946,69157,69546,69628,70138,65929,65331,67801
50,Year Built: 1950-1959,SC,159017,164633,156270,148848,152937,153658,151017,153102,152513,149095
51,Year Built: 1960-1969,SC,202886,209820,207600,204016,209394,207519,209212,200756,205690,208692
52,Year Built: 1970-1979,SC,341579,340566,337157,340169,346117,340755,337101,336744,331740,326190
53,Year Built: 1980-1989,SC,355845,357133,373983,367861,377469,370407,358592,380542,376261,371206
54,Year Built: 1990-1999,SC,449492,436873,428167,424231,427477,431219,434928,435564,435950,433396
55,Year Built: 2000-2009,SC,254330,260105,446597,456143,446564,439158,444749,435842,429500,429382
56,Year Built: 2010-2013,SC,203482,209727,30715,44797,62099,82835,90243,91350,93235,92178
57,Year Built: 2014 or later,SC,,,,,,16344.0,49446.0,90990.0,130494.0,181754.0
58,Year Built: before 1940,SC,104480,105991,104333,103562,96655,98627,90836,94001,97577,91670
