,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,NC,172402,175281,170776,167941,170067,158725,163789,165137,162351,158960
50,Year Built: 1950-1959,NC,331009,335761,336495,329615,323858,313482,320908,317710,332781,321276
51,Year Built: 1960-1969,NC,421416,432900,430259,418040,416336,417043,422925,409606,400612,411472
52,Year Built: 1970-1979,NC,639778,634561,632269,632375,632783,629332,625959,630647,631463,642764
53,Year Built: 1980-1989,NC,728147,700318,705617,702664,725371,719201,713897,703570,711111,705314
54,Year Built: 1990-1999,NC,891696,889122,892737,906327,907419,907720,889128,918531,921568,921849
55,Year Built: 2000-2009,NC,519063,526376,894573,913790,904893,905970,902252,892574,891433,863528
56,Year Built: 2010-2013,NC,380577,422513,59497,93998,128036,165727,179609,187123,178526,186894
57,Year Built: 2014 or later,NC,,,,,,24639.0,85317.0,153756.0,219988.0,297233.0
58,Year Built: before 1940,NC,249391,246124,253177,229765,243701,249251,236913,244002,235129,238858
