,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,NC,162669,150617,164581,173952,176118,176383,186934,192976,200754,197708
40,Units in Structure: 1 DETACHED,NC,2818382,2854195,2862306,2868596,2893953,2901680,2948390,3027389,3042712,3093122
41,Units in Structure: 10-19,NC,178883,170051,179660,174903,192517,200009,188566,191787,196772,199505
42,Units in Structure: 2,NC,95695,103984,90527,90676,99179,96894,99358,92756,96440,92360
43,Units in Structure: 20-49,NC,102577,100117,104177,98030,112130,117492,113189,117289,124807,136126
44,Units in Structure: 3-4,NC,114322,123549,120371,120498,123096,131633,125240,130588,123608,128647
45,Units in Structure: 5-9,NC,191495,193089,191643,207720,198459,192008,207490,188327,201095,201868
46,Units in Structure: 50+,NC,60765,68312,68894,70724,69134,74482,84832,90299,106045,115709
47,"Units in Structure: Boat,RV,Van,Etc.",NC,1890,1209,1025,1878,1803,3497,1851,3388,2762,3461
48,Units in Structure: Mobile Home,NC,606801,597833,592216,587538,586075,597012,584847,587857,589967,579642
