,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,VA,2.65,2.67,2.67,2.67,2.68,2.67,2.68,2.7,2.67,2.69
1,Avg household size of renter-occupied unit,VA,2.49,2.53,2.51,2.54,2.52,2.52,2.5,2.52,2.48,2.42
2,House Heating Fuel: Electric,VA,1514678,1544516,1604379,1625037,1653956,1687103,1699116,1708026,1757556,1793634
3,House Heating Fuel: Fuel Oil,VA,208176,193983,178393,168558,162273,153039,146013,140235,139770,131931
4,House Heating Fuel: Gas,VA,1027967,1015166,1016029,1020268,1023682,1029797,1032532,1041717,1054657,1041958
5,House Heating Fuel: Propane,VA,138687,130965,136651,137668,138787,134535,141229,137068,131055,135500
6,House Heating Fuel: Wood,VA,83925,85610,85135,82334,82114,79382,74887,69309,66813,60480
25,Median Number of Rooms,VA,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0
26,Number of Rooms: 1,VA,46403,47202,43009,46173,45922,54230,57285,53458,53258,49687
27,Number of Rooms: 2,VA,60384,59936,58722,60026,60006,62929,66003,70595,73232,79298
28,Number of Rooms: 3,VA,238141,234981,238164,229964,239633,231730,241604,239794,252211,262872
29,Number of Rooms: 4,VA,491248,487548,505592,491490,500101,502867,492783,493956,502918,498200
30,Number of Rooms: 5,VA,602801,608779,612747,601113,614491,609576,601444,597766,614876,603335
31,Number of Rooms: 6,VA,559782,581709,573326,575052,572355,576462,577456,585654,579110,586905
32,Number of Rooms: 7,VA,437959,445835,433516,458700,444068,443243,445949,457342,458349,447920
33,Number of Rooms: 8,VA,374298,372108,371277,367362,367304,375032,387811,377083,370022,385033
34,Number of Rooms: 9+,VA,557658,549703,562036,582697,602705,612883,620850,637269,635009,649008
35,Owner-Occupied,VA,5372412,5384835,5358902,5350441,5391791,5400520,5464595,5599418,5593738,5674161
36,Renter-Occupied,VA,2412371,2471980,2583429,2668023,2693581,2738661,2705587,2628308,2679390,2616461
37,Total Housing Units,VA,3368674,3387801,3398389,3412577,3446585,3468952,3491185,3512917,3538985,3562258
38,Total Population,VA,8024617,8096604,8185867,8260405,8326289,8382993,8411808,8470020,8517685,8535519
39,Units in Structure: 1 ATTACHED,VA,348024,356751,376454,382501,380646,369981,389824,385902,386634,380210
40,Units in Structure: 1 DETACHED,VA,2101410,2111474,2095844,2099847,2122586,2132930,2141813,2163862,2161105,2193479
41,Units in Structure: 10-19,VA,191219,194114,196742,200616,203799,207284,202127,198295,197466,210811
42,Units in Structure: 2,VA,54276,54372,58126,61268,57140,61988,60048,53602,58522,54928
43,Units in Structure: 20-49,VA,67027,75251,70649,74530,63879,64901,67244,70496,80379,78418
44,Units in Structure: 3-4,VA,87895,93770,93002,95062,98614,99116,100268,95855,97495,93030
45,Units in Structure: 5-9,VA,165611,151583,158139,158805,159476,169543,160490,170365,166304,162803
46,Units in Structure: 50+,VA,162485,164852,167863,166469,181754,186337,185483,191571,205641,213427
47,"Units in Structure: Boat,RV,Van,Etc.",VA,790,838,1016,1696,1017,1294,951,1060,1270,1277
48,Units in Structure: Mobile Home,VA,189937,184796,180554,171783,177674,175578,182937,181909,184169,173875
49,Year Built: 1940-1949,VA,170814,171182,163844,165295,162906,158392,151938,157460,156507,151026
50,Year Built: 1950-1959,VA,325728,314147,313921,317382,316799,324866,311584,313922,299135,302880
51,Year Built: 1960-1969,VA,391075,391362,388901,370544,379829,372409,368663,374473,376196,376604
52,Year Built: 1970-1979,VA,563577,570530,575112,550168,554487,560177,556083,537547,554875,543728
53,Year Built: 1980-1989,VA,583990,575720,581932,565547,572756,575532,568821,568073,579703,585685
54,Year Built: 1990-1999,VA,537784,532042,537210,555908,560182,558315,560496,540112,561857,542229
55,Year Built: 2000-2009,VA,307646,306419,535356,561143,548484,536657,541074,544012,510565,521923
56,Year Built: 2010-2013,VA,220206,256246,38633,66651,86006,104946,115854,119692,112030,108991
57,Year Built: 2014 or later,VA,,,,,,18095.0,50807.0,94466.0,125327.0,169431.0
58,Year Built: before 1940,VA,267854,270153,263480,259939,265136,259563,265865,263160,262790,259761
