,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,VA,170814,171182,163844,165295,162906,158392,151938,157460,156507,151026
50,Year Built: 1950-1959,VA,325728,314147,313921,317382,316799,324866,311584,313922,299135,302880
51,Year Built: 1960-1969,VA,391075,391362,388901,370544,379829,372409,368663,374473,376196,376604
52,Year Built: 1970-1979,VA,563577,570530,575112,550168,554487,560177,556083,537547,554875,543728
53,Year Built: 1980-1989,VA,583990,575720,581932,565547,572756,575532,568821,568073,579703,585685
54,Year Built: 1990-1999,VA,537784,532042,537210,555908,560182,558315,560496,540112,561857,542229
55,Year Built: 2000-2009,VA,307646,306419,535356,561143,548484,536657,541074,544012,510565,521923
56,Year Built: 2010-2013,VA,220206,256246,38633,66651,86006,104946,115854,119692,112030,108991
57,Year Built: 2014 or later,VA,,,,,,18095.0,50807.0,94466.0,125327.0,169431.0
58,Year Built: before 1940,VA,267854,270153,263480,259939,265136,259563,265865,263160,262790,259761
