,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,WA,149009,149853,150772,140383,148614,142575,151699,151304,148864,149389
50,Year Built: 1950-1959,WA,226859,229504,227726,233245,233352,235112,233837,233772,230652,226613
51,Year Built: 1960-1969,WA,283241,289510,295208,274037,293289,281864,288798,295857,287271,302236
52,Year Built: 1970-1979,WA,515684,488521,499952,494059,503425,478798,481600,487832,489982,507054
53,Year Built: 1980-1989,WA,406066,401508,410910,387708,399094,406241,404379,402702,407612,410050
54,Year Built: 1990-1999,WA,501981,491696,490587,521388,510852,515171,512682,519528,527698,524849
55,Year Built: 2000-2009,WA,269953,278953,498190,497748,475290,491549,460508,474117,475095,462965
56,Year Built: 2010-2013,WA,218449,257692,33531,54236,86357,98968,110614,107774,119229,105221
57,Year Built: 2014 or later,WA,,,,,,22322.0,64027.0,106069.0,149096.0,197626.0
58,Year Built: before 1940,WA,317352,320368,307899,325496,313020,318984,317658,324308,312585,309095
