,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",IN,146257,152586,142424,137869,132270,126383,120810,119206,114524,104333
8,"Household Income: $100,000 to $124,999",IN,156720,166834,173424,179206,183332,195160,204822,215666,223160,239586
9,"Household Income: $125,000 to $149,999",IN,82530,84477,88413,92777,97982,104528,110106,123654,135223,142304
10,"Household Income: $15,000 to $19,999",IN,158171,146084,147322,143634,146990,139691,128712,125049,125482,114209
11,"Household Income: $150,000 to $199,999",IN,60755,63886,72932,73718,81608,91187,105506,115350,121121,139536
12,"Household Income: $20,000 to $24,999",IN,163442,150233,149238,149936,138968,141379,140106,136473,134723,130573
13,"Household Income: $200,000 or more",IN,51452,57664,59199,66137,71487,83572,87901,100257,101180,122070
14,"Household Income: $25,000 to $29,999",IN,154418,139915,141307,144029,139796,140982,132682,126858,121949,119781
15,"Household Income: $30,000 to $34,999",IN,154250,151203,147008,143998,144799,142433,135528,135060,139083,134479
16,"Household Income: $35,000 to $39,999",IN,141841,133621,139359,132451,129502,135739,133535,128051,123745,119809
17,"Household Income: $40,000 to $44,999",IN,137678,125155,135999,133545,137285,131206,129908,128258,129561,126321
18,"Household Income: $45,000 to $49,999",IN,114019,114854,117260,119878,118678,116651,110596,104650,112909,112198
19,"Household Income: $50,000 to $59,999",IN,216976,221053,204919,207977,225350,215360,216221,216393,219818,225269
20,"Household Income: $60,000 to $74,999",IN,256761,266429,271261,267626,271811,268904,284279,276065,281837,278719
21,"Household Income: $75,000 to $99,999",IN,287259,294406,302640,306804,307969,313960,323239,337628,355463,335223
22,"Household Income: Less than $10,000",IN,188376,198711,187372,198810,174912,168008,169319,168681,159391,153355
23,Household Income: Total:,IN,2470905,2467111,2480077,2498395,2502739,2515143,2533270,2557299,2599169,2597765
24,Median Household Income,IN,44613.0,46438.0,46974.0,47529.0,49446.0,50532.0,52314.0,54181.0,55746.0,57603.0
