,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
12,Idaho,2010,652323,289823,32501,182285,16601,41624,44378,79927,125750,72423,132278,51244,54164,30946,61213,471289,19698,17977,29738,18145,12189,9832,8717,63673,1065,7096,15544,44331,107921,138049,114456,81510,60443,82973,5.6,1083743,414195,2.68,2.5,570283,36883,33962,32289,35470,37617,35888,32603,32359,27890,55455,64358,67517,34285,17219,14368,12120,46423.0,1526797,
13,Illinois,2010,5267614,3855578,205421,636626,14946,22417,171655,358774,560625,468049,775239,635128,707982,372084,1218078,3080828,304782,316577,357363,327237,214592,187176,333526,144150,1383,99630,118450,425008,856014,1093812,975925,649232,472176,577367,5.5,8977291,3460058,2.72,2.35,4769951,327492,230008,240139,242895,228751,235025,221047,223204,199773,391127,505559,630368,405029,237083,229128,223323,55735.0,12745359,
14,Indiana,2010,2778459,1552065,195533,614842,34460,47245,93250,233108,403999,281875,402219,324800,327141,178238,533829,2014781,95398,76033,99214,132354,103113,56010,49603,151353,600,23203,44028,186491,408944,634901,567052,375560,247000,291280,5.7,4618128,1613270,2.62,2.3,2465402,177048,137772,141110,147224,144346,151277,134390,135076,115753,221946,272876,308558,169925,85096,67893,55112,47697.0,6417398,
15,Iowa,2010,1327302,800223,167966,197477,13425,19874,45205,89277,144146,99616,202464,140595,148346,82686,374967,980253,45466,34809,47140,49864,49002,42808,22450,55227,283,11934,27302,95895,202333,251462,234785,184143,143119,176329,5.8,2233007,684038,2.51,2.1,1215954,76499,71186,68984,71633,69697,69930,66910,66528,59561,111098,141065,157288,84534,40442,32552,28047,48872.0,3016267,
16,Kansas,2010,1222749,773794,91852,208957,1526,18646,39003,86215,154741,146331,194954,125635,168456,79453,227961,893972,52516,30055,44280,45964,41035,27531,23028,63853,515,13986,22143,88565,180952,249235,218731,162445,125668,161024,5.8,1978044,751723,2.59,2.23,1101672,73221,59842,61062,65220,63329,62905,59953,58879,52316,94796,121102,137693,80812,40329,37867,32346,49424.0,2809329,
17,Kentucky,2010,1911822,687794,124068,781912,24239,44736,71966,167167,340336,254549,332625,227291,195517,102605,219766,1291691,43421,59291,73928,86887,62800,30230,26157,236569,848,18260,29676,126168,331242,463807,367738,238569,154601,181761,5.5,2981092,1179836,2.54,2.34,1676708,175065,124999,111075,109981,101461,97628,88906,88385,74560,137514,161347,182013,99846,49432,39764,34732,41576.0,4285828,
18,Louisiana,2010,1910036,638452,54827,927905,1740,12743,95201,154688,250718,307429,384285,263958,204943,106736,142078,1257820,54488,69899,79634,65202,52476,31688,40651,255334,2844,20167,41518,149995,341611,495759,385760,223771,132422,119033,5.3,3010429,1293531,2.69,2.48,1641165,165101,117710,109913,101744,95040,91320,82364,81190,71310,127222,154535,181881,108770,58306,50672,44087,43445.0,4429940,
19,Maine,2010,714270,21717,34939,25994,408219,53984,18597,44980,88078,109529,104506,54852,55908,36780,201040,495685,15621,37570,39360,29477,12274,10985,8914,64221,163,14841,25603,68360,128858,147979,126826,87429,54711,59663,5.3,989071,302953,2.45,2.04,551125,39795,35250,33843,34156,31596,31911,29566,28764,26756,49469,61834,67851,35323,17676,15520,11815,46933.0,1327665,
20,Maryland,2010,2354870,956364,70417,797065,257452,23987,77091,179732,337349,374617,359772,297100,293712,152603,282894,1214652,496711,41387,55865,123886,200902,48536,132211,40235,485,22182,45055,183695,306661,358962,407647,332502,267996,430170,6.1,3991434,1567059,2.73,2.39,2121047,105359,70756,70129,75825,80613,83467,83647,87126,78748,166699,219605,299813,227389,148539,167757,155575,70647.0,5696423,
21,Massachusetts,2010,2786077,1193013,64193,333313,868794,32234,55903,112908,206407,304619,327885,291161,318820,170165,998209,1462965,136049,294989,304273,170708,118665,113221,161071,23657,479,52971,93585,275978,434335,516099,502264,346870,257135,306840,5.5,4299794,1939400,2.67,2.15,2512552,171690,128839,107563,105202,95210,103115,93248,101366,89300,180233,248606,338488,249979,162182,170308,167223,64509.0,6477096,
