,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
17,Kentucky,2012,1927916,668167,114684,828273,20546,47103,6092,273374,339728,256495,329414,221373,190774,97184,213482,1294773,44993,58960,76692,88280,63709,30510,28135,240881,983,24121,28232,129274,320295,447403,370316,241317,162602,204356,5.5,2966492,1248019,2.55,2.36,1691716,172401,122081,112096,107518,101124,97894,87774,84774,74071,135266,165299,184514,106537,56725,44360,39282,42610.0,4340167,
18,Louisiana,2012,1964329,628069,46321,1003824,1213,11559,10136,295294,253515,305884,382323,261477,207014,105281,143405,1282032,61867,74461,84393,66766,55904,35062,42221,259047,2576,25976,36462,151834,342713,494604,394301,236463,143652,138324,5.4,3036918,1365394,2.66,2.47,1696499,165883,119506,113805,102583,97978,91494,81098,81037,71261,127307,155754,191633,118332,68077,58974,51777,44673.0,4529605,
19,Maine,2012,721171,25468,38336,25564,389746,65193,1586,77562,87124,111366,102797,53364,56147,36240,194985,500848,16192,38171,39712,28707,11938,11486,9681,64254,182,17593,24308,67941,127458,146775,127046,87569,56900,65581,5.3,975937,317503,2.45,2.05,553208,37653,35626,32740,33671,32111,32233,28346,28284,24832,48043,60837,68856,39675,19475,17120,13706,48219.0,1329084,
20,Maryland,2012,2378932,958637,68658,828515,239039,27114,6724,283660,335356,373351,355392,292896,291497,151165,288891,1230179,501877,40058,52833,119307,202390,50725,140210,40585,768,28328,36955,180107,307550,349260,405261,336723,271839,462909,6.2,3982740,1662894,2.73,2.44,2138806,109214,70865,70989,75347,77904,80693,77491,84600,75707,161400,212685,292053,227291,160405,183781,178381,72999.0,5785496,
21,Massachusetts,2012,2804206,1225355,65204,345759,827983,38490,4326,194907,205609,302725,330310,291931,324028,168890,981480,1471460,141098,291563,305329,168231,120233,115097,166678,24118,399,66378,80730,276537,436370,512146,500359,345510,262841,323335,5.6,4281061,2035892,2.68,2.19,2525694,159535,132198,110173,103445,95451,99596,92296,97040,87918,174844,238077,329572,251242,170952,190175,193180,66658.0,6560595,
22,Michigan,2012,4531958,2964822,334467,290202,64594,122131,5153,452916,583313,449754,705720,549080,702922,378142,704958,3256572,209105,122169,115877,191396,162630,94728,129494,249148,839,55674,76116,314494,652577,959363,912226,614180,421035,526293,5.7,7247811,2419459,2.61,2.33,3818931,307673,218175,224439,223480,212320,212326,195847,196072,170414,322648,387753,455526,279302,156906,141718,114332,48471.0,9897264,
23,Minnesota,2012,2347928,1416813,209490,318325,65994,53635,4943,331071,319027,301696,374293,233064,248718,116335,418781,1582374,172942,55602,49268,51662,82287,116459,152369,84317,648,33923,60952,216171,332303,370353,357036,304485,259863,412842,5.9,3960438,1216700,2.58,2.15,2101875,119065,96221,98380,95634,98220,100602,94811,98905,87986,175549,232524,298955,194904,111627,104996,93496,59126.0,5313081,
24,Mississippi,2012,1274277,343680,148763,572155,1673,17954,5891,218183,228849,200835,245616,157202,100460,51818,65423,888341,16403,28821,37673,57709,26240,12097,10420,195047,1526,13531,17999,76343,205211,342910,265784,160912,95445,96142,5.4,2017114,857784,2.65,2.62,1087791,123655,88154,81639,74222,67409,63097,58110,52637,45763,85032,99193,109035,60078,31404,25991,22372,38882.0,2967620,
25,Missouri,2012,2710506,1251339,234133,759268,6790,95074,7282,365564,394148,338146,431907,320598,298916,147879,406066,1902338,93132,96420,124888,102359,92766,53422,63137,180477,1567,36834,43395,188168,436563,606223,513925,343637,242096,299665,5.6,4150855,1657757,2.55,2.27,2358270,182960,141133,138583,141623,138666,135307,123682,126900,104588,203802,241550,278638,164704,90689,79726,65719,47333.0,5982413,
26,Montana,2012,481401,225117,50222,81748,6647,35229,2019,69923,69934,56907,89982,42429,48020,28215,73972,332436,14476,17116,22601,14210,10109,8666,7016,54345,426,11617,15525,41053,86775,96277,76167,52933,40470,60584,5.4,680522,281518,2.45,2.2,405508,28595,25443,26397,26983,25476,24893,21990,21258,18740,35155,42776,48102,27175,13211,10421,8893,45456.0,990785,
27,Nebraska,2012,797210,461926,56290,178962,4768,10812,2569,92731,90981,76205,134476,92539,82295,41668,183746,579739,29977,16232,21215,31880,37615,28721,21520,30100,211,9111,19194,64548,115347,134934,129054,107376,89156,128490,5.9,1259623,516434,2.58,2.21,721026,43365,39604,38609,41303,40076,41180,37026,37597,32308,65284,80312,95772,55010,28764,23989,20827,51381.0,1827306,
28,Nevada,2012,1171300,625090,30909,307701,7891,14018,4500,355622,311949,189387,172634,71116,37383,13934,14775,693744,56044,15434,71884,101910,70403,33993,56191,70164,1533,30457,29986,117399,213431,257133,225838,136805,82644,77607,5.3,1545370,1122761,2.69,2.68,992896,61613,43705,48510,51156,53066,55285,47607,52623,44757,86500,112615,130840,79720,48790,42153,33956,54083.0,2704204,
29,New Hampshire,2012,613995,101925,69499,39886,257812,37175,1372,67806,66079,123906,94526,54966,46477,25282,133581,389602,31388,36632,36050,29668,18462,25260,10871,35973,89,10034,14878,53248,104843,117355,107646,79890,57469,68632,5.6,967167,310324,2.6,2.14,516845,22805,20623,19897,23084,23195,22660,21021,23822,21373,40975,54679,75050,53372,33517,33928,26844,64925.0,1317474,
30,New Jersey,2012,3555864,2345510,63019,349249,397731,12368,6515,330415,315099,411195,461365,502883,568181,308961,651250,1915906,326457,336231,230650,171121,178066,136942,224226,35418,847,119054,76178,358673,528597,578536,572655,443927,378476,499768,5.7,5935660,2671051,2.82,2.48,3186878,168154,121629,127897,124285,128350,124881,115131,117590,108229,223223,297722,416217,327655,228585,267652,289678,71637.0,8793888,
31,New Mexico,2012,900504,515483,73380,113642,1012,50577,2841,137195,160695,157803,167924,91682,93412,39353,49599,582180,32979,17760,33293,26188,22261,15556,19792,149074,1421,23513,20642,68797,157956,220958,179846,112194,60918,55680,5.3,1416149,596550,2.69,2.51,763844,70369,48969,48486,48311,45217,43803,38914,38709,33685,60456,72900,85103,50521,29958,27409,21034,44886.0,2055287,
32,New York,2012,8102223,3971363,228189,682406,2082821,141903,13237,494237,495436,605839,812156,1002176,1240657,719364,2719121,3412067,396123,868509,598187,431640,333609,630819,1230702,196818,3749,303396,288492,1215347,1488150,1351926,1228371,842423,626006,758112,5.1,10845208,7964955,2.75,2.42,7230896,567084,377358,363035,353272,334426,326362,295981,309771,265351,535829,687251,869969,619184,399104,436257,490662,57683.0,19398125,
33,North Carolina,2012,4325088,922238,328614,2151623,193661,79601,18106,856725,899664,716334,641842,430169,335551,175734,250963,2825827,159762,94247,120467,188059,177325,98161,60106,599924,1210,45667,59463,295489,770468,1031609,815034,533844,349651,423863,5.5,6330075,2956705,2.56,2.43,3693221,304948,234269,219744,220695,218015,218634,193488,187613,167375,307874,367955,421615,248469,139061,126987,116479,46450.0,9544249,
34,North Dakota,2012,319468,117512,38588,104733,12952,1696,1974,37754,35641,39171,68569,33626,33306,16236,53191,196321,16846,7369,11512,13352,17431,23167,8964,24405,101,4651,9499,28435,56315,55732,43549,36320,31886,53081,5.6,466032,184991,2.48,1.95,282667,20013,15556,13859,15315,15340,16299,14845,13887,12320,23389,31197,37926,22890,11762,8895,9174,51641.0,676253,
35,Ohio,2012,5124503,3078599,248927,957404,132267,90086,8633,493085,602189,460399,732227,635817,750184,349599,1092370,3510021,237639,228246,230152,243439,204876,105999,161112,201704,1315,63639,71586,343521,700555,1006250,1044577,742768,529008,622599,5.9,7927219,3299435,2.56,2.26,4555709,369756,266295,265453,265540,253780,256765,237063,232173,200748,383361,477026,547470,326796,179899,161390,132194,48246.0,11533561,
36,Oklahoma,2012,1664404,801335,111866,481785,1553,28810,8129,216468,192911,260137,338832,210928,189743,100871,146385,1219081,34246,33319,42689,61415,55874,28262,30174,157379,1965,23350,28668,123839,268816,437095,353857,202346,112576,113857,5.4,2497130,1141055,2.57,2.44,1439292,118803,93177,90230,89597,90047,84650,78562,76193,63150,122463,146785,163449,95358,48603,40964,37261,44891.0,3749005,
37,Oregon,2012,1673593,582280,24666,733829,49154,106916,4366,248227,293369,184957,333612,166444,144096,97420,201102,1068484,71835,48876,72538,74144,63352,51609,78498,139768,4489,35796,55587,138144,295901,345729,303472,203665,132698,162601,5.4,2408372,1342203,2.55,2.37,1512718,112254,82472,85253,85866,84502,82059,79892,77022,66537,127679,160000,185980,114556,63894,56448,48304,50036.0,3836628,
38,Pennsylvania,2012,5563832,2537188,180287,997915,1002166,134416,9212,439001,516926,546622,711282,565311,778191,466902,1530385,3174570,1011945,264088,234854,188443,141427,108517,206665,232403,920,93250,93932,397932,693198,914313,1216470,830414,599326,724997,6.0,9038728,3233094,2.6,2.18,4959633,347445,275723,274406,272894,264913,258844,236623,239414,210907,414109,514147,619468,392361,223721,215616,199042,52267.0,12699589,
51,Puerto Rico,2012,1496930,1160,12907,192771,239,306,2034,140664,241455,251277,353734,269816,137486,58172,42292,1011944,187167,54183,45001,61181,50305,25259,58118,3706,66,24441,48598,162541,404202,502706,211171,75143,42688,25440,4.7,2629110,1049354,3.05,2.95,1217584,348497,146039,125165,96437,80228,70135,57196,48719,39056,59878,56188,43493,20197,9618,8630,8108,19515.0,3716727,
39,Rhode Island,2012,462603,204763,8204,35300,153479,6105,476,27553,31936,50012,55854,50706,56479,32841,156746,254316,15362,51931,59730,24546,17133,12057,22929,4544,55,9990,12783,45446,79505,99566,87400,53219,35362,39332,5.3,659392,350432,2.62,2.2,410639,31866,23631,21121,19836,18790,18138,17711,18546,15336,31406,40034,53357,37270,22908,22087,18602,56102.0,1052471,
40,South Carolina,2012,2134456,427949,87486,1194604,31012,19836,9089,427379,435631,362929,344753,207282,163433,75298,108662,1329934,55434,46756,62455,103215,73925,50795,40663,369778,1501,37068,24115,123579,358719,509366,426690,280643,178757,195519,5.5,3137903,1352908,2.55,2.51,1768255,161142,116431,112324,110642,105322,101010,93662,90285,78226,148836,172349,196742,119093,62249,54660,45282,44623.0,4630351,
41,South Dakota,2012,363793,157766,54510,85239,10279,6224,1981,52758,48283,37619,63275,32991,34854,19701,72331,250509,12590,6860,12292,13490,13580,13821,7527,32965,159,4948,9268,28770,59809,65385,54745,46723,37933,56212,5.8,559074,222990,2.54,2.22,320467,22021,18753,16516,19118,18051,19528,17901,16251,14699,28984,36307,42810,21992,10478,8633,8425,49091.0,815871,
42,Tennessee,2012,2811854,839829,116956,1438118,14433,50993,10480,463134,526321,428875,477345,320111,260492,137085,188011,1931504,87419,83058,86067,127081,103003,57140,55190,279674,1718,29121,37642,186456,457726,628482,552015,367625,245905,306882,5.6,4328518,1872132,2.56,2.4,2468841,219395,165842,159731,153430,150107,148394,130705,127753,112115,206184,242577,272411,152365,82629,73667,71536,44140.0,6353226,
43,Texas,2012,9978137,3347820,326006,5004654,11198,40394,62187,2103853,1554862,1774536,1757977,1004085,891855,399647,429135,6542607,263514,198542,314623,485357,642531,343249,416760,754330,16624,165227,266872,1037111,1672378,2187730,1866064,1150333,755113,877309,5.3,16350528,8275194,2.92,2.61,8782598,653830,477619,478645,488105,483529,470236,427631,426498,365933,709954,866626,1035191,687744,405594,407006,398457,51563.0,25208897,
45,Utah,2012,979848,752827,20391,89705,1708,11333,5151,209021,185262,132138,178762,74891,76822,37846,79955,673819,58005,31397,43736,33541,43954,32617,23458,38592,729,11433,20259,63302,138682,155151,132638,120789,113609,223985,6.3,1987852,732656,3.2,2.81,880873,44942,35201,36735,40636,41359,42694,42674,44532,42303,83706,109752,126293,77679,44590,37742,30035,58164.0,2766233,
44,Vermont,2012,322243,39335,37813,11675,124072,39423,561,29566,36998,54363,51307,27898,20294,10991,90265,213628,11783,20569,20664,16425,5986,6089,4810,22172,117,6589,11407,27777,48457,60483,56030,42846,30576,38078,5.6,446579,153781,2.44,2.08,256830,15197,13962,13016,13438,12952,12938,13143,12666,11680,22014,29622,35477,20631,11390,10438,8266,54168.0,625498,
46,Virginia,2012,3365855,1026206,136647,1529794,211477,83524,11863,502630,541045,582219,572650,391903,321629,170455,271461,2097849,355084,56030,91304,159192,191547,68135,159103,186758,853,44904,55585,230022,488931,597444,572784,445065,370852,560268,6.0,5389584,2384036,2.64,2.46,3006219,171152,126284,126786,128776,127852,132415,127293,132236,118297,232775,298797,392128,276323,185930,208976,220199,63636.0,8014955,
47,Washington,2012,2884186,929836,85067,1387936,75844,116872,12074,459226,501949,409697,506751,289775,233481,152223,319010,1830230,103019,76627,108175,139726,147799,125298,143153,204374,5785,64057,104278,269437,469186,516235,477804,361381,265609,356199,5.5,4366907,2231124,2.61,2.35,2619995,159121,111915,113504,121807,120336,127892,118808,122601,110805,215807,283200,356484,242708,147487,143095,124425,59374.0,6738714,
48,West Virginia,2012,882240,314633,33558,307182,27464,48389,2532,84923,117084,117381,152347,85490,99436,73076,149971,627996,15939,20627,24482,24840,14297,8992,12969,131813,285,11957,11599,48165,138956,194473,184022,121922,81238,89908,5.7,1369189,432183,2.5,2.21,742674,75845,55795,55969,52112,46537,44071,37822,38932,32306,62666,70755,77614,42265,20688,15778,13519,40400.0,1850481,
49,Wisconsin,2012,2620401,1503766,246965,318867,82998,104207,5508,325514,367339,256478,394291,258318,294740,160207,558006,1743064,115098,177240,100435,125677,86409,96504,77430,98118,426,42427,56991,218338,431268,543501,469634,335018,234193,289031,5.5,3996098,1541514,2.55,2.15,2286339,135623,121262,120351,126906,124014,122308,116106,117248,104495,202673,255823,311322,187393,95887,79140,65788,52627.0,5687219,
50,Wyoming,2012,261430,134604,23604,46323,760,12365,1341,35772,32100,40186,59277,22949,25564,12558,31683,172628,10189,7435,11991,8872,5827,5410,2465,36251,362,4323,6841,19299,44488,51437,40208,32481,25835,36518,5.6,393115,155955,2.53,2.37,221479,11279,10717,10608,10519,11835,11157,10447,11181,9767,19414,24721,31949,20584,11829,9172,6300,56573.0,562803,
52,US,2012,133139387,56947877,5810057,41113572,7444876,2398416,384714,18810699,18620205,18664534,21529276,14975284,14687629,7414729,18052317,82232960,7806049,5058655,5888945,6359141,5954963,4664153,6478252,8587549,108720,2589401,3154544,11974806,22212833,27374360,24232304,16377151,11350016,13873972,287.30000000000007,205296073,99505521,137.37,124.38000000000004,116444386,8621467,6406712,6264467,6266336,6084952,6005188,5526458,5556183,4841676,9367550,11678468,14153941,9257153,5541249,5519269,5353317,51327.0,312855438,
0,Alabama,2013,2178116,547122,140856,1118837,3961,21045,18687,355287,404820,329794,380117,259993,200050,103278,126090,1490172,37071,46735,63433,90089,69388,38161,38879,302004,2184,24088,25105,128926,329640,504061,458083,296640,193350,218223,5.7,3311728,1372152,2.58,2.46,1838683,184131,128440,122983,117065,108154,102407,94388,92836,79231,147206,170757,198710,121151,64977,58625,47622,43253.0,4799277,
1,Alaska,2013,306662,122725,3730,27150,79836,15310,2045,47795,43847,79680,75820,28564,17520,6242,5149,193426,23501,15168,20271,14819,9397,9191,4694,15838,357,16813,23008,40432,59848,55580,43045,27971,18531,21434,4.7,458161,235695,2.85,2.59,251899,9520,8817,9392,10007,9099,10355,9561,11067,8815,19354,27126,38088,27821,18806,19892,14179,70760.0,720316,
2,Arizona,2013,2859768,826837,70940,1388597,1730,47497,15579,732809,588742,538061,508132,210265,166475,50953,48752,1810366,142040,39816,98288,125223,144890,74736,108519,305008,10882,62052,99643,283355,508981,643768,534597,338720,197305,191347,5.2,4067879,2268119,2.66,2.69,2370289,180223,124064,128582,138459,131551,134999,120780,125007,106123,199421,241086,283273,176397,104661,93521,82142,49774.0,6479703,
3,Arkansas,2013,1320772,459983,88540,523324,1489,50627,12884,220620,243601,215460,253892,147026,100212,57675,69402,919364,22686,40395,43473,41143,45702,15207,20815,170301,1686,20007,20966,85970,233649,349337,272591,157878,89749,90625,5.4,1927117,925655,2.56,2.46,1129723,106061,85481,81766,78319,72007,71032,60772,59185,51359,94856,104477,112093,64839,34115,29499,23862,40768.0,2933369,
4,California,2013,13726869,8275978,398509,3197091,36049,217135,51536,1624970,1461340,2106153,2512246,1875815,1914408,879711,1300690,7978581,961483,350140,759194,836313,730691,676989,898879,518344,16255,429886,527473,1648541,2628556,2816186,2345034,1530943,915840,884410,5.1,20691648,16151707,2.98,2.88,12542460,714855,646495,596313,605509,563156,574640,527210,531799,482093,931217,1191350,1551514,1130095,740040,848259,907915,61094.0,37659181,
5,Colorado,2013,2222782,1437830,97981,378460,2331,40458,13063,417754,377626,334987,431688,211807,182054,65104,188699,1397762,155398,39521,74225,106463,132409,118877,103139,93475,1513,37572,76459,223075,342251,372232,327935,267964,217841,357453,5.7,3347700,1654324,2.59,2.42,1977591,122812,86121,90433,96110,93091,96792,88880,93901,82371,160659,203313,261169,176851,109226,112934,102928,58433.0,5119329,
8,Connecticut,2013,1486995,437700,42588,207495,627716,26844,4959,102666,111295,192185,200576,200430,232555,105742,336587,882026,80070,119386,132699,80615,54993,51873,72482,12427,424,29188,35179,127797,223778,277540,265630,197128,147626,183129,5.7,2459652,1004450,2.68,2.3,1355849,76257,54030,57084,56530,52677,53499,49325,52708,46773,97266,126408,178175,134874,92248,105201,122794,69461.0,3583561,
6,Delaware,2013,407865,135269,35513,103702,54361,3405,3554,79212,66170,61412,50718,46886,42619,19527,37767,238344,60267,6372,10284,15340,22751,6579,10389,37448,91,4081,3567,24776,49377,69353,79337,62548,49642,65184,6.2,646021,237660,2.66,2.57,335707,18568,13615,15091,15755,16206,16435,13828,16005,14083,28573,35544,45443,32317,19257,18949,16038,59878.0,908446,
7,District of Columbia,2013,298327,159892,2704,90403,7026,39,1821,24702,8995,12740,22412,36805,42685,43234,104933,35892,76428,8816,22514,19132,32406,25705,77144,117,173,20507,20151,66249,56596,36279,31471,22073,17452,27549,4.2,254673,324608,2.29,2.13,263649,27350,12220,10175,10019,8871,9629,9040,10070,8279,16930,21191,28956,22913,15829,20912,31265,65830.0,619371,
9,Florida,2013,9003933,325477,84900,6603755,17551,14925,43654,1841941,1562885,1936813,1661132,879534,674729,205205,198040,4877611,567262,196349,344333,447133,530620,531183,663564,833695,12183,144437,190350,923604,1960474,2123260,1621642,968897,561279,509990,5.1,12475958,6190327,2.6,2.63,7158980,558329,408552,434144,437441,423747,422384,384849,379300,325878,602940,702206,795247,485991,269409,260153,268410,46956.0,19091156,
10,Georgia,2013,4094812,1450088,194959,1816562,8543,34335,25355,937248,862395,721018,592895,377034,264474,124120,190273,2721525,149083,93256,124553,210326,192636,101660,116673,382770,2330,47047,50529,253506,600343,866952,797049,550346,395375,533665,5.8,6282053,3268771,2.74,2.67,3518097,307761,202306,200073,200579,190474,193139,170645,169657,148499,287709,346807,407128,257196,148923,148363,138838,49179.0,9810417,
12,Hawaii,2013,522164,9256,5400,142695,104,2004,3498,69013,77117,82111,127037,77816,47313,19303,18956,282085,40183,14956,23465,33694,26045,28779,72161,685,111,23211,43217,75883,106432,106697,71390,42579,24523,28232,4.6,805918,527249,3.11,2.77,449771,25908,15964,16186,17731,17317,18364,17349,18632,16967,35319,47092,64955,49292,30753,31526,26416,67402.0,1376298,
11,Idaho,2013,670084,297138,29667,189249,11752,45092,5019,147751,127184,70315,130901,48153,49316,29791,61654,488916,19442,16952,30294,18780,12585,11183,9828,61017,1087,9622,16191,47145,107174,136442,113145,83386,62672,94307,5.7,1099020,455077,2.72,2.6,579797,40308,32378,34742,34371,36980,36435,32112,32445,27895,52902,64667,69597,37453,18778,15893,12841,46767.0,1583364,
13,Illinois,2013,5291704,3808671,195972,691462,11140,24280,15718,599062,567641,467366,758088,628624,702169,347104,1205932,3098539,312474,303069,360789,327603,212395,188851,347971,138638,1375,120054,113911,432823,849011,1076234,960253,645229,474016,620173,5.6,8790858,3756785,2.73,2.42,4772723,337875,219468,243871,240578,229881,232890,211812,214974,191219,373287,483343,615943,415077,252069,255728,254708,56797.0,12848554,
14,Indiana,2013,2800895,1524173,180081,674598,25952,55133,16036,363466,405868,280602,397129,322390,326259,175114,514031,2037563,100872,72834,101317,127692,106906,57094,52277,143801,539,33425,39929,183664,401661,608545,566145,382910,258492,326124,5.7,4566054,1761091,2.63,2.36,2481793,183230,136220,142984,146448,142351,146806,132550,133152,117870,212864,266747,309007,177538,94828,75783,63415,48248.0,6514861,
15,Iowa,2013,1341001,787823,163183,227748,9933,20147,8892,156034,145181,96818,198672,142460,148657,83380,360907,992029,48888,32663,45819,49275,50149,45339,23902,52631,306,14713,26095,95789,195921,249748,231567,184835,145737,196596,5.9,2228220,734789,2.52,2.16,1226547,75927,65463,65195,67621,67127,68040,63158,63654,55551,108752,137091,165742,97408,50333,41560,33925,51843.0,3062553,
16,Kansas,2013,1235485,757647,87061,237460,1398,19501,6183,145064,156264,147443,191912,127977,166298,78250,216094,897753,56853,29644,41878,47442,44049,31326,24571,61496,473,22057,23301,87170,174733,237254,216143,164823,129669,180335,5.8,1958707,830274,2.61,2.3,1110440,71523,57581,60011,62160,62185,61678,56521,56686,52959,95711,119214,139808,86720,47303,42911,37469,51332.0,2868107,
17,Kentucky,2013,1930158,658454,113272,842663,18784,48550,12483,287513,336854,254404,327976,217497,187733,95275,210423,1298561,46717,58895,76227,89054,63115,30905,28457,237253,974,24665,29413,129582,318658,446421,369992,242334,161870,207223,5.5,2965225,1269884,2.56,2.37,1694996,169440,120065,113630,108266,97649,99267,84865,86559,75564,135562,163333,186091,108471,59170,45920,41144,43036.0,4361333,
18,Louisiana,2013,1974313,617743,43827,1028214,1063,10885,20304,312947,254342,302451,376571,260148,203428,102575,141547,1286512,61435,75614,83381,66621,56862,37508,42237,261605,2538,25838,35955,153903,343283,497258,396294,238283,144859,138640,5.4,3039555,1400630,2.66,2.48,1707852,169096,119061,115316,103808,95105,92833,81406,79263,70714,126976,154963,191885,121521,68934,62525,54446,44874.0,4567968,
19,Maine,2013,721971,27717,40673,26246,378434,70433,3009,84627,87667,109030,103479,52933,54720,35835,190671,503153,16402,37389,39181,27728,12165,12030,9768,63928,227,18102,24960,68543,127549,144630,127831,87172,57141,66043,5.3,970956,321770,2.44,2.06,553823,37823,35585,33042,33122,32422,31943,27239,27906,25528,47118,59941,69275,40323,19919,17636,15001,48453.0,1328320,
20,Maryland,2013,2387285,957379,68374,844981,228525,28439,13240,291455,337571,374957,351306,290436,290238,145245,292837,1233994,504393,38840,52180,118121,203677,51167,143882,40245,786,28250,37889,182918,307634,347416,409986,337207,271158,464827,6.2,3983859,1710173,2.75,2.46,2146240,110773,71867,72181,77407,74172,80863,76272,81418,75641,158623,212257,290488,228130,161534,188001,186613,73538.0,5834299,
21,Massachusetts,2013,2808549,1241379,69678,353733,798470,42018,9397,205499,205985,302336,327501,292797,325468,166942,972624,1468336,143933,288984,309207,167093,118438,118285,170118,23768,387,63089,83239,279565,440932,514275,498343,343900,263210,321996,5.5,4260938,2098825,2.69,2.22,2530147,156920,132727,113567,105016,95791,102007,91155,94444,88027,173702,234101,325171,248325,172238,196455,200501,66866.0,6605058,
22,Michigan,2013,4529311,2958439,328478,304005,57861,127634,10292,461546,580249,449924,704599,551102,703127,371065,697407,3259881,209529,119644,115335,189374,163302,93719,131110,246438,979,55711,79044,319008,651793,953632,911287,612076,420018,526742,5.7,7167531,2490743,2.6,2.34,3823280,312673,215695,227492,224759,213393,213447,192938,193426,171152,320830,383513,455719,279698,156889,143832,117824,48411.0,9886095,
23,Minnesota,2013,2353932,1412742,210064,331766,60207,54152,10350,341331,319469,305262,370903,231469,247127,116342,411679,1585326,174792,55285,49170,52280,81290,116424,155160,83577,628,34680,63010,217354,332608,367132,355294,304078,261673,418103,6.0,3951507,1260432,2.59,2.18,2107232,118627,94380,98820,97813,95333,100081,92684,98780,87287,172388,230149,300891,198271,115201,109669,96858,59836.0,5347740,
24,Mississippi,2013,1277522,339444,142190,583829,1652,17054,10840,227783,229838,198217,241541,157732,99134,49956,62481,889746,16485,29407,38115,57478,28410,12347,11222,193005,1307,14298,18464,76971,205487,341441,267106,162563,93904,97288,5.4,2000527,883230,2.65,2.65,1088073,123572,87699,81486,73679,68042,62827,57355,54007,45438,85528,98665,108782,60196,31787,26667,22343,39031.0,2976872,
25,Missouri,2013,2713829,1236651,227100,781348,6142,96051,14488,380278,392442,334037,432285,321536,297053,147592,394118,1904459,92195,94948,125655,102198,92692,54805,64914,180429,1534,36951,46207,190537,434662,608057,510358,342445,242586,302026,5.6,4131219,1701886,2.56,2.28,2360131,185438,140151,139356,143021,134124,137981,121766,127127,104329,202013,240652,277610,164109,90992,82787,68675,47380.0,6007182,
26,Montana,2013,483303,223145,49439,84285,5830,35716,3582,75326,68778,56229,89401,42917,46593,27745,72732,334141,14374,17521,23023,14086,10060,8924,7390,53287,497,12420,16214,41826,86461,96542,75190,52445,41082,61123,5.4,681092,288669,2.46,2.24,405525,28960,25452,26180,26797,24044,24703,20828,20958,19071,34703,43482,48192,27797,13553,10988,9817,46230.0,998554,
27,Nebraska,2013,800277,460926,56451,185854,3988,10321,5690,96476,90672,76263,133602,92592,82014,40784,182184,582904,30691,15845,20603,31755,37537,28705,22464,29576,197,9884,20153,64189,113748,135839,129733,106635,89425,130671,5.9,1259577,530617,2.59,2.22,725787,43700,39329,38859,40577,39397,41611,36324,37984,33186,64653,80410,95441,56602,30279,25358,22077,51672.0,1841625,
28,Nevada,2013,1177751,627506,30081,311695,7244,14767,9110,364874,307291,188706,171539,69985,37717,13589,14940,697752,54931,15269,72210,103329,69931,33634,59876,69482,1337,30392,33561,122902,217503,257168,220890,136049,82213,77073,5.2,1532224,1161680,2.7,2.69,999016,64761,45707,50591,53745,53786,56456,49854,51291,46445,87057,109643,128199,78348,48192,41574,33367,52800.0,2730066,
29,New Hampshire,2013,615204,101980,72119,40941,251480,39965,2683,71418,65405,124360,94366,54873,46275,23799,132025,389763,31842,36602,35847,28980,18759,26079,11036,36213,83,10504,15063,53233,105415,118326,107991,78955,56734,68983,5.5,957522,321201,2.59,2.17,518245,23090,20804,20384,23267,22440,22982,21085,23592,21622,40305,55521,75345,53318,32949,33964,27577,64916.0,1319171,
30,New Jersey,2013,3563130,2354543,62516,361146,374390,13687,12957,342027,318370,418186,461517,498199,563618,305353,642903,1914321,330155,339828,229990,172447,177217,135640,227949,34722,861,104912,77255,363509,537878,588281,573500,445839,376824,495132,5.7,5895696,2749974,2.82,2.51,3186418,171165,120858,132476,126107,125847,126056,114461,114918,109924,221286,290887,412914,323639,224814,271209,299857,71629.0,8832406,
