,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
0,Alabama,2010,2174428,560206,142625,1081259,4306,20094,156354,203480,405369,342516,374449,262446,197347,104404,128063,1489358,37256,47001,61636,91166,67163,40922,36452,301001,2473,23741,25665,133578,336429,513630,452588,291258,189195,208344,5.6,3315123,1354359,2.6,2.5,1815152,196253,135182,124664,123515,107464,108534,100549,95455,80804,141837,166139,177709,108049,55859,54325,38814,40474.0,4785298,
1,Alaska,2010,307065,121979,3998,26546,84963,13879,20316,27305,44841,81089,77970,26866,17785,5887,5006,194111,25779,12768,19060,13749,10942,9948,4485,15777,446,16907,23895,39726,60823,56212,40549,28823,18029,22101,4.7,457670,229963,2.81,2.5,254610,10654,11818,9425,11304,11373,11395,10074,11366,9740,20540,28076,33925,27201,18645,16204,12870,64576.0,713985,
2,Arizona,2010,2846738,825209,70037,1358732,1562,48836,298590,444537,587827,540511,493662,218719,166837,48610,47445,1793469,146728,38066,96990,121145,147529,80884,105786,306234,9907,61022,92487,279161,502700,640575,546482,352341,195043,176927,5.3,4087108,2187245,2.68,2.7,2334050,186322,134213,125123,143156,136633,142205,130639,126780,104492,200211,238255,263927,164407,91640,76200,69847,46789.0,6413737,
3,Arkansas,2010,1317818,457999,95090,505009,1649,49607,98423,123282,238917,219655,260444,145709,101100,59148,71140,915807,20455,41245,43908,41401,50082,15465,15747,172824,884,22311,18160,85755,234363,352146,272649,155366,89240,87828,5.3,1932068,910607,2.57,2.51,1114902,109620,85729,83738,81681,76179,76599,63549,58572,52651,84402,106704,104649,57711,29498,24066,19554,38307.0,2921606,
4,California,2010,13682976,8289619,393137,3042396,35932,218319,670433,974244,1447836,2080103,2514794,1904908,1899017,898449,1293192,7913569,978861,363899,753973,827604,719392,695044,890403,521788,18443,461928,520878,1618942,2623963,2812683,2321437,1542055,912704,868386,5.1,20635289,15894258,2.99,2.89,12406475,741864,664711,614842,647956,571891,584917,556070,561523,496565,929799,1238774,1530962,1104395,665489,752779,743938,57708.0,37349363,
5,Colorado,2010,2214262,1447926,100015,350502,2742,39577,146798,265562,377296,335119,442192,214683,182478,64348,185786,1382607,157573,43657,76219,102082,132723,119205,103512,95101,1583,37486,71626,234279,338131,376095,323009,269095,218762,345779,5.7,3346759,1586434,2.59,2.38,1960585,133792,99108,94842,107212,95192,102786,94862,94755,84359,154810,206827,248333,167979,98362,93692,83674,54046.0,5049071,
6,Connecticut,2010,1488215,427850,39533,203568,650621,26373,44364,66775,106593,190703,205924,196651,227649,99164,350392,878679,75180,120787,137386,76617,57187,58348,71916,11742,373,31662,35820,133041,225142,273854,260116,197635,148122,182823,5.7,2468539,990382,2.67,2.28,1358809,79205,59768,63731,58340,57744,53393,56659,61380,49958,101448,129504,180261,125413,86772,91520,103713,64032.0,3577073,
7,Delaware,2010,406489,132098,35077,99495,57073,2573,31780,46417,67677,64497,52237,43819,41836,22076,36150,238400,57812,5734,10268,16098,22699,7582,10070,37745,81,5429,3389,27251,49241,68435,78735,62079,47965,63965,6.1,646435,228921,2.69,2.58,328765,19765,15596,15972,17189,14531,16919,15130,16548,14039,29257,35215,43486,29036,18109,16198,11775,55847.0,899769,
8,District of Columbia,2010,296836,162481,2490,75313,8389,0,13846,10858,9074,11183,19323,37909,43346,49982,101315,36202,74200,9008,21694,19888,31256,25980,78208,294,106,19882,18919,63568,61226,36061,30630,21173,18044,27333,4.3,247439,316993,2.31,2.18,252388,26272,13898,9739,10728,8771,10644,9593,8078,8791,17862,21820,29131,19446,13603,17910,26102,60903.0,604453,
9,Florida,2010,8994091,324544,87923,6492160,19536,13035,648353,1197616,1570158,1940449,1671568,877582,681202,210134,197029,4854574,565054,191137,347564,450233,517927,555094,662741,837965,11802,132743,183999,917434,1995338,2117788,1618921,969185,562472,496211,5.1,12516342,5905275,2.61,2.64,7035068,587347,442863,435000,454272,427242,432168,398276,375721,333504,594332,690596,750571,446574,231442,215741,219419,44409.0,18843326,
