,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Colorado (Million cubic feet)",82595,84864,89187,98454,91809,99933,107355,99946,92064,97751,89700,75010,84688,84173,93439,90154,81151,86263,92888,91567,91916,97440,94614,106187,99504,104286,110924,115583,110839,111748,116363,123514,128828,124214,120574,124255,119270,130971,133947,128993,131224,130116,115695,134936,132106,122364,121963,118585,128150,142692,
"Natural gas consumed by (delivered to) the commercial sector, Colorado (Million cubic feet)",59081,62805,63154,69844,68322,76288,75959,72597,71422,74831,66952,58913,66991,64615,71890,68975,61620,64355,68515,67477,66290,68938,66420,71647,65870,66639,68914,69074,63132,59346,60874,65011,66939,62616,61956,62099,59851,63231,65806,62441,57658,55843,51795,58787,58008,53968,54265,52735,55887,61755,
"Natural gas consumed by the industrial sector, Colorado (Million cubic feet)",87595,79646,87435,94309,84216,73282,70161,68590,70053,77248,60226,57575,58431,52386,52083,47763,43745,43016,49819,63569,66295,80059,78748,93856,84448,85410,98395,90335,114065,112303,117678,178487,173948,161152,163445,177867,165694,172795,182550,199743,205468,181472,178873,175191,182540,188981,160336,161165,165120,175261,
"Natural gas consumed by the electric power sector, Colorado (Million cubic feet)",51194,60187,66933,58820,66245,52930,42168,34276,29440,35409,31928,13593,6045,4526,4899,4913,4650,7826,8488,13289,12897,13191,12245,12278,19020,22656,25898,26802,32640,40879,63253,85954,78171,77895,83369,92629,92927,123788,106454,115234,92657,85015,86309,89508,96589,92304,96923,97536,125894,130775,
"Residential carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",,,,,,,,,,,4.733981,3.961052,4.49772,4.494377,4.969022,4.77961,4.319449,4.57895,4.961913,4.907848,4.891347,5.321796,5.116785,5.684757,5.27951,5.611591,5.974552,6.188742,5.917622,5.931152,6.16163,6.588312,6.885217,6.654473,6.438586,6.774116,6.519338,7.14026,7.216025,6.944905,7.081102,7.118135,6.370832,7.402254,7.325269,6.85455,6.842135,6.666199,7.302401,,
"Commercial carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",,,,,,,,,,,3.533468,3.111031,3.557821,3.450116,3.823051,3.656772,3.279857,3.416053,3.659955,3.616661,3.527685,3.765166,3.592042,3.835626,3.494949,3.585835,3.711844,3.698474,3.370584,3.149815,3.223352,3.467678,3.577558,3.354508,3.308402,3.385493,3.271527,3.447251,3.545087,3.361777,3.111349,3.05495,2.852114,3.22489,3.21656,3.023169,3.044285,2.964488,3.17767,,
"Industrial carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",,,,,,,,,,,3.178466,3.040359,3.103231,2.797147,2.769717,2.532182,2.328445,2.283347,2.661216,3.407193,3.527897,4.372559,4.258753,5.024572,4.480689,4.595875,5.299671,4.836858,6.089897,5.960545,6.23124,9.520594,9.296695,8.633381,8.727875,9.696902,9.056932,9.42037,9.834372,10.754003,11.087411,9.927645,9.849811,9.610525,10.121833,10.586291,8.994856,9.05985,9.427109,,
"Natural Gas Citygate Price in Colorado, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.81,3.55,3.35,3.15,3.07,2.96,2.94,2.85,2.85,2.95,3.31,2.65,2.7,2.92,2.4,2.31,3.53,4.25,2.72,4.11,5.02,6.1,7.61,6.23,6.98,5.09,5.26,4.94,4.26,4.76,5.42,3.98,3.56,3.9,3.63,3.38,2.81
"Colorado Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.72,0.75,0.78,0.83,1.0,1.16,1.27,1.62,1.94,2.48,3.23,4.17,4.89,5.51,5.24,5.1,5.01,4.74,4.42,4.63,4.57,4.59,4.56,4.52,4.92,4.8,4.39,4.81,5.22,5.38,6.14,8.37,5.62,6.61,8.47,10.29,10.45,8.84,9.77,8.8,8.13,8.25,8.28,7.85,8.89,8.27,7.35,8.08,7.74,7.77,7.17
"Colorado Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.57,0.59,0.64,0.68,0.83,0.99,1.09,1.4,1.73,2.29,3.01,3.84,4.57,5.04,4.77,4.61,4.43,4.15,3.86,4.05,3.99,4.04,4.0,4.04,4.37,4.23,3.67,4.06,4.34,4.55,5.37,7.71,4.82,5.93,7.48,9.38,9.61,8.1,9.01,7.56,7.58,7.84,7.58,7.26,8.15,7.47,6.42,7.17,6.84,6.92,6.24
