,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,MN,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0
26,Number of Rooms: 1,MN,35165,37411,36468,36391,38854,51242,47610,54622,49333,52301
27,Number of Rooms: 2,MN,61497,64545,65779,68359,72515,69879,70907,70158,75475,76480
28,Number of Rooms: 3,MN,218007,218677,217050,219177,214064,207559,215863,218334,224969,228127
29,Number of Rooms: 4,MN,330187,332129,340632,327610,329687,336573,339609,335580,338276,336344
30,Number of Rooms: 5,MN,367611,375759,360908,367842,364589,351607,350958,356407,353411,350959
31,Number of Rooms: 6,MN,363537,353583,357292,346720,357651,355613,357594,353711,355489,366768
32,Number of Rooms: 7,MN,305486,305416,303874,302063,305006,297308,310247,303705,315858,314607
33,Number of Rooms: 8,MN,261795,255951,259990,261855,254950,262752,262746,267603,265564,270474
34,Number of Rooms: 9+,MN,404957,410604,419081,438737,447945,464548,454167,477606,477262,481455
