,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2,House Heating Fuel: Electric,MN,312238,335268,346867,356763,341899,366326,377952,386925,397513,385188
3,House Heating Fuel: Fuel Oil,MN,65801,61157,56795,49863,44148,41930,38619,35786,37345,34406
4,House Heating Fuel: Gas,MN,1404878,1398239,1402952,1399587,1420749,1420349,1424382,1432941,1431179,1471186
5,House Heating Fuel: Propane,MN,214285,209605,213359,220587,223105,225549,217584,221643,237190,249094
6,House Heating Fuel: Wood,MN,54493,54503,55471,53776,54734,51735,46247,41056,43772,44412
