,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,NM,2.7,2.73,2.71,2.75,2.71,2.72,2.72,2.72,2.65,2.64
1,Avg household size of renter-occupied unit,NM,2.53,2.51,2.58,2.62,2.63,2.6,2.62,2.54,2.46,2.48
2,House Heating Fuel: Electric,NM,110797,118622,123471,127124,126923,134640,138982,158057,165963,179609
3,House Heating Fuel: Fuel Oil,NM,1008,651,780,1230,1106,692,1236,1105,1081,1529
4,House Heating Fuel: Gas,NM,520740,519168,514107,503091,506959,507367,497976,494471,501370,490135
5,House Heating Fuel: Propane,NM,74284,68149,60107,61554,59610,60267,54610,51066,57254,49317
6,House Heating Fuel: Wood,NM,50925,49063,54216,49712,54261,46945,51892,49638,53840,56217
25,Median Number of Rooms,NM,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
26,Number of Rooms: 1,NM,25951,24491,23422,23762,24344,23731,26077,23718,27986,25410
27,Number of Rooms: 2,NM,19297,22467,21928,20634,23284,21875,22731,25077,24330,28181
28,Number of Rooms: 3,NM,70050,73493,69740,68721,68569,72323,71420,73062,78731,72494
29,Number of Rooms: 4,NM,160761,165550,156455,152803,162132,158732,163066,168727,165637,166162
30,Number of Rooms: 5,NM,215148,221564,227602,223642,223915,220784,228471,229787,220097,232033
31,Number of Rooms: 6,NM,181752,178199,181462,189414,181502,185045,182224,177114,184079,171054
32,Number of Rooms: 7,NM,115434,110005,112015,104738,107674,112218,105865,111332,110373,113924
33,Number of Rooms: 8,NM,60870,55670,60260,61905,63099,62758,59465,69130,61858,69737
34,Number of Rooms: 9+,NM,52979,56729,53954,59515,58391,57513,58322,60029,70141,69475
35,Owner-Occupied,NM,1401840,1426098,1405348,1407582,1381334,1398320,1391030,1420845,1392519,1426098
36,Renter-Occupied,NM,621463,613494,637535,634582,661088,643707,646858,624260,659986,627824
37,Total Housing Units,NM,902242,908168,906838,905134,912910,914979,917641,937976,943232,948470
38,Total Population,NM,2065932,2082224,2085538,2085287,2085572,2085109,2081015,2088070,2095428,2096829
39,Units in Structure: 1 ATTACHED,NM,31764,33627,32872,37483,34138,33057,31748,30602,29690,33042
40,Units in Structure: 1 DETACHED,NM,582888,577532,586747,585831,594708,582455,589893,598406,604140,613704
41,Units in Structure: 10-19,NM,22933,24788,22757,24426,25013,20897,24332,23044,21190,21622
42,Units in Structure: 2,NM,18774,18912,17620,16837,17168,17327,17478,17641,18303,18284
43,Units in Structure: 20-49,NM,16335,14289,14966,16237,14693,17484,16180,15364,18046,16268
44,Units in Structure: 3-4,NM,37004,32929,31976,31160,33693,37264,33228,36862,40313,34208
45,Units in Structure: 5-9,NM,23969,27086,25597,23151,25502,28264,29094,27601,26119,26208
46,Units in Structure: 50+,NM,18451,21642,23149,18587,19554,20733,22551,22463,23530,24122
47,"Units in Structure: Boat,RV,Van,Etc.",NM,1309,1562,1755,1112,2428,1772,1612,2096,2586,1550
48,Units in Structure: Mobile Home,NM,148815,155801,149399,150310,146013,155726,151525,163897,159315,159462
49,Year Built: 1940-1949,NM,38923,40138,37760,37748,35622,39524,35336,40971,39350,37104
50,Year Built: 1950-1959,NM,97168,94080,94396,89379,92228,86895,85908,92652,88700,93036
51,Year Built: 1960-1969,NM,85344,91987,89772,92531,99476,95068,95773,90331,95165,90571
52,Year Built: 1970-1979,NM,161575,169971,163674,165386,165188,158739,162653,168294,161829,166801
53,Year Built: 1980-1989,NM,154797,157989,160177,155016,154620,150225,156197,158675,174108,162221
54,Year Built: 1990-1999,NM,167510,154866,157031,156335,161958,169371,161659,163442,161223,165615
55,Year Built: 2000-2009,NM,86471,82664,144803,150225,141154,151432,141631,138568,136470,133869
56,Year Built: 2010-2013,NM,58057,68441,9477,13982,16258,19214,24792,28112,21657,25710
57,Year Built: 2014 or later,NM,,,,,,3568.0,14120.0,18540.0,21662.0,28301.0
58,Year Built: before 1940,NM,52397,48032,49748,44532,46406,40943,39572,38391,43068,45242
