,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Utah (Million cubic feet)",57639,54789,45957,54938,54639,58727,57654,41536,42241,45168,43424,50572,44701,51779,48922,48975,54344,58108,56843,55474,55626,55008,59398,54632,60527,58044,60017,60563,65974,65184,66087,70076,59801,70491,62458,58562,63929,66700,67415,75938,
"Natural gas consumed by (delivered to) the commercial sector, Utah (Million cubic feet)",330,343,21831,7986,8569,8505,4636,14811,17911,16522,16220,19276,16584,22588,26501,26825,29543,31129,30955,30361,31282,30917,33501,30994,31156,34447,34051,34447,37612,37024,38461,40444,35363,41398,38156,35772,39066,41264,42367,47336,
"Natural gas consumed by the industrial sector, Utah (Million cubic feet)",51139,43290,45769,44784,51084,46449,41553,41555,47243,50174,55221,56858,53489,54826,49891,69347,69332,68781,72967,64668,64048,53599,48576,46079,45846,46500,53036,56072,53487,51640,55717,59905,67546,72170,67936,67542,64703,61752,60450,60055,
"Natural gas consumed by the electric power sector, Utah (Million cubic feet)",5133,3097,3023,1259,271,235,230,263,196,636,907,5190,6576,6305,8900,8707,4087,4079,5945,6478,10544,15141,15439,14484,9423,12239,28953,56438,55374,49984,48399,40138,47138,49562,58780,56449,59684,40830,61161,67386,
"Total energy consumption per capita in the residential sector, Utah (Million Btu)",71.7,69.8,60.8,70,68.7,71.4,64.6,56.2,57.8,60.1,56.5,61.1,55.5,58.8,56.2,55.4,58.8,60.1,57.9,59.3,60.4,59.6,62.2,59.6,61.9,61.1,61.6,60.5,61.2,59.3,59.1,60.3,56.4,60.4,54.1,53.2,54.6,56.3,56.2,58.6,
"Electricity consumed by (i.e., sold to) the residential sector, Utah (Million kilowatthours)",3116,3436,3785,3804,3856,3985,3989,3980,4151,4163,4246,4460,4505,4726,5009,5041,5481,5661,5756,6236,6514,6693,6938,7166,7325,7567,8232,8752,8786,8725,8834,8947,9188,9402,8964,9117,9371,9511,9715,9740,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Utah (Kilowatthours)",2116,2267,2429,2385,2377,2425,2399,2372,2457,2440,2453,2506,2453,2489,2555,2503,2651,2670,2657,2830,2902,2931,2984,3036,3050,3079,3260,3369,3299,3204,3183,3178,3219,3243,3051,3056,3078,3064,3079,3040,
"Distillate fuel oil consumed by the residential sector, Utah (Billion Btu)",650,424,726,954,808,388,403,526,696,1004,807,758,556,757,553,420,434,511,408,459,461,528,480,405,492,151,168,162,99,132,116,136,149,105,117,128,151,130,151,136,
"Propane consumed by the residential sector, Utah (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,2054,1598,2100,1746,1516,1546,2488,2519,3054,
"Distillate fuel oil consumed by the commercial sector, Utah (Billion Btu)",5987,1197,2224,4578,3875,2820,4913,3824,3694,2521,2121,2203,2263,1873,2374,2225,2179,2362,3049,3448,2131,4051,3248,3160,2849,1998,2534,2613,2447,3028,2660,3038,3767,3513,3378,2127,3086,2765,2435,2675,
"Electricity consumed by (i.e., sold to) the commercial sector, Utah (Million kilowatthours)",3141,2999,3207,3350,4269,4596,4682,4863,5035,5173,5389,5571,5850,5920,6340,6462,6717,7285,7433,8074,8746,9102,9293,9024,9345,9417,9749,10241,10286,10235,10368,10544,10803,11008,11053,11615,11565,11739,12084,11860,
"Total energy consumption per capita in the commercial sector, Utah (Million Btu)",37.4,27.1,41.6,36.6,42.1,42.8,40.1,46.4,49.6,49.7,48,50.9,48,49.2,51.7,51.6,53.2,55.6,54.7,57.3,59.7,61.1,63.4,58.4,59.9,60,57.4,56.1,55.6,54.6,55,56,54.3,56.5,53.7,54.4,53.9,54.9,54.9,55.1,
