,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Oklahoma (Million cubic feet)",77460,75238,77608,73744,72937,79921,82078,86822,84046,85285,76599,69774,79528,79240,81379,76112,66641,64164,71970,71793,65618,69200,65811,78360,69211,68702,76629,71762,66521,61611,66862,64617,67163,65681,59449,59372,52734,59861,66225,62293,65429,61387,49052,66108,69050,59399,50573,51069,67340,67890,
"Natural gas consumed by (delivered to) the commercial sector, Oklahoma (Million cubic feet)",43921,41978,43852,40403,41074,41806,44862,48253,45729,52036,47135,40833,45664,44177,44423,40791,36517,32428,47870,38509,37208,39588,35190,40766,36504,39639,46152,45086,43800,39565,43125,40558,40229,37472,37103,39359,35492,40846,40772,41421,41822,40393,36106,44238,47041,41982,37064,37833,46960,48791,
"Natural gas consumed by the industrial sector, Oklahoma (Million cubic feet)",218289,227724,223244,201046,228093,222517,275039,270721,273758,327733,245902,252696,275831,244028,274630,244502,232611,287869,263995,276021,306609,269061,268146,279275,286851,274901,274053,288181,259647,235709,231195,188083,182010,208883,210670,209962,226062,242324,270239,241774,248636,258758,255541,258509,271232,276277,286933,295458,317527,323969,
"Natural gas consumed by the electric power sector, Oklahoma (Million cubic feet)",234721,240771,260457,270484,293842,300871,331003,333766,347634,334446,329940,285702,246923,236950,224987,200686,197239,187895,177222,180617,176242,174885,156414,159757,160595,160858,143496,135487,181191,177045,175758,173893,194770,196710,199907,242178,278602,286686,282942,284689,288986,264178,317867,247556,207577,254401,276964,228586,317128,337487,
"Residential carbon dioxide emissions, natural gas, Oklahoma (million metric tons CO2)",,,,,,,,,,,4.072152,3.798592,4.263209,4.357915,4.391553,4.117781,3.616449,3.509645,3.961954,3.892874,3.554691,3.719909,3.565673,4.245011,3.767129,3.698368,4.15752,3.829789,3.552887,3.336309,3.576338,3.519249,3.668815,3.590557,3.251366,3.24415,2.891217,3.26914,3.636026,3.413188,3.578035,3.352863,2.687055,3.631623,3.803739,3.297047,2.812534,2.825161,3.688499,,
"Commercial carbon dioxide emissions, natural gas, Oklahoma (million metric tons CO2)",,,,,,,,,,,2.50576,2.223021,2.447875,2.429571,2.397259,2.206892,1.981667,1.773737,2.635219,2.088098,2.015623,2.128103,1.906591,2.208431,1.986919,2.133886,2.503956,2.40612,2.339375,2.142534,2.306692,2.208908,2.197554,2.048465,2.029205,2.150599,1.945906,2.230714,2.238567,2.269552,2.287061,2.206202,1.977899,2.430208,2.591341,2.330302,2.061252,2.092926,2.572665,,
"Industrial carbon dioxide emissions, natural gas, Oklahoma (million metric tons CO2)",,,,,,,,,,,13.072579,13.757116,14.786309,13.420684,14.820266,13.228035,12.623189,15.745945,14.532911,14.966914,16.609761,14.463619,14.528295,15.129162,15.613357,14.798565,14.868812,15.379536,13.867792,12.764055,12.366289,10.243651,9.942501,11.418803,11.521786,11.472496,12.39409,13.233871,14.837244,13.247295,13.596938,14.133023,13.998524,14.201041,14.941235,15.335234,15.957164,16.344743,17.482914,,
"Natural Gas Citygate Price in Oklahoma, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,2.95,2.92,2.7,2.48,2.24,2.07,2.03,2.04,2.22,2.45,2.46,2.52,2.56,3.12,2.55,2.84,3.91,6.48,4.24,5.87,6.56,7.9,9.13,8.14,8.4,7.15,6.18,5.67,5,4.75,5.35,4.59,3.98,4.52,3.83,3.64,3.35
"Oklahoma Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.84,0.87,0.9,0.92,1.05,1.22,1.5,1.78,1.93,2.2,2.46,2.94,3.53,4.33,4.56,4.58,5.01,4.63,4.52,4.5,4.8,4.72,4.96,4.94,5.5,5.56,5.64,6.23,5.93,5.97,7.37,9.59,7.78,8.89,10.22,11.67,13.4,12.06,12.32,11.39,11.12,10.32,11.1,9.71,10.1,10.24,10.57,11.4,9.25,9.4,9.19
"Oklahoma Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.52,0.53,0.56,0.64,0.75,0.94,1.17,1.52,1.68,3.42,2.3,2.86,3.45,4.13,4.42,4.41,4.41,4.18,4.07,3.94,3.92,3.91,4.23,4.42,4.73,4.48,4.71,5.34,5.05,5.09,6.43,8.83,6.96,8.38,9.63,11.01,12.17,10.94,11.54,10.59,9.77,8.94,8.95,8.05,8.25,8.12,7.72,8.44,7.09,7.28,6.87
