,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",NH,20650,23092,22024,20775,22042,17770,15933,16244,17139,16539
8,"Household Income: $100,000 to $124,999",NH,49010,52868,54264,53239,54641,56533,56445,56366,57624,61021
9,"Household Income: $125,000 to $149,999",NH,30702,32056,28658,32015,33289,33421,33685,40856,41832,40422
10,"Household Income: $15,000 to $19,999",NH,22135,20552,22077,20625,20962,20136,18190,18021,20855,16216
11,"Household Income: $150,000 to $199,999",NH,28732,30591,33954,31634,37633,40261,41092,44483,44619,49858
12,"Household Income: $20,000 to $24,999",NH,23201,24450,23919,24073,20853,22589,18067,22193,20039,19054
13,"Household Income: $200,000 or more",NH,23007,25100,26542,27556,32600,37731,39234,43778,48339,52954
14,"Household Income: $25,000 to $29,999",NH,24028,24413,22534,21491,22875,17758,21680,20351,20846,18377
15,"Household Income: $30,000 to $34,999",NH,23275,24861,23622,21336,24790,21204,22695,22662,21696,18368
16,"Household Income: $35,000 to $39,999",NH,22714,23767,20871,21810,20335,20577,21064,17920,17850,15983
17,"Household Income: $40,000 to $44,999",NH,25700,21072,22254,24247,22048,21835,17717,17959,21780,22257
18,"Household Income: $45,000 to $49,999",NH,24543,20521,23324,21360,19842,19131,21086,19076,16577,21203
19,"Household Income: $50,000 to $59,999",NH,41906,37106,41159,39936,40867,38161,39534,38247,36323,39230
20,"Household Income: $60,000 to $74,999",NH,57714,57078,54164,60277,54642,53864,57994,54370,50014,52252
21,"Household Income: $75,000 to $99,999",NH,73652,73434,76491,73795,72591,75714,75337,74074,73167,76433
22,"Household Income: Less than $10,000",NH,24462,25493,23280,25077,19746,20930,20890,22100,22512,21229
23,Household Income: Total:,NH,515431,516454,519137,519246,519756,517615,520643,528700,531212,541396
24,Median Household Income,NH,61042.0,62647.0,63280.0,64230.0,66532.0,70303.0,70936.0,73381.0,74991.0,77933.0
